组,月,U形态,炸板,封D1负,好票,连板,差票率%
4板补涨阳,2006-04,3,3,0,3,0,0
4板补涨阳,2006-05,1,0,0,1,0,0
4板补涨阳,2015-04,1,0,0,1,0,0
4板补涨阳,2021-06,1,0,0,1,1,0
4板补涨阳,2021-07,1,0,0,1,0,0
4板补涨阳,2023-04,4,1,1,3,1,25
4板补涨阳,2023-05,4,0,1,3,1,25
4板补涨阳,2023-06,8,3,3,2,0,75
4板补涨阳,2023-07,7,5,1,3,0,57
4板补涨阳,2023-08,3,1,1,1,1,67
4板补涨阳,2023-09,3,2,0,2,0,33
4板补涨阳,2023-10,6,4,1,2,1,67
4板补涨阳,2023-11,9,3,1,5,1,44
4板补涨阳,2023-12,13,5,5,5,1,62
4板补涨阳,2024-01,5,3,2,1,0,80
4板补涨阳,2024-02,7,2,2,3,1,57
4板补涨阳,2024-03,11,2,4,5,2,55
4板补涨阳,2024-04,10,4,4,2,0,80
4板补涨阳,2024-05,5,2,1,3,0,40
4板补涨阳,2024-07,4,0,3,1,0,75
4板补涨阳,2024-08,3,2,1,0,0,100
4板补涨阳,2024-09,7,1,1,6,4,14
4板补涨阳,2024-10,22,5,6,11,4,50
4板补涨阳,2024-11,23,6,8,11,2,52
4板补涨阳,2024-12,23,11,8,7,1,70
4板补涨阳,2025-01,16,6,5,5,2,69
4板补涨阳,2025-02,13,4,6,3,1,77
4板补涨阳,2025-03,7,3,1,3,2,57
4板补涨阳,2025-04,11,6,1,4,2,64
4板补涨阳,2025-05,13,1,7,6,3,54
4板补涨阳,2025-06,17,8,5,6,0,65
4板补涨阳,2025-07,4,2,0,2,1,50
4板补涨阳,2025-08,10,2,3,6,3,40
4板补涨阳,2025-09,5,0,2,3,2,40
4板补涨阳,2025-10,8,3,4,2,0,75
4板补涨阳,2025-11,15,5,4,6,3,60
4板补涨阳,2025-12,17,9,4,5,2,71
4板补涨阳,2026-01,11,3,3,5,0,55
4板补涨阳,2026-02,6,2,1,3,0,50
4板补涨阳,2026-03,7,1,3,3,0,57
4板补涨阳,2026-04,6,2,2,2,1,67
4板补涨阳,2026-05,10,3,3,5,2,50
4板补涨阳,2026-06,5,3,1,2,0,60
4板补涨阳,2026-07,6,2,0,4,2,33
4板补涨阳,2026-08,14,1,6,7,3,50
4板补涨阳,2026-09,1,1,0,0,0,100
