﻿vt_symbol,symbol,exchange,tushare_ts_code,trade_date,tail_start,tail_end,start_datetime,end_datetime,reference_date,ma5,alphaagent_import_columns,note
688005.SSE,688005,SSE,688005.SH,2026-01-08,14:30,14:57,2026-01-08 14:30:00,2026-01-08 14:57:00,2026-01-07,35.17,"vt_symbol,bar_time,open,high,low,close,volume,turnover","return all real 1m bars in [tail_start, tail_end] for this symbol-date"
688150.SSE,688150,SSE,688150.SH,2026-01-08,14:30,14:57,2026-01-08 14:30:00,2026-01-08 14:57:00,2026-01-07,27.378000000000004,"vt_symbol,bar_time,open,high,low,close,volume,turnover","return all real 1m bars in [tail_start, tail_end] for this symbol-date"
688158.SSE,688158,SSE,688158.SH,2026-01-08,14:30,14:57,2026-01-08 14:30:00,2026-01-08 14:57:00,2026-01-07,29.322000000000003,"vt_symbol,bar_time,open,high,low,close,volume,turnover","return all real 1m bars in [tail_start, tail_end] for this symbol-date"
688261.SSE,688261,SSE,688261.SH,2026-01-08,14:30,14:57,2026-01-08 14:30:00,2026-01-08 14:57:00,2026-01-07,90.47,"vt_symbol,bar_time,open,high,low,close,volume,turnover","return all real 1m bars in [tail_start, tail_end] for this symbol-date"
688295.SSE,688295,SSE,688295.SH,2026-01-08,14:30,14:57,2026-01-08 14:30:00,2026-01-08 14:57:00,2026-01-07,32.626,"vt_symbol,bar_time,open,high,low,close,volume,turnover","return all real 1m bars in [tail_start, tail_end] for this symbol-date"
688387.SSE,688387,SSE,688387.SH,2026-01-08,14:30,14:57,2026-01-08 14:30:00,2026-01-08 14:57:00,2026-01-07,12.516,"vt_symbol,bar_time,open,high,low,close,volume,turnover","return all real 1m bars in [tail_start, tail_end] for this symbol-date"
688433.SSE,688433,SSE,688433.SH,2026-01-08,14:30,14:57,2026-01-08 14:30:00,2026-01-08 14:57:00,2026-01-07,72.33200000000001,"vt_symbol,bar_time,open,high,low,close,volume,turnover","return all real 1m bars in [tail_start, tail_end] for this symbol-date"
688568.SSE,688568,SSE,688568.SH,2026-01-08,14:30,14:57,2026-01-08 14:30:00,2026-01-08 14:57:00,2026-01-07,58.376,"vt_symbol,bar_time,open,high,low,close,volume,turnover","return all real 1m bars in [tail_start, tail_end] for this symbol-date"
600118.SSE,600118,SSE,600118.SH,2026-01-09,14:30,14:57,2026-01-09 14:30:00,2026-01-09 14:57:00,2026-01-08,100.728,"vt_symbol,bar_time,open,high,low,close,volume,turnover","return all real 1m bars in [tail_start, tail_end] for this symbol-date"
600343.SSE,600343,SSE,600343.SH,2026-01-09,14:30,14:57,2026-01-09 14:30:00,2026-01-09 14:57:00,2026-01-08,46.528,"vt_symbol,bar_time,open,high,low,close,volume,turnover","return all real 1m bars in [tail_start, tail_end] for this symbol-date"
688072.SSE,688072,SSE,688072.SH,2026-01-09,14:30,14:57,2026-01-09 14:30:00,2026-01-09 14:57:00,2026-01-08,356.794,"vt_symbol,bar_time,open,high,low,close,volume,turnover","return all real 1m bars in [tail_start, tail_end] for this symbol-date"
688150.SSE,688150,SSE,688150.SH,2026-01-09,14:30,14:57,2026-01-09 14:30:00,2026-01-09 14:57:00,2026-01-08,27.354000000000003,"vt_symbol,bar_time,open,high,low,close,volume,turnover","return all real 1m bars in [tail_start, tail_end] for this symbol-date"
688239.SSE,688239,SSE,688239.SH,2026-01-09,14:30,14:57,2026-01-09 14:30:00,2026-01-09 14:57:00,2026-01-08,68.104,"vt_symbol,bar_time,open,high,low,close,volume,turnover","return all real 1m bars in [tail_start, tail_end] for this symbol-date"
688376.SSE,688376,SSE,688376.SH,2026-01-09,14:30,14:57,2026-01-09 14:30:00,2026-01-09 14:57:00,2026-01-08,61.19,"vt_symbol,bar_time,open,high,low,close,volume,turnover","return all real 1m bars in [tail_start, tail_end] for this symbol-date"
688379.SSE,688379,SSE,688379.SH,2026-01-09,14:30,14:57,2026-01-09 14:30:00,2026-01-09 14:57:00,2026-01-08,56.605999999999995,"vt_symbol,bar_time,open,high,low,close,volume,turnover","return all real 1m bars in [tail_start, tail_end] for this symbol-date"
688568.SSE,688568,SSE,688568.SH,2026-01-09,14:30,14:57,2026-01-09 14:30:00,2026-01-09 14:57:00,2026-01-08,59.952,"vt_symbol,bar_time,open,high,low,close,volume,turnover","return all real 1m bars in [tail_start, tail_end] for this symbol-date"
600343.SSE,600343,SSE,600343.SH,2026-01-12,14:30,14:57,2026-01-12 14:30:00,2026-01-12 14:57:00,2026-01-09,46.013999999999996,"vt_symbol,bar_time,open,high,low,close,volume,turnover","return all real 1m bars in [tail_start, tail_end] for this symbol-date"
688172.SSE,688172,SSE,688172.SH,2026-01-12,14:30,14:57,2026-01-12 14:30:00,2026-01-12 14:57:00,2026-01-09,35.126,"vt_symbol,bar_time,open,high,low,close,volume,turnover","return all real 1m bars in [tail_start, tail_end] for this symbol-date"
688295.SSE,688295,SSE,688295.SH,2026-01-12,14:30,14:57,2026-01-12 14:30:00,2026-01-12 14:57:00,2026-01-09,32.666,"vt_symbol,bar_time,open,high,low,close,volume,turnover","return all real 1m bars in [tail_start, tail_end] for this symbol-date"
688323.SSE,688323,SSE,688323.SH,2026-01-12,14:30,14:57,2026-01-12 14:30:00,2026-01-12 14:57:00,2026-01-09,23.518,"vt_symbol,bar_time,open,high,low,close,volume,turnover","return all real 1m bars in [tail_start, tail_end] for this symbol-date"
688390.SSE,688390,SSE,688390.SH,2026-01-12,14:30,14:57,2026-01-12 14:30:00,2026-01-12 14:57:00,2026-01-09,71.658,"vt_symbol,bar_time,open,high,low,close,volume,turnover","return all real 1m bars in [tail_start, tail_end] for this symbol-date"
688433.SSE,688433,SSE,688433.SH,2026-01-12,14:30,14:57,2026-01-12 14:30:00,2026-01-12 14:57:00,2026-01-09,76.75,"vt_symbol,bar_time,open,high,low,close,volume,turnover","return all real 1m bars in [tail_start, tail_end] for this symbol-date"
688456.SSE,688456,SSE,688456.SH,2026-01-12,14:30,14:57,2026-01-12 14:30:00,2026-01-12 14:57:00,2026-01-09,68.824,"vt_symbol,bar_time,open,high,low,close,volume,turnover","return all real 1m bars in [tail_start, tail_end] for this symbol-date"
688627.SSE,688627,SSE,688627.SH,2026-01-12,14:30,14:57,2026-01-12 14:30:00,2026-01-12 14:57:00,2026-01-09,237.93,"vt_symbol,bar_time,open,high,low,close,volume,turnover","return all real 1m bars in [tail_start, tail_end] for this symbol-date"
688017.SSE,688017,SSE,688017.SH,2026-01-13,14:30,14:57,2026-01-13 14:30:00,2026-01-13 14:57:00,2026-01-12,195.076,"vt_symbol,bar_time,open,high,low,close,volume,turnover","return all real 1m bars in [tail_start, tail_end] for this symbol-date"
688037.SSE,688037,SSE,688037.SH,2026-01-13,14:30,14:57,2026-01-13 14:30:00,2026-01-13 14:57:00,2026-01-12,191.56,"vt_symbol,bar_time,open,high,low,close,volume,turnover","return all real 1m bars in [tail_start, tail_end] for this symbol-date"
688090.SSE,688090,SSE,688090.SH,2026-01-13,14:30,14:57,2026-01-13 14:30:00,2026-01-13 14:57:00,2026-01-12,49.23,"vt_symbol,bar_time,open,high,low,close,volume,turnover","return all real 1m bars in [tail_start, tail_end] for this symbol-date"
688150.SSE,688150,SSE,688150.SH,2026-01-13,14:30,14:57,2026-01-13 14:30:00,2026-01-13 14:57:00,2026-01-12,27.79,"vt_symbol,bar_time,open,high,low,close,volume,turnover","return all real 1m bars in [tail_start, tail_end] for this symbol-date"
688361.SSE,688361,SSE,688361.SH,2026-01-13,14:30,14:57,2026-01-13 14:30:00,2026-01-13 14:57:00,2026-01-12,180.392,"vt_symbol,bar_time,open,high,low,close,volume,turnover","return all real 1m bars in [tail_start, tail_end] for this symbol-date"
688498.SSE,688498,SSE,688498.SH,2026-01-13,14:30,14:57,2026-01-13 14:30:00,2026-01-13 14:57:00,2026-01-12,704.14,"vt_symbol,bar_time,open,high,low,close,volume,turnover","return all real 1m bars in [tail_start, tail_end] for this symbol-date"
688629.SSE,688629,SSE,688629.SH,2026-01-13,14:30,14:57,2026-01-13 14:30:00,2026-01-13 14:57:00,2026-01-12,106.388,"vt_symbol,bar_time,open,high,low,close,volume,turnover","return all real 1m bars in [tail_start, tail_end] for this symbol-date"
688720.SSE,688720,SSE,688720.SH,2026-01-13,14:30,14:57,2026-01-13 14:30:00,2026-01-13 14:57:00,2026-01-12,74.64000000000001,"vt_symbol,bar_time,open,high,low,close,volume,turnover","return all real 1m bars in [tail_start, tail_end] for this symbol-date"
000592.SZSE,000592,SZSE,000592.SZ,2026-01-14,14:30,14:57,2026-01-14 14:30:00,2026-01-14 14:57:00,2026-01-13,15.347999999999999,"vt_symbol,bar_time,open,high,low,close,volume,turnover","return all real 1m bars in [tail_start, tail_end] for this symbol-date"
688002.SSE,688002,SSE,688002.SH,2026-01-14,14:30,14:57,2026-01-14 14:30:00,2026-01-14 14:57:00,2026-01-13,106.328,"vt_symbol,bar_time,open,high,low,close,volume,turnover","return all real 1m bars in [tail_start, tail_end] for this symbol-date"
688102.SSE,688102,SSE,688102.SH,2026-01-14,14:30,14:57,2026-01-14 14:30:00,2026-01-14 14:57:00,2026-01-13,47.884,"vt_symbol,bar_time,open,high,low,close,volume,turnover","return all real 1m bars in [tail_start, tail_end] for this symbol-date"
688143.SSE,688143,SSE,688143.SH,2026-01-14,14:30,14:57,2026-01-14 14:30:00,2026-01-14 14:57:00,2026-01-13,56.82000000000001,"vt_symbol,bar_time,open,high,low,close,volume,turnover","return all real 1m bars in [tail_start, tail_end] for this symbol-date"
688158.SSE,688158,SSE,688158.SH,2026-01-14,14:30,14:57,2026-01-14 14:30:00,2026-01-14 14:57:00,2026-01-13,30.354000000000003,"vt_symbol,bar_time,open,high,low,close,volume,turnover","return all real 1m bars in [tail_start, tail_end] for this symbol-date"
688353.SSE,688353,SSE,688353.SH,2026-01-14,14:30,14:57,2026-01-14 14:30:00,2026-01-14 14:57:00,2026-01-13,110.64200000000001,"vt_symbol,bar_time,open,high,low,close,volume,turnover","return all real 1m bars in [tail_start, tail_end] for this symbol-date"
688361.SSE,688361,SSE,688361.SH,2026-01-14,14:30,14:57,2026-01-14 14:30:00,2026-01-14 14:57:00,2026-01-13,181.368,"vt_symbol,bar_time,open,high,low,close,volume,turnover","return all real 1m bars in [tail_start, tail_end] for this symbol-date"
688385.SSE,688385,SSE,688385.SH,2026-01-14,14:30,14:57,2026-01-14 14:30:00,2026-01-14 14:57:00,2026-01-13,88.812,"vt_symbol,bar_time,open,high,low,close,volume,turnover","return all real 1m bars in [tail_start, tail_end] for this symbol-date"
000592.SZSE,000592,SZSE,000592.SZ,2026-01-15,14:30,14:57,2026-01-15 14:30:00,2026-01-15 14:57:00,2026-01-14,15.319999999999999,"vt_symbol,bar_time,open,high,low,close,volume,turnover","return all real 1m bars in [tail_start, tail_end] for this symbol-date"
002792.SZSE,002792,SZSE,002792.SZ,2026-01-15,14:30,14:57,2026-01-15 14:30:00,2026-01-15 14:57:00,2026-01-14,63.577999999999996,"vt_symbol,bar_time,open,high,low,close,volume,turnover","return all real 1m bars in [tail_start, tail_end] for this symbol-date"
688019.SSE,688019,SSE,688019.SH,2026-01-15,14:30,14:57,2026-01-15 14:30:00,2026-01-15 14:57:00,2026-01-14,267.844,"vt_symbol,bar_time,open,high,low,close,volume,turnover","return all real 1m bars in [tail_start, tail_end] for this symbol-date"
688090.SSE,688090,SSE,688090.SH,2026-01-15,14:30,14:57,2026-01-15 14:30:00,2026-01-15 14:57:00,2026-01-14,49.076,"vt_symbol,bar_time,open,high,low,close,volume,turnover","return all real 1m bars in [tail_start, tail_end] for this symbol-date"
688158.SSE,688158,SSE,688158.SH,2026-01-15,14:30,14:57,2026-01-15 14:30:00,2026-01-15 14:57:00,2026-01-14,30.582,"vt_symbol,bar_time,open,high,low,close,volume,turnover","return all real 1m bars in [tail_start, tail_end] for this symbol-date"
688333.SSE,688333,SSE,688333.SH,2026-01-15,14:30,14:57,2026-01-15 14:30:00,2026-01-15 14:57:00,2026-01-14,123.02000000000001,"vt_symbol,bar_time,open,high,low,close,volume,turnover","return all real 1m bars in [tail_start, tail_end] for this symbol-date"
688361.SSE,688361,SSE,688361.SH,2026-01-15,14:30,14:57,2026-01-15 14:30:00,2026-01-15 14:57:00,2026-01-14,181.644,"vt_symbol,bar_time,open,high,low,close,volume,turnover","return all real 1m bars in [tail_start, tail_end] for this symbol-date"
688498.SSE,688498,SSE,688498.SH,2026-01-15,14:30,14:57,2026-01-15 14:30:00,2026-01-15 14:57:00,2026-01-14,709.332,"vt_symbol,bar_time,open,high,low,close,volume,turnover","return all real 1m bars in [tail_start, tail_end] for this symbol-date"
002195.SZSE,002195,SZSE,002195.SZ,2026-01-16,14:30,14:57,2026-01-16 14:30:00,2026-01-16 14:57:00,2026-01-15,11.758,"vt_symbol,bar_time,open,high,low,close,volume,turnover","return all real 1m bars in [tail_start, tail_end] for this symbol-date"
002759.SZSE,002759,SZSE,002759.SZ,2026-01-16,14:30,14:57,2026-01-16 14:30:00,2026-01-16 14:57:00,2026-01-15,44.882,"vt_symbol,bar_time,open,high,low,close,volume,turnover","return all real 1m bars in [tail_start, tail_end] for this symbol-date"
688017.SSE,688017,SSE,688017.SH,2026-01-16,14:30,14:57,2026-01-16 14:30:00,2026-01-16 14:57:00,2026-01-15,199.914,"vt_symbol,bar_time,open,high,low,close,volume,turnover","return all real 1m bars in [tail_start, tail_end] for this symbol-date"
688027.SSE,688027,SSE,688027.SH,2026-01-16,14:30,14:57,2026-01-16 14:30:00,2026-01-16 14:57:00,2026-01-15,622.324,"vt_symbol,bar_time,open,high,low,close,volume,turnover","return all real 1m bars in [tail_start, tail_end] for this symbol-date"
