vt_symbol,name,g4,n1_date,h,lim3,vr_d0,vr_d1,gap_d1,bias10,tseg,B,ret_bw,A_B
000017.SZSE,深中华A,yang4,2024-02-20,2,False,0.8112054219180763,0.9847491208255479,0.0,0.49931911030411946,,0.13279132791327908,0.05510388437217695,-0.07768744354110213
000020.SZSE,深华发Ａ,yin2,2024-09-09,2,False,0.8464670516565361,1.5565386800876695,-0.011244979919678655,7.671019631583498,早,-0.009638554216867434,-0.009638554216867434,0.0
000029.SZSE,深深房Ａ,yin2,2026-06-09,2,False,0.9411190596589001,0.9128040112975478,0.04971475142624304,2.4292511895817714,早,0.09453952730236348,0.03748981255093731,-0.05704971475142617
000062.SZSE,深圳华强,yin4,2024-08-30,6,True,1.0366102987554435,1.0682011469317203,0.0852713178294573,41.89858101418984,早,0.0852713178294573,0.4496124031007751,0.3643410852713178
000062.SZSE,深圳华强,yang4,2024-09-30,2,False,1.0927497155254224,1.0645026746794732,0.07179312691391626,1.0035053955598228,尾,0.10003402517863202,0.044913235794487916,-0.05512078938414411
000066.SZSE,中国长城,yang4,2024-11-06,3,True,1.4551921488917023,1.1718281961067252,-0.010281385281385336,26.040103669349325,午,0.13636363636363624,0.25757575757575757,0.12121212121212133
000070.SZSE,特发信息,yang2,2025-08-25,2,False,0.7639495713339997,2.326723915089095,0.03805899143672686,4.214179474467028,早,0.11607992388201716,0.050428163653663205,-0.06565176022835395
000096.SZSE,广聚能源,yin2,2025-02-24,4,True,1.1179933460299547,0.17266984051660125,0.10029850746268654,18.057513391598533,早,0.2101492537313432,0.31343283582089554,0.10328358208955235
000099.SZSE,中信海直,yin2,2024-03-27,4,True,1.0807709155742637,0.17585434194910915,0.10007698229407236,2.477122120542763,,0.210161662817552,0.2986913010007699,0.0885296381832179
000421.SZSE,南京公用,yin2,2024-07-29,2,False,0.8185554931445145,1.2453673972744115,0.01663585951940849,2.773556231003038,,0.12754158964879836,0.031423290203327126,-0.09611829944547123
000421.SZSE,南京公用,yin2,2024-12-26,3,True,0.7992175273865415,0.17027617490100125,0.10030864197530853,1.2658227848101333,早,0.20987654320987637,0.13425925925925908,-0.07561728395061729
000506.SZSE,招金黄金,yin2,2026-07-02,2,False,1.4350334828862215,0.685201794175657,0.05075337034099925,-2.088671480705029,中,0.070578905630452,0.03965107057890571,-0.030927835051546282
000516.SZSE,国际医学,yang2,2026-01-13,2,False,1.0298669694094391,2.5411851708787156,0.04085257548845478,15.34521614423272,早,0.04440497335701599,-0.010657193605683735,-0.05506216696269972
000520.SZSE,凤凰航运,yang2,2026-07-01,2,False,1.5682916872124772,0.8896844043537874,0.051219512195122,1.1846001974333609,早,0.1048780487804879,0.10975609756097571,0.004878048780487809
000526.SZSE,学大教育,yang2,2023-05-26,2,False,1.382577459617266,2.4278992590477984,0.07930007446016374,5.964967650307695,,0.08711839166046165,0.19285182427401337,0.10573343261355173
000536.SZSE,华映科技,yang4,2024-09-30,3,True,1.0986198487225307,1.0948547394063965,0.09939759036144591,7.373868046571808,午,0.12349397590361444,0.09036144578313254,-0.033132530120481896
