vt_symbol,entry_day,touch5,ret_bw
000070.SZSE,2025-12-22,09:35,-0.0517774343122101
000409.SZSE,2025-03-12,09:35,-0.0707434052757793
000566.SZSE,2026-07-15,09:40,-0.0097087378640777
000592.SZSE,2025-10-31,09:40,0.1991525423728812
000592.SZSE,2025-12-02,09:45,-0.0991207034372502
000818.SZSE,2025-02-17,09:35,-0.019066040342636
000833.SZSE,2024-12-03,09:45,-0.1001540832049305
000859.SZSE,2024-10-29,09:35,-0.0731707317073171
000890.SZSE,2026-01-12,09:40,-0.0378006872852234
000965.SZSE,2025-05-07,09:35,-0.0447058823529412
001208.SZSE,2026-01-08,09:35,0.0207673354452657
001258.SZSE,2026-07-27,09:35,-0.0997906489881367
001258.SZSE,2026-08-10,09:35,0.0676795580110498
001896.SZSE,2026-03-03,09:45,-0.0829581993569132
002081.SZSE,2026-08-31,09:45,-0.0762987012987013
002097.SZSE,2025-08-04,09:35,0.1210762331838566
002103.SZSE,2024-12-13,09:35,-0.0277227722772277
002163.SZSE,2025-12-26,09:40,0.0778021978021978
002178.SZSE,2024-10-29,09:45,0.0907590759075909
002192.SZSE,2026-04-17,09:35,-0.0646443990002272
002199.SZSE,2024-10-31,09:45,-0.1003683241252302
002228.SZSE,2026-01-12,09:45,-0.0975143403441684
002250.SZSE,2025-06-09,09:40,0.0511363636363637
002342.SZSE,2026-02-06,09:45,-0.0380356283100625
002369.SZSE,2025-03-05,09:40,0.0064469914040115
002423.SZSE,2024-10-29,09:40,0.1497326203208557
002455.SZSE,2026-03-11,09:35,0.097080787508486
002529.SZSE,2024-11-07,09:45,0.0151351351351352
002565.SZSE,2025-12-12,09:40,0.0175548589341694
002580.SZSE,2025-03-18,09:35,-0.024498886414254
002651.SZSE,2025-05-16,09:35,-0.009880028228652
002682.SZSE,2025-12-30,09:35,-0.1861348528015194
002712.SZSE,2024-11-28,09:45,-0.0835820895522388
002730.SZSE,2025-01-15,09:40,0.0497237569060775
002730.SZSE,2025-01-17,09:35,0.3179160021265286
002741.SZSE,2024-12-10,09:35,-0.1607009694258016
002748.SZSE,2025-11-14,09:45,-0.1372299872935196
002757.SZSE,2026-01-28,09:35,-0.0488556338028168
002792.SZSE,2025-12-08,09:40,-0.0829734731647131
002792.SZSE,2025-12-15,09:35,-0.0099968759762573
002827.SZSE,2026-08-06,09:35,0.1902924451665313
002861.SZSE,2025-02-20,09:35,-0.0210526315789472
002990.SZSE,2026-05-07,09:40,-0.0233463035019455
003041.SZSE,2025-11-27,09:45,-0.1712877387553912
600103.SSE,2025-10-14,09:35,-0.0549738219895288
600118.SSE,2026-01-12,09:40,0.0416595234013372
600127.SSE,2026-08-27,09:40,0.0918367346938775
600162.SSE,2026-06-04,09:35,-0.0677506775067751
600376.SSE,2025-09-12,09:45,0.3176043557168784
600390.SSE,2024-10-31,09:45,-0.0552699228791774
600477.SSE,2026-02-09,09:45,0.0144927536231884
600500.SSE,2026-06-16,09:35,0.0154525386313464
600520.SSE,2024-11-11,09:40,-0.0241777390546721
600540.SSE,2025-04-16,09:40,-0.2162962962962963
600579.SSE,2025-01-21,09:40,0.1123110151187904
600590.SSE,2025-03-05,09:35,0.1903787103377687
600610.SSE,2025-04-14,09:40,0.1463664278403276
600613.SSE,2026-08-24,09:40,0.0373737373737372
600619.SSE,2024-10-28,09:40,0.0652573529411764
600721.SSE,2026-08-27,09:35,-0.0743405275779376
600749.SSE,2025-08-14,09:40,-0.0230010952902518
600749.SSE,2025-08-18,09:35,0.0016983695652172
600865.SSE,2025-12-25,09:40,-0.0170506912442396
601606.SSE,2025-06-30,09:45,0.0189328743545611
601929.SSE,2025-08-18,09:45,-0.0742459396751739
601929.SSE,2025-08-29,09:35,0.1054945054945055
603000.SSE,2026-02-10,09:35,-0.0449181575942139
603015.SSE,2025-01-21,09:35,-0.1020104244229336
603122.SSE,2025-12-05,09:45,0.0245005653976628
603390.SSE,2025-06-24,09:35,-0.0276792051100071
603696.SSE,2025-04-29,09:40,-0.1701644923425977
603716.SSE,2025-07-10,09:40,0.004685669660289
603773.SSE,2026-08-17,09:35,0.0718729064982295
603778.SSE,2025-11-27,09:35,0.2438330170777989
603839.SSE,2025-10-10,09:40,-0.0180467091295116
603950.SSE,2026-04-23,09:35,-0.1208822686909193
603958.SSE,2024-11-12,09:40,-0.0528325907065563
605099.SSE,2025-06-09,09:35,0.1107516177202589
605178.SSE,2025-11-17,09:40,-0.0627007733491968
605286.SSE,2026-08-24,09:35,-0.0153228748631887
