vt_symbol,name,g2,n1_date,touch,seal,ret_d1,ret_bw
000006.SZSE,深振业Ａ,yin2,2025-10-21,11:15,True,-0.006807866868381196,-0.006807866868381196
000011.SZSE,深物业A,yin2,2025-08-14,09:45,False,-0.09784560143626564,-0.09784560143626564
000012.SZSE,南 玻Ａ,yang2,2026-06-16,09:45,True,0.02433628318584069,0.02433628318584069
000012.SZSE,南 玻Ａ,yin2,2026-06-22,10:15,True,-0.01268498942917562,-0.01268498942917562
000017.SZSE,深中华A,yang2,2026-07-09,10:15,False,-0.10194902548725637,-0.10194902548725637
000017.SZSE,深中华A,yang2,2026-07-23,10:00,True,0.021126760563380254,0.021126760563380254
000020.SZSE,深华发Ａ,yin2,2024-09-09,10:15,True,0.10040160642570273,-0.009638554216867434
000020.SZSE,深华发Ａ,yang2,2024-09-19,14:45,True,-0.014032496307237796,-0.014032496307237796
000021.SZSE,深科技,yang2,2024-11-11,15:00,True,-0.04015378043571127,-0.04015378043571127
000029.SZSE,深深房Ａ,yang2,2024-10-24,10:30,False,-0.013207547169811429,-0.013207547169811429
000029.SZSE,深深房Ａ,yang2,2024-10-31,09:45,True,-0.059312638580931276,-0.059312638580931276
000029.SZSE,深深房Ａ,yin2,2026-06-09,10:00,True,0.0998370008149958,0.03748981255093731
000029.SZSE,深深房Ａ,yin2,2026-06-16,10:45,True,0.034395365677045486,0.034395365677045486
000032.SZSE,深桑达Ａ,yang2,2025-03-12,13:45,False,-0.06813996316758741,-0.06813996316758741
000034.SZSE,神州数码,yang2,2025-02-13,13:45,False,0.0714430277271807,0.09734871483505358
000034.SZSE,神州数码,yang2,2025-02-14,10:15,True,0.0241783150736683,0.0241783150736683
000035.SZSE,中国天楹,yin2,2026-03-06,10:15,False,-0.05378973105134466,-0.05378973105134466
000035.SZSE,中国天楹,yin2,2026-03-24,09:45,True,0.013404825737265424,0.013404825737265424
000036.SZSE,华联控股,yin2,2026-02-25,11:15,True,-0.06260296540362431,-0.06260296540362431
000037.SZSE,深南电A,yang2,2026-08-03,10:00,True,0.001984126984126977,0.001984126984126977
000039.SZSE,中集集团,yang2,2026-02-26,14:45,False,-0.004424778761061954,-0.004424778761061954
000058.SZSE,深 赛 格,yin2,2024-09-06,10:45,False,0.040764331210191074,-0.06369426751592355
000061.SZSE,农 产 品,yang2,2025-09-10,10:45,True,-0.006465517241379226,-0.006465517241379226
000062.SZSE,深圳华强,yang2,2025-05-06,13:45,True,0.025550035486160416,0.025550035486160416
000062.SZSE,深圳华强,yin2,2026-05-11,10:30,True,-0.043489383474034304,-0.043489383474034304
000065.SZSE,北方国际,yin2,2025-02-24,09:45,True,-0.018578352180937063,-0.018578352180937063
000068.SZSE,华控赛格,yang2,2024-09-04,10:00,False,-0.10355029585798825,-0.10355029585798825
000068.SZSE,华控赛格,yang2,2024-09-10,09:45,True,-0.04088050314465419,-0.04088050314465419
000068.SZSE,华控赛格,yang2,2026-07-01,09:45,True,-0.041800643086816636,-0.041800643086816636
000070.SZSE,特发信息,yang2,2025-08-25,10:00,True,0.09990485252140835,0.050428163653663205
000070.SZSE,特发信息,yang2,2025-09-12,09:45,True,-0.004336513443191636,-0.004336513443191636
000096.SZSE,广聚能源,yin2,2025-02-20,14:15,True,-0.06392132759680391,-0.06392132759680391
000096.SZSE,广聚能源,yin2,2025-02-24,10:00,True,0.10029850746268654,0.31343283582089554
000099.SZSE,中信海直,yin2,2024-11-18,15:00,True,0.028502747252747263,0.028502747252747263
000156.SZSE,华数传媒,yin2,2025-02-21,09:45,False,-0.06695464362850967,-0.06695464362850967
000158.SZSE,常山北明,yang2,2025-02-24,14:45,True,0.025482344375682642,0.025482344375682642
000421.SZSE,南京公用,yin2,2024-12-26,09:45,True,0.10030864197530853,0.13425925925925908
