vt_symbol,entry_day,touch5,ret_bw
000573.SZSE,2025-01-23,14:55,0.041015625
002190.SZSE,2025-06-13,15:00,0.0190631808278867
002312.SZSE,2024-11-19,14:55,0.1208515967438945
002963.SZSE,2026-08-11,14:55,-0.0492782478845196
600579.SSE,2025-01-14,14:50,-0.0138248847926266
600744.SSE,2026-08-07,14:50,-0.0190355329949237
600826.SSE,2024-12-11,14:55,0.0120361083249749
603881.SSE,2025-03-11,14:50,-0.0116857284932868
000062.SZSE,2024-09-30,14:55,0.0449132357944879
000547.SZSE,2025-12-05,14:50,0.0695187165775401
000565.SZSE,2025-05-14,14:55,0.1286701208981002
002682.SZSE,2025-12-25,14:55,-0.0219780219780219
002702.SZSE,2025-12-09,14:50,-0.1131907308377897
002703.SZSE,2025-12-26,15:00,0.0402742073693231
600272.SSE,2025-01-02,14:55,-0.109916367980884
600272.SSE,2026-08-18,14:50,-0.0683229813664596
600693.SSE,2025-01-16,14:50,-0.0346260387811634
601212.SSE,2026-03-02,15:00,-0.0977060322854715
601606.SSE,2025-08-29,14:50,0.0221194159317623
603211.SSE,2025-02-17,14:55,-0.051877470355731
603280.SSE,2025-08-14,14:50,-0.051010101010101
603626.SSE,2024-10-08,14:50,-0.0999999999999999
605303.SSE,2025-09-12,14:50,0.1088992974238878
