vt_symbol,entry_day,touch5,ret_bw
000530.SZSE,2024-11-25,14:45,-0.0373001776198934
000593.SZSE,2026-05-27,14:35,-0.0720245937637242
000657.SZSE,2025-11-05,14:40,0.0019960079840319
000710.SZSE,2025-03-06,14:45,0.0279097387173397
000880.SZSE,2025-02-14,14:45,0.0695047784535187
000981.SZSE,2025-02-05,14:45,-0.0313901345291479
002134.SZSE,2024-11-27,14:40,-0.0381679389312978
002265.SZSE,2025-06-30,14:40,-0.0568108457069077
002269.SZSE,2025-01-07,14:35,-0.0150375939849624
002491.SZSE,2026-04-16,14:35,-0.0313700384122918
002600.SZSE,2025-08-28,14:35,-0.0442804428044282
002757.SZSE,2025-03-26,14:40,-0.0542168674698794
002882.SZSE,2025-05-23,14:40,0.0184233076263924
002953.SZSE,2025-08-29,14:45,-0.0453416149068324
003026.SZSE,2024-10-18,14:45,0.0127844541038097
003036.SZSE,2025-09-24,14:40,-0.0302363936228697
600362.SSE,2025-10-29,14:40,0.0055671537926236
600611.SSE,2024-08-21,14:40,-0.0128331688055282
600895.SSE,2024-11-05,14:40,0.0128166915052161
600977.SSE,2025-09-12,14:40,0.1090909090909091
600999.SSE,2024-10-18,14:35,-0.0372848948374761
601083.SSE,2025-05-13,14:45,0.0645952575633685
601099.SSE,2024-10-18,14:40,-0.0602678571428572
601878.SSE,2024-10-18,14:40,-0.0444444444444444
603061.SSE,2024-10-31,14:35,-0.058065279091769
603228.SSE,2026-08-12,14:45,-0.0102840851237143
603290.SSE,2024-10-18,14:45,0.0011073082343466
603861.SSE,2026-07-23,14:45,-0.0446280991735537
603958.SSE,2025-04-01,14:35,0.0920830993823695
605056.SSE,2024-10-18,14:35,0.0555961960497439
605299.SSE,2026-03-27,14:40,0.0072727272727273
605358.SSE,2024-10-18,14:40,0.0146604938271603
000953.SZSE,2025-04-11,14:35,0.0421245421245422
002916.SZSE,2024-10-18,14:35,-0.0118369136343708
605069.SSE,2025-03-24,14:35,0.0890346766635425
000020.SZSE,2024-09-19,14:35,-0.0140324963072377
000039.SZSE,2026-02-26,14:40,-0.0044247787610619
000158.SZSE,2025-02-24,14:45,0.0254823443756826
002115.SZSE,2025-02-11,14:45,-0.0207317073170731
002149.SZSE,2025-12-12,14:35,0.0428620808848947
002149.SZSE,2025-12-25,14:45,0.0125541125541124
002176.SZSE,2025-09-08,14:35,0.0302724520686177
002187.SZSE,2024-12-26,14:40,-0.0154711673699016
002281.SZSE,2026-05-19,14:45,0.0238641777469792
002409.SZSE,2026-06-22,14:45,-0.047584453323647
002437.SZSE,2026-08-28,14:35,-0.1008230452674897
002552.SZSE,2025-01-15,14:40,-0.0496411483253587
002640.SZSE,2026-05-11,14:40,-0.0462555066079295
002679.SZSE,2025-11-17,14:45,-0.0998817966903073
002792.SZSE,2026-01-05,14:45,0.0083031722375985
002809.SZSE,2026-01-29,14:40,0.037212449255751
002837.SZSE,2025-08-12,14:35,0.035234289865601
002878.SZSE,2025-01-09,14:45,-0.0998858447488584
002899.SZSE,2025-01-09,14:35,-0.0592750533049041
002987.SZSE,2024-10-21,14:40,-0.0679393599101626
600172.SSE,2026-06-25,14:45,-0.1148325358851675
600584.SSE,2026-06-22,14:40,-0.0573743567283476
600593.SSE,2024-12-05,14:35,0.0639534883720931
600825.SSE,2025-03-10,14:40,-0.0231065468549421
600988.SSE,2026-07-21,14:35,0.0772266065388951
601696.SSE,2025-07-29,14:40,-0.1030066815144766
603109.SSE,2025-03-18,14:35,-0.0326170376055255
603316.SSE,2024-10-08,14:45,-0.0219378427787934
605033.SSE,2025-06-06,14:35,0.0097267253358035
605277.SSE,2025-07-10,14:40,-0.0525705450328565
605287.SSE,2026-05-25,14:35,-0.1205211726384364
605388.SSE,2024-12-12,14:45,-0.0439024390243901
605488.SSE,2025-03-05,14:45,0.0790844808336435
000783.SZSE,2024-10-18,14:45,-0.0455192034139403
000799.SZSE,2024-10-18,14:45,-0.0099009900990099
001208.SZSE,2026-01-12,14:40,-0.1238244514106583
001896.SZSE,2026-03-27,14:35,-0.0997581620314388
002470.SZSE,2026-03-17,14:35,-0.0027777777777778
002640.SZSE,2024-12-12,14:35,-0.0387323943661971
002724.SZSE,2025-03-24,14:40,-0.0996784565916398
600120.SSE,2025-02-19,14:35,-0.0260223048327137
600590.SSE,2025-03-14,14:45,-0.0791245791245792
603222.SSE,2025-08-27,14:35,0.1474103585657371
000678.SZSE,2025-04-09,14:40,-0.0121633362293658
002201.SZSE,2026-01-26,14:40,-0.0767813267813268
002362.SZSE,2024-12-20,14:35,-0.1284781861903126
002636.SZSE,2025-02-20,14:40,-0.0348605577689242
600172.SSE,2025-01-02,14:35,-0.0545851528384279
600693.SSE,2025-11-26,14:45,0.0113753877973112
600749.SSE,2025-08-13,14:35,0.0332681017612523
600778.SSE,2025-01-09,14:35,-0.1425389755011136
601086.SSE,2025-05-07,14:35,0.0409407665505225
603617.SSE,2025-01-20,14:45,-0.041062801932367
603657.SSE,2025-06-04,14:45,0.1275303643724696
603881.SSE,2025-03-06,14:45,-0.0299060800790904
605136.SSE,2025-05-23,14:45,-0.0006891798759476
605188.SSE,2025-05-16,14:40,0.0728775356874529
