vt_symbol,name,g4,trade_date,n1_date,h,seal,a1,a2,st3,st3c,bias10,bias20,bias30,vr_d0,vr_tm1,touch,tseg
000006.SZSE,深振业Ａ,yin2,2025-10-20,2025-10-21,1,True,False,False,++,全多(10>20>30),>5,>5,>5,0.6399738212682266,0.9425742314424895,11:15,中10:30~11:30
000008.SZSE,神州高铁,yin4,2024-12-23,2024-12-24,1,True,False,False,++,全多(10>20>30),0~5,0~5,>5,2.1528415588453447,0.9107689278931745,10:00,早09:30~10:30
000011.SZSE,深物业A,yin2,2025-08-13,2025-08-14,0,False,False,False,++,全多(10>20>30),>5,>5,>5,2.3516277423203547,3.433336953373878,09:45,早09:30~10:30
000012.SZSE,南 玻Ａ,yang2,2026-06-15,2026-06-16,1,True,False,False,++,全多(10>20>30),>5,>5,>5,0.7333442187377518,0.7876837508891172,09:45,早09:30~10:30
000012.SZSE,南 玻Ａ,yin2,2026-06-18,2026-06-22,1,True,False,False,++,全多(10>20>30),>5,>5,>5,1.0592527519105526,1.3967462343345827,10:15,早09:30~10:30
000017.SZSE,深中华A,yang4,2024-02-19,2024-02-20,2,True,True,False,-+,混合,0~5,-5~0,>5,0.8112054219180763,0.898834656681105,,
000017.SZSE,深中华A,yin4,2024-02-23,2024-02-26,1,True,False,False,-+,混合,>5,>5,>5,1.044282316542786,0.9242807966207083,,
000017.SZSE,深中华A,yang2,2026-07-08,2026-07-09,0,False,False,False,++,全多(10>20>30),>5,>5,>5,2.536378833485575,0.8411483785347484,10:15,早09:30~10:30
000017.SZSE,深中华A,yang2,2026-07-22,2026-07-23,1,True,False,False,-+,混合,0~5,-5~0,0~5,0.7614904886869749,0.7314297036068191,10:00,早09:30~10:30
000020.SZSE,深华发Ａ,yin2,2024-09-06,2024-09-09,2,True,True,False,++,全多(10>20>30),>5,>5,>5,0.8464670516565361,0.8677622561026905,10:15,早09:30~10:30
000020.SZSE,深华发Ａ,yang2,2024-09-18,2024-09-19,1,True,False,False,++,全多(10>20>30),>5,>5,>5,1.0886844550428851,0.7362080693617193,14:45,尾14:00~15:00
000021.SZSE,深科技,yang2,2024-11-08,2024-11-11,1,True,False,False,++,全多(10>20>30),>5,>5,>5,1.1646094510603107,0.9518408399551442,15:00,尾14:00~15:00
000029.SZSE,深深房Ａ,yang2,2024-10-23,2024-10-24,0,False,False,False,++,全多(10>20>30),>5,>5,>5,2.4567190180732803,0.68541838143321,10:30,早09:30~10:30
000029.SZSE,深深房Ａ,yang2,2024-10-30,2024-10-31,1,True,False,False,++,全多(10>20>30),>5,>5,>5,0.8974929791186372,0.6977249341603465,09:45,早09:30~10:30
000029.SZSE,深深房Ａ,yin2,2026-06-08,2026-06-09,2,True,True,False,-+,混合,0~5,-5~0,0~5,0.9411190596589001,1.059803668302764,10:00,早09:30~10:30
000029.SZSE,深深房Ａ,yin2,2026-06-15,2026-06-16,1,True,False,False,--,全空(10<20<30),>5,>5,>5,1.0764114333224049,0.907881867147011,10:45,中10:30~11:30
000032.SZSE,深桑达Ａ,yang2,2025-03-11,2025-03-12,0,False,False,False,-+,混合,0~5,-5~0,>5,1.4232582053494278,0.6061682632734401,13:45,午13:00~14:00
000032.SZSE,深桑达Ａ,yang4,2026-06-17,2026-06-18,0,False,False,False,+-,混合,>5,>5,>5,1.462324257783295,2.192048826236699,10:00,早09:30~10:30
000032.SZSE,深桑达Ａ,yin4,2026-06-23,2026-06-24,1,True,False,False,+-,混合,>5,>5,>5,0.8939238652875977,0.6956020284491932,10:00,早09:30~10:30
000032.SZSE,深桑达Ａ,yin4,2026-07-08,2026-07-09,0,False,False,False,-+,混合,-5~0,-5~0,>5,1.6189914588938725,0.7815292922920484,10:15,早09:30~10:30
000034.SZSE,神州数码,yang2,2025-02-12,2025-02-13,0,False,False,False,++,全多(10>20>30),>5,>5,>5,1.351649838251152,1.244599701089555,13:45,午13:00~14:00
000034.SZSE,神州数码,yang2,2025-02-13,2025-02-14,1,True,False,False,++,全多(10>20>30),>5,>5,>5,0.6759376008807906,1.351649838251152,10:15,早09:30~10:30
000035.SZSE,中国天楹,yin2,2026-03-05,2026-03-06,0,False,False,False,++,全多(10>20>30),>5,>5,>5,1.451536794645618,1.1610204517220186,10:15,早09:30~10:30
000035.SZSE,中国天楹,yin2,2026-03-23,2026-03-24,1,True,False,False,++,全多(10>20>30),-5~0,0~5,>5,1.6659723951481495,0.6823957665056304,09:45,早09:30~10:30
000036.SZSE,华联控股,yin2,2026-02-24,2026-02-25,1,True,False,False,--,全空(10<20<30),>5,0~5,-5~0,2.306276177710413,0.8394403273453407,11:15,中10:30~11:30
000037.SZSE,深南电A,yang4,2023-07-06,2023-07-07,0,False,False,False,++,全多(10>20>30),>5,>5,>5,1.276498975748247,0.5838199240707981,,
000037.SZSE,深南电A,yang4,2023-07-07,2023-07-10,0,False,False,False,++,全多(10>20>30),>5,>5,>5,1.2451750415187692,1.276498975748247,,
000037.SZSE,深南电A,yang2,2026-07-31,2026-08-03,1,True,False,False,+-,混合,>5,>5,>5,1.4974121455781964,0.7140820063060475,10:00,早09:30~10:30
000039.SZSE,中集集团,yang2,2026-02-25,2026-02-26,0,False,False,False,++,全多(10>20>30),>5,>5,>5,1.2628555734595246,1.3097663537593403,14:45,尾14:00~15:00
000058.SZSE,深 赛 格,yin2,2024-09-05,2024-09-06,0,False,False,False,++,全多(10>20>30),>5,>5,>5,2.4939993431945844,3.052666867231718,10:45,中10:30~11:30
000061.SZSE,农 产 品,yang2,2025-09-09,2025-09-10,1,True,False,False,++,全多(10>20>30),>5,>5,>5,1.0602416033409336,0.8324005516354921,10:45,中10:30~11:30
000062.SZSE,深圳华强,yin4,2024-08-29,2024-08-30,6,True,True,True,++,全多(10>20>30),>5,>5,>5,1.0366102987554435,2.3716277143486484,10:00,早09:30~10:30
000062.SZSE,深圳华强,yin4,2024-09-20,2024-09-23,0,False,False,False,++,全多(10>20>30),-5~0,>5,>5,1.5998335785371967,0.7151226562878779,11:15,中10:30~11:30
000062.SZSE,深圳华强,yang4,2024-09-27,2024-09-30,2,True,True,False,-+,混合,0~5,<-5,>5,1.0927497155254224,1.0133898641604113,15:00,尾14:00~15:00
000062.SZSE,深圳华强,yang2,2025-04-30,2025-05-06,1,True,False,False,++,全多(10>20>30),>5,>5,>5,1.3653856735901528,1.3003925796402667,13:45,午13:00~14:00
000062.SZSE,深圳华强,yin2,2026-05-08,2026-05-11,1,True,False,False,++,全多(10>20>30),>5,>5,>5,0.7926390034172591,0.7555157297075515,10:30,早09:30~10:30
000065.SZSE,北方国际,yin2,2025-02-21,2025-02-24,1,True,False,False,++,全多(10>20>30),>5,>5,>5,0.6284434898211764,1.035626650585373,09:45,早09:30~10:30
000066.SZSE,中国长城,yang4,2024-11-05,2024-11-06,3,True,True,True,++,全多(10>20>30),>5,>5,>5,1.4551921488917023,1.5225889872214597,13:45,午13:00~14:00
000068.SZSE,华控赛格,yang2,2024-09-03,2024-09-04,0,False,False,False,++,全多(10>20>30),0~5,>5,>5,1.4977654593545144,0.8937475890332421,10:00,早09:30~10:30
000068.SZSE,华控赛格,yang2,2024-09-09,2024-09-10,1,True,False,False,++,全多(10>20>30),>5,>5,>5,0.6762877993451324,0.5356651781360271,09:45,早09:30~10:30
000068.SZSE,华控赛格,yang2,2026-06-30,2026-07-01,1,True,False,False,-+,混合,0~5,<-5,-5~0,0.8138448496802955,0.5655428726292928,09:45,早09:30~10:30
000070.SZSE,特发信息,yang2,2023-06-07,2023-06-08,1,True,False,False,++,全多(10>20>30),>5,>5,>5,1.0368281193689903,0.47959453339334673,,
000070.SZSE,特发信息,yang2,2025-08-22,2025-08-25,2,True,True,False,++,全多(10>20>30),0~5,>5,>5,0.7639495713339997,0.40092890274347465,10:00,早09:30~10:30
000070.SZSE,特发信息,yang2,2025-09-11,2025-09-12,1,True,False,False,-+,混合,>5,>5,>5,1.0883144112372585,1.1704885655656208,09:45,早09:30~10:30
000070.SZSE,特发信息,yin4,2025-12-09,2025-12-10,1,True,False,False,++,全多(10>20>30),>5,>5,>5,0.9273628518033655,0.9940841268299655,14:15,尾14:00~15:00
000070.SZSE,特发信息,yang4,2025-12-19,2025-12-22,1,True,False,False,-+,混合,0~5,-5~0,>5,0.8084173586364037,0.5056345078091707,09:45,早09:30~10:30
000096.SZSE,广聚能源,yin2,2025-02-19,2025-02-20,1,True,False,False,++,全多(10>20>30),>5,>5,>5,3.9431660078385256,3.2392664393308808,14:15,尾14:00~15:00
000096.SZSE,广聚能源,yin2,2025-02-21,2025-02-24,4,True,True,True,++,全多(10>20>30),>5,>5,>5,1.1179933460299547,1.402429769815485,10:00,早09:30~10:30
000099.SZSE,中信海直,yang2,2024-03-15,2024-03-18,0,False,False,False,++,全多(10>20>30),>5,>5,>5,1.2687953212093506,1.0262671846295088,,
000099.SZSE,中信海直,yin2,2024-03-26,2024-03-27,4,True,True,True,++,全多(10>20>30),0~5,>5,>5,1.0807709155742637,0.5358316129432684,,
000099.SZSE,中信海直,yin4,2024-04-09,2024-04-10,1,True,False,False,++,全多(10>20>30),>5,>5,>5,0.877832477956019,0.8309217290009082,,
000099.SZSE,中信海直,yin4,2024-04-12,2024-04-15,1,True,False,False,++,全多(10>20>30),0~5,>5,>5,1.3531725957768383,0.9132794585629659,,
000099.SZSE,中信海直,yin4,2024-04-25,2024-04-26,0,False,False,False,++,全多(10>20>30),>5,>5,>5,1.2475113986519129,0.9590788883710513,,
000099.SZSE,中信海直,yin2,2024-11-15,2024-11-18,1,True,False,False,++,全多(10>20>30),-5~0,>5,>5,1.1194306413696737,0.5850102383998883,15:00,尾14:00~15:00
000151.SZSE,中成股份,yang4,2024-02-20,2024-02-21,0,False,False,False,--,全空(10<20<30),-5~0,<-5,<-5,1.5028728294177733,0.9364894571449787,,
000156.SZSE,华数传媒,yin2,2025-02-20,2025-02-21,0,False,False,False,++,全多(10>20>30),0~5,>5,>5,1.0715440724422358,0.399555567562357,09:45,早09:30~10:30
000158.SZSE,常山北明,yang2,2023-10-25,2023-10-26,0,False,False,False,++,全多(10>20>30),0~5,>5,>5,1.5519905348540923,1.0066522895901964,,
000158.SZSE,常山北明,yang2,2025-02-21,2025-02-24,1,True,False,False,++,全多(10>20>30),>5,>5,>5,1.3933690424401883,0.9323811717730169,14:45,尾14:00~15:00
000409.SZSE,云鼎科技,yang4,2025-03-11,2025-03-12,0,False,False,False,++,全多(10>20>30),>5,>5,>5,1.596697235075496,1.904718967634561,09:45,早09:30~10:30
000410.SZSE,沈阳机床,yin2,2023-06-13,2023-06-14,0,False,False,False,-+,混合,0~5,0~5,>5,2.4873017823365413,0.7172668668038698,,
000421.SZSE,南京公用,yin2,2024-07-26,2024-07-29,2,True,True,False,++,全多(10>20>30),0~5,>5,>5,0.8185554931445145,0.7079552275237547,,
000421.SZSE,南京公用,yin2,2024-12-25,2024-12-26,3,True,True,True,-+,混合,0~5,<-5,-5~0,0.7992175273865415,1.0707704505917894,09:45,早09:30~10:30
000422.SZSE,湖北宜化,yang2,2024-05-29,2024-05-30,0,False,False,False,++,全多(10>20>30),0~5,>5,>5,3.14166301675107,0.6281199387508735,,
000428.SZSE,华天酒店,yin2,2026-09-03,2026-09-04,1,True,False,False,++,全多(10>20>30),>5,>5,>5,0.8579613117852337,0.8166140988994409,10:00,早09:30~10:30
000430.SZSE,张家界,yang2,2024-10-28,2024-10-29,0,False,False,False,-+,混合,>5,0~5,>5,2.4197571252377466,1.1382674693191168,10:00,早09:30~10:30
000503.SZSE,国新健康,yang2,2024-10-22,2024-10-23,1,True,False,False,++,全多(10>20>30),>5,>5,>5,1.3555412802209368,1.2880897384479406,10:45,中10:30~11:30
000504.SZSE,南华生物,yin2,2024-02-20,2024-02-21,1,True,False,False,--,全空(10<20<30),>5,<-5,<-5,0.5813269320447297,0.5585496423590804,,
000504.SZSE,南华生物,yin2,2024-03-01,2024-03-04,1,True,False,False,+-,混合,0~5,>5,-5~0,1.3612757078299365,0.6092180559446156,,
000504.SZSE,南华生物,yin2,2024-03-07,2024-03-08,1,True,False,False,+-,混合,>5,>5,>5,0.6159657466534855,0.8841898893712365,,
000504.SZSE,南华生物,yin2,2024-03-12,2024-03-13,0,False,False,False,+-,混合,>5,>5,>5,1.5152280231937998,0.9797246564568799,,
