vt_symbol,name,group_key,entry_date,entry_price,ret_bw,seal,open_g,exit_reason,entry_day,touch,open
000006.SZSE,深振业Ａ,yin2,2025-10-21,13.22,-0.006807866868381196,True,-0.004159733777038155,next_close_fail,2025-10-21,11:15,11.97
000011.SZSE,深物业A,yin2,2025-08-14,11.14,-0.09784560143626564,False,-0.021717670286278468,next_close_fail,2025-08-14,09:45,9.91
000012.SZSE,南 玻Ａ,yin2,2026-06-22,4.73,-0.01268498942917562,True,0.018604651162790642,next_close_fail,2026-06-22,10:15,4.38
000020.SZSE,深华发Ａ,yin2,2024-09-09,12.45,-0.009638554216867434,True,-0.005300353356890497,break_close,2024-09-09,10:15,11.26
000029.SZSE,深深房Ａ,yin2,2026-06-09,24.54,0.03748981255093731,True,0.009412819363514124,break_close,2026-06-09,10:00,22.52
000029.SZSE,深深房Ａ,yin2,2026-06-16,27.62,0.034395365677045486,True,0.009159697331740269,next_close_fail,2026-06-16,10:45,25.34
000035.SZSE,中国天楹,yin2,2026-03-06,8.18,-0.05378973105134466,False,0.04166666666666652,next_close_fail,2026-03-06,10:15,7.75
000035.SZSE,中国天楹,yin2,2026-03-24,7.46,0.013404825737265424,True,0.03982300884955747,next_close_fail,2026-03-24,09:45,7.05
000036.SZSE,华联控股,yin2,2026-02-25,6.07,-0.06260296540362431,True,0.019927536231884035,next_close_fail,2026-02-25,11:15,5.63
000058.SZSE,深 赛 格,yin2,2024-09-06,7.85,-0.06369426751592355,False,-0.054621848739495715,break_close,2024-09-06,10:45,6.75
000062.SZSE,深圳华强,yin2,2026-05-11,39.09,-0.043489383474034304,True,0.01828925154755212,next_close_fail,2026-05-11,10:30,36.19
000065.SZSE,北方国际,yin2,2025-02-24,12.38,-0.018578352180937063,True,0.040000000000000036,next_close_fail,2025-02-24,09:45,11.7
000096.SZSE,广聚能源,yin2,2025-02-20,16.27,-0.06392132759680391,True,-0.01487491548343467,next_close_fail,2025-02-20,14:15,14.57
000096.SZSE,广聚能源,yin2,2025-02-24,16.75,0.31343283582089554,True,-0.028233749179251477,break_close,2025-02-24,10:00,14.8
000099.SZSE,中信海直,yin2,2024-11-18,29.12,0.028502747252747263,True,0.0,next_close_fail,2024-11-18,15:00,26.47
000156.SZSE,华数传媒,yin2,2025-02-21,9.26,-0.06695464362850967,False,0.04275534441805218,next_close_fail,2025-02-21,09:45,8.78
