vt_symbol,name,date,ym,组,出手,通道,位置,夹层,曾收顶上,res,D1开%,D1收%,板留%,距顶%,坑深%,弹回%,坑宽,ma_st,上波高,昨幅%,昨上影%,昨涨停家,is_wv,v3grp,is_lim,n1_lim,prev_lim
000006.SZSE,深振业Ａ,2025-10-21,2025-10,2板补涨阴,False,,U坑内,,True,封D1负,4.01,-0.68,-0.68,-8.45,-12.8,4.98,6,+++,2,-1.8,2.21,66.0,False,,True,False,False
000011.SZSE,深物业A,2025-08-14,2025-08,2板补涨阴,False,,无U,,False,炸板,-11.58,-9.78,-9.78,-3.71,-3.71,0.0,2,+++,2,-3.71,1.33,80.0,False,,False,False,False
000012.SZSE,南 玻Ａ,2026-06-22,2026-06,2板补涨阴,False,,U突破,,True,封D1负,-0.85,-1.27,-1.27,-2.27,-9.09,7.5,20,+++,2,-7.13,0.65,75.0,False,,True,False,False
000020.SZSE,深华发Ａ,2024-09-09,2024-09,2板补涨阴,False,,U坑内,,False,连板,-1.12,10.04,-0.96,-13.59,-13.59,0.0,3,+++,2,-6.21,2.15,26.0,True,01,True,True,False
000029.SZSE,深深房Ａ,2026-06-09,2026-06,2板补涨阴,False,,U坑内,,True,连板,4.97,9.98,3.75,-15.78,-15.78,0.0,20,--+,2,-3.38,0.35,45.0,True,02,True,True,False
000029.SZSE,深深房Ａ,2026-06-16,2026-06,2板补涨阴,False,,U坑内,,False,封D1正,1.23,3.44,3.44,-6.97,-6.97,0.0,4,+--,2,-0.91,1.58,127.0,False,,True,False,False
000035.SZSE,中国天楹,2026-03-06,2026-03,2板补涨阴,False,,U突破,,False,炸板,-4.52,-5.38,-5.38,-3.5,-4.41,0.95,4,+++,2,-1.72,2.64,55.0,False,,False,False,False
000035.SZSE,中国天楹,2026-03-24,2026-03,2板补涨阴,False,,U坑内,,True,封D1正,0.67,1.34,1.34,-12.06,-12.06,0.0,16,-++,2,-2.45,2.59,24.0,False,,True,False,False
000036.SZSE,华联控股,2026-02-25,2026-02,2板补涨阴,False,,U坑内,,True,封D1负,1.65,-6.26,-6.26,-18.7,-18.7,0.0,18,---,2,-0.18,2.17,82.0,False,,True,False,False
000058.SZSE,深 赛 格,2024-09-06,2024-09,2板补涨阴,False,,无U,,False,炸板,-7.01,4.08,-6.37,-0.14,-0.14,0.0,2,+++,2,-0.14,3.64,39.0,False,,False,True,False
000062.SZSE,深圳华强,2026-05-11,2026-05,2板补涨阴,True,U坑,U坑内,,False,封D1负,1.05,-4.35,-4.35,-5.9,-5.9,0.0,7,+++,2,-5.13,0.83,89.0,False,,True,False,False
000065.SZSE,北方国际,2025-02-24,2025-02,2板补涨阴,False,,U坑内,,False,封D1负,9.05,-1.86,-1.86,-6.09,-6.09,0.0,3,+++,2,-0.88,1.06,82.0,False,,True,False,False
000096.SZSE,广聚能源,2025-02-20,2025-02,2板补涨阴,False,,无U,,False,封D1负,-5.9,-6.39,-6.39,-3.52,-3.52,0.0,2,+++,2,-3.52,0.26,90.0,False,,True,False,False
000096.SZSE,广聚能源,2025-02-24,2025-02,2板补涨阴,False,,无U,,False,连板,10.03,10.03,31.34,-0.65,-3.52,2.97,4,+++,2,-6.39,2.64,82.0,True,03,True,True,False
000099.SZSE,中信海直,2024-03-27,2024-03,2板补涨阴,False,,U坑内,,True,连板,10.01,10.01,29.87,-8.87,-8.87,0.0,10,-++,2,-1.17,2.18,50.0,True,05,True,True,False
000099.SZSE,中信海直,2024-11-18,2024-11,2板补涨阴,False,,U坑内,,True,封D1正,-0.76,2.85,2.85,-11.85,-11.85,0.0,8,+++,2,-5.16,1.04,53.0,False,,True,False,False
000156.SZSE,华数传媒,2025-02-21,2025-02,2板补涨阴,False,,U坑内,,True,炸板,-3.78,-6.7,-6.7,-9.66,-12.02,2.68,7,+++,2,0.0,3.92,76.0,False,,False,False,False
000410.SZSE,沈阳机床,2023-06-14,2023-06,2板补涨阴,True,U坑,U坑内,,False,炸板,-5.79,1.06,1.06,-12.7,-14.74,2.39,14,+-+,2,-0.39,0.52,35.0,False,,False,False,False
