组,月,U形态,炸板,封D1负,好票,连板,差票率%
2板补涨阳,2007-11,1,1,0,0,0,100
2板补涨阳,2010-01,1,1,0,0,0,100
2板补涨阳,2012-05,2,1,1,1,0,50
2板补涨阳,2020-07,1,0,0,1,1,0
2板补涨阳,2023-04,7,2,3,3,1,57
2板补涨阳,2023-05,16,3,6,7,3,56
2板补涨阳,2023-06,10,2,4,4,1,60
2板补涨阳,2023-07,7,2,1,4,1,43
2板补涨阳,2023-08,10,3,3,4,1,60
2板补涨阳,2023-09,6,3,1,2,0,67
2板补涨阳,2023-10,13,6,3,5,2,62
2板补涨阳,2023-11,15,4,4,7,2,53
2板补涨阳,2023-12,11,2,3,6,3,45
2板补涨阳,2024-01,7,2,4,1,1,86
2板补涨阳,2024-02,13,3,4,5,1,62
2板补涨阳,2024-03,24,8,7,9,0,62
2板补涨阳,2024-04,16,6,5,5,3,69
2板补涨阳,2024-05,14,6,3,5,1,64
2板补涨阳,2024-06,5,0,2,3,1,40
2板补涨阳,2024-07,16,3,4,9,1,44
2板补涨阳,2024-08,12,4,6,2,0,83
2板补涨阳,2024-09,25,5,6,17,5,32
2板补涨阳,2024-10,51,17,16,23,9,55
2板补涨阳,2024-11,53,16,12,25,10,53
2板补涨阳,2024-12,53,12,21,20,6,62
2板补涨阳,2025-01,33,11,9,12,7,64
2板补涨阳,2025-02,25,10,6,9,1,64
2板补涨阳,2025-03,28,8,11,10,1,64
2板补涨阳,2025-04,22,2,8,12,3,45
2板补涨阳,2025-05,17,6,3,9,2,47
2板补涨阳,2025-06,21,5,8,8,2,62
2板补涨阳,2025-07,15,3,7,5,4,67
2板补涨阳,2025-08,7,1,1,4,3,43
2板补涨阳,2025-09,26,7,9,10,1,62
2板补涨阳,2025-10,8,2,2,4,1,50
2板补涨阳,2025-11,19,6,4,11,2,42
2板补涨阳,2025-12,24,3,9,12,3,50
2板补涨阳,2026-01,31,6,7,22,12,29
2板补涨阳,2026-02,17,5,6,6,1,65
2板补涨阳,2026-03,24,7,10,8,1,67
2板补涨阳,2026-04,14,3,4,7,3,50
2板补涨阳,2026-05,20,6,2,13,2,35
2板补涨阳,2026-06,32,7,6,22,7,31
2板补涨阳,2026-07,28,11,12,7,2,75
2板补涨阳,2026-08,25,5,9,12,0,52
