组,月,U形态,炸板,封D1负,好票,连板,差票率%
4板补涨阴,2006-04,1,1,0,1,0,0
4板补涨阴,2007-06,1,0,0,1,0,0
4板补涨阴,2015-01,1,0,0,1,1,0
4板补涨阴,2021-06,1,0,0,1,0,0
4板补涨阴,2023-05,2,0,1,1,0,50
4板补涨阴,2023-06,3,0,1,2,0,33
4板补涨阴,2023-07,3,0,0,3,2,0
4板补涨阴,2023-08,2,0,0,2,0,0
4板补涨阴,2023-09,3,0,1,2,1,33
4板补涨阴,2023-10,1,1,0,0,0,100
4板补涨阴,2023-11,7,0,3,4,2,43
4板补涨阴,2023-12,9,2,4,3,2,67
4板补涨阴,2024-01,6,3,1,2,1,67
4板补涨阴,2024-02,5,1,3,1,0,80
4板补涨阴,2024-03,15,4,2,11,3,27
4板补涨阴,2024-04,6,2,2,3,0,50
4板补涨阴,2024-05,5,2,1,2,0,60
4板补涨阴,2024-06,6,1,2,3,1,50
4板补涨阴,2024-07,4,1,1,1,1,75
4板补涨阴,2024-08,9,4,2,3,2,67
4板补涨阴,2024-09,3,1,1,1,1,67
4板补涨阴,2024-10,21,5,5,12,5,43
4板补涨阴,2024-11,22,9,7,9,2,59
4板补涨阴,2024-12,18,7,3,9,2,50
4板补涨阴,2025-01,12,3,3,8,0,33
4板补涨阴,2025-02,6,5,1,1,0,83
4板补涨阴,2025-03,6,0,5,1,1,83
4板补涨阴,2025-04,8,1,4,3,1,62
4板补涨阴,2025-05,10,2,2,6,2,40
4板补涨阴,2025-06,8,1,3,4,1,50
4板补涨阴,2025-07,9,1,1,8,3,11
4板补涨阴,2025-08,2,0,0,2,2,0
4板补涨阴,2025-09,9,3,3,3,2,67
4板补涨阴,2025-10,9,1,3,6,2,33
4板补涨阴,2025-11,3,1,1,1,0,67
4板补涨阴,2025-12,13,3,6,5,2,62
4板补涨阴,2026-01,13,5,5,5,1,62
4板补涨阴,2026-02,8,3,2,3,1,62
4板补涨阴,2026-03,15,2,7,7,1,53
4板补涨阴,2026-04,7,3,2,2,1,71
4板补涨阴,2026-05,6,1,4,2,0,67
4板补涨阴,2026-06,5,2,1,3,2,40
4板补涨阴,2026-07,8,4,3,1,1,88
4板补涨阴,2026-08,12,1,6,5,1,58
