vt_symbol,name,date,ym,res,D1开%,D1收%,板留%,地基,回撤%,蹲深%,弹回%,低点位置,振幅%,破顶,断板,上波高,昨幅%,昨上影%,昨涨停家,is_wv,is_lim,n1_lim
000006.SZSE,深振业Ａ,2024-11-07,2024-11,封D1负,-0.11,-4.47,-4.47,HIGH·新高贴顶,-3.17,-3.17,0.0,1.0,16.16,True,9,2,-1.73,1.96,104.0,False,True,False
000006.SZSE,深振业Ａ,2025-10-21,2025-10,封D1负,4.01,-0.68,-0.68,MID·中位浅调,-8.45,-12.8,4.98,0.5,20.44,True,6,2,-1.8,2.21,66.0,False,True,False
000008.SZSE,神州高铁,2024-03-14,2024-03,炸板,-4.41,-6.78,-6.78,FLAT·横盘平台,-5.3,-5.3,0.0,1.0,8.21,True,3,3,-7.59,2.41,51.0,False,False,False
000008.SZSE,神州高铁,2024-12-24,2024-12,封D1正,0.0,1.59,1.59,DN·阴跌到点,-22.91,-22.91,0.0,1.0,30.77,True,13,4,-4.98,0.33,26.0,False,True,False
000012.SZSE,南 玻Ａ,2026-06-22,2026-06,封D1负,-0.85,-1.27,-1.27,HIGH·新高贴顶,-2.27,-9.09,7.5,0.7777777777777778,15.75,True,20,2,-7.13,0.65,75.0,False,True,False
000017.SZSE,深中华A,2024-02-26,2024-02,封D1负,0.0,-3.52,-3.52,FLAT·横盘平台,-4.6,-4.6,0.0,1.0,0.52,False,3,2,-0.51,1.8,79.0,False,True,False
000020.SZSE,深华发Ａ,2024-09-09,2024-09,连板,-1.12,10.04,-0.96,DN·阴跌到点,-13.59,-13.59,0.0,1.0,6.63,False,3,2,-6.21,2.15,26.0,True,True,True
000026.SZSE,飞亚达,2025-07-09,2025-07,炸板,-6.88,-10.68,-10.68,HIGH·新高贴顶,6.01,4.36,1.57,0.0,13.87,True,7,3,-2.27,0.06,57.0,False,False,False
000026.SZSE,飞亚达,2025-07-21,2025-07,炸板,-4.66,-5.99,-5.99,HIGH·新高贴顶,8.47,3.73,4.57,0.8461538461538461,14.56,True,15,3,-2.56,1.48,37.0,False,False,False
000029.SZSE,深深房Ａ,2026-06-09,2026-06,连板,4.97,9.98,3.75,DN·阴跌到点,-15.78,-15.78,0.0,1.0,33.66,True,20,2,-3.38,0.35,45.0,True,True,True
000029.SZSE,深深房Ａ,2026-06-16,2026-06,封D1正,1.23,3.44,3.44,FLAT·横盘平台,-6.97,-6.97,0.0,1.0,1.39,False,4,2,-0.91,1.58,127.0,False,True,False
000032.SZSE,深桑达Ａ,2024-10-18,2024-10,炸板,-1.48,-1.8,-1.8,DN·阴跌到点,-9.87,-11.5,1.84,0.6666666666666666,17.09,True,8,3,0.65,1.99,41.0,False,False,False
000032.SZSE,深桑达Ａ,2026-06-24,2026-06,封D1正,4.5,1.34,1.34,HIGH·新高贴顶,0.66,0.66,0.0,1.0,6.77,True,5,4,-6.3,0.0,87.0,False,True,False
000032.SZSE,深桑达Ａ,2026-07-09,2026-07,炸板,-4.49,-6.31,-6.31,DN·阴跌到点,-8.08,-8.39,0.33,0.7857142857142857,22.46,True,16,4,-1.5,1.4,41.0,False,False,False
000035.SZSE,中国天楹,2026-03-06,2026-03,炸板,-4.52,-5.38,-5.38,HIGH·新高贴顶,-3.5,-4.41,0.95,0.0,2.71,False,4,2,-1.72,2.64,55.0,False,False,False
000035.SZSE,中国天楹,2026-03-24,2026-03,封D1正,0.67,1.34,1.34,DN·阴跌到点,-12.06,-12.06,0.0,1.0,22.42,True,16,2,-2.45,2.59,24.0,False,True,False
000036.SZSE,华联控股,2026-02-25,2026-02,封D1负,1.65,-6.26,-6.26,DN·阴跌到点,-18.7,-18.7,0.0,1.0,26.63,True,18,2,-0.18,2.17,82.0,False,True,False
000062.SZSE,深圳华强,2024-09-23,2024-09,炸板,-15.43,-15.43,-15.43,MID·中位浅调,-25.97,-29.05,4.34,0.5714285714285714,26.87,False,9,6,-1.38,1.44,40.0,False,False,False
000062.SZSE,深圳华强,2026-05-11,2026-05,封D1负,1.05,-4.35,-4.35,FLAT·横盘平台,-5.9,-5.9,0.0,1.0,5.4,False,7,2,-5.13,0.83,89.0,False,True,False
000065.SZSE,北方国际,2025-02-24,2025-02,封D1负,9.05,-1.86,-1.86,FLAT·横盘平台,-6.09,-6.09,0.0,1.0,0.89,False,3,2,-0.88,1.06,82.0,False,True,False
