组,月,触发,炸板,封D1负,好票,连板,差票率%
双板缓启,2006-06,1,1,0,0,0,100
双板缓启,2007-07,1,0,0,1,0,0
双板缓启,2007-11,1,1,0,0,0,100
双板缓启,2010-01,1,0,0,1,0,0
双板缓启,2015-02,1,1,0,0,0,100
双板缓启,2020-06,1,0,0,1,0,0
双板缓启,2021-02,1,0,1,0,0,100
双板缓启,2022-06,2,1,0,1,0,50
双板缓启,2023-04,8,4,2,2,0,75
双板缓启,2023-05,15,2,5,8,4,47
双板缓启,2023-06,13,4,5,4,2,69
双板缓启,2023-07,8,0,0,8,1,0
双板缓启,2023-08,18,2,5,11,1,39
双板缓启,2023-09,10,4,4,2,0,80
双板缓启,2023-10,16,6,3,7,2,56
双板缓启,2023-11,18,5,4,9,4,50
双板缓启,2023-12,20,7,6,7,2,65
双板缓启,2024-01,25,8,14,3,2,88
双板缓启,2024-02,30,11,5,14,2,53
双板缓启,2024-03,35,8,11,16,4,54
双板缓启,2024-04,46,9,18,19,5,59
双板缓启,2024-05,21,4,10,7,0,67
双板缓启,2024-06,16,3,3,10,2,38
双板缓启,2024-07,24,4,5,15,5,38
双板缓启,2024-08,41,11,11,19,6,54
双板缓启,2024-09,26,3,10,13,5,50
双板缓启,2024-10,49,24,12,13,5,73
双板缓启,2024-11,68,19,13,36,12,47
双板缓启,2024-12,79,18,30,31,8,61
双板缓启,2025-01,55,15,14,26,9,53
双板缓启,2025-02,21,7,2,12,1,43
双板缓启,2025-03,35,6,17,12,3,66
双板缓启,2025-04,47,4,12,31,7,34
双板缓启,2025-05,20,4,5,11,5,45
双板缓启,2025-06,34,6,17,11,3,68
双板缓启,2025-07,22,2,11,9,2,59
双板缓启,2025-08,18,3,1,14,5,22
双板缓启,2025-09,30,6,11,13,2,57
双板缓启,2025-10,24,7,5,12,3,50
双板缓启,2025-11,34,7,12,15,5,56
双板缓启,2025-12,44,7,15,22,8,50
双板缓启,2026-01,33,7,9,17,9,48
双板缓启,2026-02,32,7,11,14,1,56
双板缓启,2026-03,57,17,17,23,3,60
双板缓启,2026-04,38,13,10,15,1,61
双板缓启,2026-05,38,9,10,19,3,50
双板缓启,2026-06,82,10,27,45,8,45
双板缓启,2026-07,118,38,50,30,6,75
双板缓启,2026-08,37,10,9,18,4,51
弱转强,2026-04,2,1,1,0,0,100
弱转强,2026-05,2,0,0,2,1,0
弱转强,2026-06,8,2,5,1,0,88
弱转强,2026-07,8,3,2,3,2,62
弱转强,2026-08,11,1,4,6,4,45
补涨阳,2006-04,1,1,0,0,0,100
补涨阳,2006-08,1,0,0,1,0,0
补涨阳,2007-01,2,1,1,0,0,100
补涨阳,2007-02,1,0,0,1,1,0
补涨阳,2007-03,1,1,0,0,0,100
补涨阳,2007-10,1,0,0,1,0,0
补涨阳,2007-11,1,1,0,0,0,100
补涨阳,2008-12,1,0,1,0,0,100
补涨阳,2010-01,1,1,0,0,0,100
补涨阳,2012-05,1,1,0,0,0,100
补涨阳,2015-04,1,0,0,1,0,0
补涨阳,2020-07,1,0,0,1,1,0
补涨阳,2021-06,1,0,0,1,1,0
补涨阳,2021-07,1,0,0,1,0,0
补涨阳,2021-10,1,1,0,0,0,100
补涨阳,2023-04,10,3,4,3,2,70
补涨阳,2023-05,27,5,9,13,5,52
补涨阳,2023-06,30,9,10,11,2,63
补涨阳,2023-07,15,6,3,6,1,60
补涨阳,2023-08,21,4,7,10,3,52
补涨阳,2023-09,11,6,1,4,1,64
补涨阳,2023-10,25,13,5,7,3,72
补涨阳,2023-11,25,7,7,11,1,56
补涨阳,2023-12,30,10,7,13,8,57
补涨阳,2024-01,23,9,10,4,2,83
补涨阳,2024-02,39,14,5,20,5,49
补涨阳,2024-03,74,19,27,28,8,62
补涨阳,2024-04,35,13,13,9,4,74
补涨阳,2024-05,26,12,4,10,2,62
补涨阳,2024-06,9,1,5,3,1,67
补涨阳,2024-07,21,3,7,11,1,48
补涨阳,2024-08,16,7,6,3,0,81
补涨阳,2024-09,34,7,7,20,10,41
补涨阳,2024-10,83,25,26,32,13,61
补涨阳,2024-11,103,26,31,46,16,55
补涨阳,2024-12,92,29,28,35,9,62
补涨阳,2025-01,48,16,14,18,7,62
补涨阳,2025-02,60,23,14,23,9,62
补涨阳,2025-03,46,13,17,16,6,65
补涨阳,2025-04,32,4,11,17,3,47
补涨阳,2025-05,31,8,11,12,5,61
补涨阳,2025-06,48,17,15,16,3,67
补涨阳,2025-07,31,12,9,10,7,68
补涨阳,2025-08,29,4,10,15,7,48
补涨阳,2025-09,48,10,16,22,7,54
补涨阳,2025-10,28,10,9,9,3,68
补涨阳,2025-11,45,11,15,19,6,58
补涨阳,2025-12,48,12,17,19,7,60
补涨阳,2026-01,61,18,17,26,11,57
补涨阳,2026-02,34,12,10,12,2,65
补涨阳,2026-03,52,14,21,17,4,67
补涨阳,2026-04,40,11,12,17,6,57
补涨阳,2026-05,50,12,13,25,5,50
补涨阳,2026-06,63,18,18,27,9,57
补涨阳,2026-07,47,20,17,10,5,79
