组,月,触发,炸板,封D1负,好票,连板,差票率%
2板补涨阳,2007-01,2,1,1,0,0,100
2板补涨阳,2007-03,1,1,0,0,0,100
2板补涨阳,2007-11,1,1,0,0,0,100
2板补涨阳,2010-01,1,1,0,0,0,100
2板补涨阳,2012-05,2,1,1,1,0,50
2板补涨阳,2020-07,1,0,0,1,1,0
2板补涨阳,2021-10,1,1,0,0,0,100
2板补涨阳,2023-01,1,0,0,1,1,0
2板补涨阳,2023-04,9,2,3,5,2,44
2板补涨阳,2023-05,20,5,6,9,3,55
2板补涨阳,2023-06,16,3,4,9,1,44
2板补涨阳,2023-07,8,2,1,5,2,38
2板补涨阳,2023-08,13,4,3,6,2,54
2板补涨阳,2023-09,7,4,1,2,0,71
2板补涨阳,2023-10,16,9,3,6,2,62
2板补涨阳,2023-11,17,4,5,8,2,53
2板补涨阳,2023-12,13,4,3,6,3,54
2板补涨阳,2024-01,9,3,5,1,1,89
2板补涨阳,2024-02,33,12,4,18,3,45
2板补涨阳,2024-03,63,19,20,28,9,56
2板补涨阳,2024-04,23,8,8,7,4,70
2板补涨阳,2024-05,20,8,4,8,2,60
2板补涨阳,2024-06,6,0,3,3,1,50
2板补涨阳,2024-07,21,4,4,14,4,33
2板补涨阳,2024-08,13,4,7,2,0,85
2板补涨阳,2024-09,34,9,7,25,7,26
2板补涨阳,2024-10,69,22,23,29,11,58
2板补涨阳,2024-11,67,21,16,31,13,54
2板补涨阳,2024-12,64,15,22,27,8,58
2板补涨阳,2025-01,37,13,10,13,7,65
2板补涨阳,2025-02,42,18,8,19,4,55
2板补涨阳,2025-03,35,8,13,15,3,57
2板补涨阳,2025-04,23,3,8,12,3,48
2板补涨阳,2025-05,19,6,4,10,3,47
2板补涨阳,2025-06,28,9,9,10,3,64
2板补涨阳,2025-07,28,9,9,11,7,61
2板补涨阳,2025-08,23,4,6,13,6,43
2板补涨阳,2025-09,43,13,11,19,5,56
2板补涨阳,2025-10,14,4,3,7,2,50
2板补涨阳,2025-11,25,8,6,13,3,48
2板补涨阳,2025-12,32,4,11,17,4,47
2板补涨阳,2026-01,46,11,14,26,12,43
2板补涨阳,2026-02,30,11,9,13,3,57
2板补涨阳,2026-03,39,11,13,17,2,56
2板补涨阳,2026-04,36,7,12,17,5,53
2板补涨阳,2026-05,62,15,15,37,6,40
2板补涨阳,2026-06,62,13,18,34,11,45
2板补涨阳,2026-07,43,19,18,8,2,81
2板补涨阳,2026-08,42,11,15,20,2,52
