组,月,U形态,炸板,封D1负,好票,连板,差票率%
2板补涨阴,2006-05,1,0,0,1,0,0
2板补涨阴,2006-06,1,1,0,0,0,100
2板补涨阴,2008-05,1,0,0,1,1,0
2板补涨阴,2010-01,1,0,0,1,0,0
2板补涨阴,2012-05,1,0,1,0,0,100
2板补涨阴,2015-02,1,1,0,0,0,100
2板补涨阴,2020-06,1,0,0,1,0,0
2板补涨阴,2021-02,1,0,1,0,0,100
2板补涨阴,2022-06,2,1,0,1,0,50
2板补涨阴,2023-04,7,4,0,5,0,29
2板补涨阴,2023-05,10,2,3,6,3,40
2板补涨阴,2023-06,21,4,10,9,4,57
2板补涨阴,2023-07,13,3,3,7,2,46
2板补涨阴,2023-08,17,2,3,13,2,24
2板补涨阴,2023-09,8,2,5,2,0,75
2板补涨阴,2023-10,8,2,3,4,1,50
2板补涨阴,2023-11,14,3,3,9,2,36
2板补涨阴,2023-12,18,6,3,10,2,44
2板补涨阴,2024-01,24,9,13,5,2,79
2板补涨阴,2024-02,10,5,1,7,0,30
2板补涨阴,2024-03,33,6,10,18,5,45
2板补涨阴,2024-04,27,8,10,11,5,59
2板补涨阴,2024-05,15,4,5,6,1,60
2板补涨阴,2024-06,13,4,1,9,1,31
2板补涨阴,2024-07,13,3,2,8,4,38
2板补涨阴,2024-08,32,7,11,15,4,53
2板补涨阴,2024-09,15,2,8,5,2,67
2板补涨阴,2024-10,55,24,10,26,7,53
2板补涨阴,2024-11,66,17,17,37,10,44
2板补涨阴,2024-12,53,10,18,24,7,55
2板补涨阴,2025-01,38,9,12,17,6,55
2板补涨阴,2025-02,16,4,3,9,1,44
2板补涨阴,2025-03,26,6,9,12,4,54
2板补涨阴,2025-04,33,6,6,22,4,33
2板补涨阴,2025-05,24,4,7,15,5,38
2板补涨阴,2025-06,24,3,13,8,3,67
2板补涨阴,2025-07,20,2,6,12,5,40
2板补涨阴,2025-08,18,2,3,14,4,22
2板补涨阴,2025-09,23,5,9,9,0,61
2板补涨阴,2025-10,29,10,6,14,4,52
2板补涨阴,2025-11,29,10,8,12,2,59
2板补涨阴,2025-12,38,9,11,17,5,55
2板补涨阴,2026-01,29,6,12,13,2,55
2板补涨阴,2026-02,29,6,8,16,0,45
2板补涨阴,2026-03,40,11,11,20,3,50
2板补涨阴,2026-04,34,9,11,14,1,59
2板补涨阴,2026-05,34,8,9,15,4,56
2板补涨阴,2026-06,67,11,20,39,6,42
2板补涨阴,2026-07,66,18,30,19,4,71
2板补涨阴,2026-08,34,10,13,12,7,65
