组,月,触发,炸板,封D1负,好票,连板,差票率%
4板补涨阴,2006-04,2,1,1,1,0,50
4板补涨阴,2007-06,1,0,0,1,0,0
4板补涨阴,2015-01,1,0,0,1,1,0
4板补涨阴,2021-06,1,0,0,1,0,0
4板补涨阴,2023-05,3,0,2,1,0,67
4板补涨阴,2023-06,6,3,1,3,0,50
4板补涨阴,2023-07,3,0,0,3,2,0
4板补涨阴,2023-08,2,0,0,2,0,0
4板补涨阴,2023-09,6,0,2,4,3,33
4板补涨阴,2023-10,1,1,0,0,0,100
4板补涨阴,2023-11,10,2,4,5,2,50
4板补涨阴,2023-12,9,2,4,3,2,67
4板补涨阴,2024-01,8,3,3,2,1,75
4板补涨阴,2024-02,5,1,3,1,0,80
4板补涨阴,2024-03,18,6,2,12,3,33
4板补涨阴,2024-04,6,2,2,3,0,50
4板补涨阴,2024-05,5,2,1,2,0,60
4板补涨阴,2024-06,6,1,2,3,1,50
4板补涨阴,2024-07,4,1,1,1,1,75
4板补涨阴,2024-08,10,4,2,4,3,60
4板补涨阴,2024-09,3,1,1,1,1,67
4板补涨阴,2024-10,27,7,6,15,8,44
4板补涨阴,2024-11,27,10,9,12,3,56
4板补涨阴,2024-12,20,8,4,9,2,55
4板补涨阴,2025-01,12,3,3,8,0,33
4板补涨阴,2025-02,9,5,3,2,0,78
4板补涨阴,2025-03,7,0,6,1,1,86
4板补涨阴,2025-04,9,1,5,3,1,67
4板补涨阴,2025-05,14,2,2,10,2,29
4板补涨阴,2025-06,9,1,3,5,1,44
4板补涨阴,2025-07,9,1,1,8,3,11
4板补涨阴,2025-08,5,0,1,4,4,20
4板补涨阴,2025-09,11,3,4,4,2,64
4板补涨阴,2025-10,10,1,4,6,2,40
4板补涨阴,2025-11,5,2,2,1,0,80
4板补涨阴,2025-12,22,7,11,6,2,73
4板补涨阴,2026-01,21,8,9,7,1,67
4板补涨阴,2026-02,11,4,2,6,2,45
4板补涨阴,2026-03,16,2,8,7,1,56
4板补涨阴,2026-04,11,3,3,5,1,55
4板补涨阴,2026-05,12,5,4,5,1,58
4板补涨阴,2026-06,10,3,2,6,4,40
4板补涨阴,2026-07,9,4,3,2,2,78
4板补涨阴,2026-08,13,1,6,6,2,54
