代码,名称,反包日,N,断板天数,阴阳,主格,组,末板日,首板日,断板期,断板阴线数,断板炸板日数,断板累计%,坑深%,末日阴阳,链,地基,位置%,均线,MA10%,距MA5%,距前波,前波60日最高板,前波120日最高板,买价,反包开盘%,开盘距涨停%,昨日涨停家数,封住,次日开%,次日收%,次日连板,持有到断板%,持有天数,未完,反包后高度,结果,坏票,方案点,月,年
000002.SZSE,万 科Ａ,2025-01-21,3,74,阳,False,3板反包,2024-09-30,2024-09-26,阴+6.8→阴-10.0→阳-2.4→阳-0.2→阴+2.6→阳-1.5→阳+8.7→阴-7.9→阳+1.7→阴-1.9→阳+0.5→阳+1.0→阴-2.3→阳+0.2→阳+2.7→阴-2.8→阳+1.0→阳+0.7→阴-1.8→阴-0.4→阳+3.0→阳+1.7→阳+4.1→阴-3.8→阴-2.2→阴-1.2→阴-1.3→阴-1.3→阴-2.7→阳+1.5→阴-1.0→阳+0.1→阴-0.9→阴-3.0→阴-0.5→阳-0.2→阳+1.1→阳+0.4→阳+1.4→阳+0.9→阳+0.7→阴-2.2→阳-0.4→阳+1.9→阴-3.0→阴+1.9→阳+0.8→阳+0.5→阴-3.2→阴-2.1→阴-1.1→阴+0.0→阴-2.8→阴-1.1→阴-2.0→阳+0.9→阴-2.5→阳-0.4→阳+0.5→阴-2.5→阴-1.4→阴-2.1→阴-1.5→阴-0.3→阳+1.0→阴-1.3→阳-0.1→阴-3.7→阳+1.0→阳+2.2→阴-0.7→阴+0.3→阳-3.6→阳+3.3,39,1,-29.5,-31.8,阳,实体-1→实体+6→下影+10,阳+2.7,-31.8,---,-0.1,0.4,1420,0,0,7.54,-0.1,10.2,62,False,-3.58,-6.9,False,-2.39,0.0,False,0,炸板,True,,2025-01,2025
000002.SZSE,万 科Ａ,2025-02-12,3,84,阴,False,3板反包,2024-09-30,2024-09-26,阴+6.8→阴-10.0→阳-2.4→阳-0.2→阴+2.6→阳-1.5→阳+8.7→阴-7.9→阳+1.7→阴-1.9→阳+0.5→阳+1.0→阴-2.3→阳+0.2→阳+2.7→阴-2.8→阳+1.0→阳+0.7→阴-1.8→阴-0.4→阳+3.0→阳+1.7→阳+4.1→阴-3.8→阴-2.2→阴-1.2→阴-1.3→阴-1.3→阴-2.7→阳+1.5→阴-1.0→阳+0.1→阴-0.9→阴-3.0→阴-0.5→阳-0.2→阳+1.1→阳+0.4→阳+1.4→阳+0.9→阳+0.7→阴-2.2→阳-0.4→阳+1.9→阴-3.0→阴+1.9→阳+0.8→阳+0.5→阴-3.2→阴-2.1→阴-1.1→阴+0.0→阴-2.8→阴-1.1→阴-2.0→阳+0.9→阴-2.5→阳-0.4→阳+0.5→阴-2.5→阴-1.4→阴-2.1→阴-1.5→阴-0.3→阳+1.0→阴-1.3→阳-0.1→阴-3.7→阳+1.0→阳+2.2→阴-0.7→阴+0.3→阳-3.6→阳+3.3→阳+7.4→阴-4.6→阳+4.8→阳+0.4→阴-1.6→阴-4.1→阳+0.7→阳+5.7→阳+0.0→阴-2.4,43,2,-25.5,-31.8,阴,实体-1→实体+6→下影+10,阳+2.7,-23.6,-+-,-0.1,0.4,1420,0,0,7.96,0.1,9.8,57,True,-2.14,0.13,False,0.13,1.0,False,1,封次日正,False,,2025-02,2025
000002.SZSE,万 科Ａ,2026-09-23,2,1,阳,True,2板反包阳,2026-09-21,2026-09-18,阳+4.4,0,0,4.4,4.4,阳,下影+0→下影-1,阳-0.3,-2.1,+++,17.9,13.2,1900,0,0,4.19,0.0,10.0,58,False,-7.16,-10.26,False,-6.44,0.0,False,0,炸板,True,,2026-09,2026
000006.SZSE,深振业Ａ,2024-01-29,2,46,阳,False,2板反包,2023-11-22,2023-11-21,阴-7.5→阴-3.4→阴-4.1→阴-0.2→阴-1.7→阳+0.9→阳+0.9→阳-0.4→阴-0.9→阳+3.9→阳+0.6→阴-2.3→阳+0.8→阳+2.1→阳-1.2→阳+1.5→阴+0.2→阴-2.3→阴-1.1→阴-1.9→阳+0.0→阴-3.0→阴-1.1→阴-1.6→阳+4.4→阳+0.0→阳+0.9→阴-2.6→阳+0.9→阴-1.3→阳+1.6→阴-1.8→阴-0.7→阴-0.9→阳+3.4→阴-1.3→阳+1.1→阴-1.3→阳+0.0→阴-2.7→阳+1.6→阴-5.0→阳+1.2→阳+5.9→阳+3.8→阳+1.3,23,0,-13.7,-23.4,阳,实体+4→一字+10,阴+0.2,-13.7,+--,6.1,5.8,2295,0,0,5.18,1.9,7.9,49,False,-11.78,-13.32,False,-8.69,0.0,False,0,炸板,True,,2024-01,2024
000006.SZSE,深振业Ａ,2024-09-03,2,190,阴,False,2板反包,2023-11-22,2023-11-21,阴-7.5→阴-3.4→阴-4.1→阴-0.2→阴-1.7→阳+0.9→阳+0.9→阳-0.4→阴-0.9→阳+3.9→阳+0.6→阴-2.3→阳+0.8→阳+2.1→阳-1.2→阳+1.5→阴+0.2→阴-2.3→阴-1.1→阴-1.9→阳+0.0→阴-3.0→阴-1.1→阴-1.6→阳+4.4→阳+0.0→阳+0.9→阴-2.6→阳+0.9→阴-1.3→阳+1.6→阴-1.8→阴-0.7→阴-0.9→阳+3.4→阴-1.3→阳+1.1→阴-1.3→阳+0.0→阴-2.7→阳+1.6→阴-5.0→阳+1.2→阳+5.9→阳+3.8→阳+1.3→阴+0.4→阴-5.1→阴-7.1→阴-5.8→阳+0.5→阴-9.6→阳+4.2→阳+1.6→阳+7.1→阴-1.5→阳+0.3→阳+1.0→阳-0.2→阳+1.0→阴-1.0→阳+2.5→阴-3.4→阳+1.8→阳+2.2→阴-3.4→阴-1.2→阳-0.5→阳+1.0→阴-0.5→阳+1.0→阳+2.8→阴-2.7→阳+0.0→阳+0.2→阳+0.2→阴-1.2→阳+0.5→阳+0.3→阴-1.5→阴-1.8→阳+2.3→阴-3.0→阳+1.0→阳+1.8→阴+0.5→阴-1.0→阴-1.5→阴-2.8→阳+1.3→阳+1.0→阳-1.6→阴-2.9→阴-1.6→阴-3.6→阳+2.0→阴-2.0→阳+0.6→阳-0.9→阳+1.7→阳+0.6→阳-0.6→阳+3.7→阳+6.8→阴-1.3→阴+0.0→阳+0.8→阴-2.8→阳+1.1→阳+2.9→阳-2.0→阳+1.6→阳+1.0→阳+2.5→阳+6.4→阴-3.2→阳+0.2→阳+1.4→阴-2.6→阴-2.7→阴-1.2→阴-2.8→阴+1.3→阴-3.6→阳+0.8→阴-4.5→阳+1.9→阴-4.0→阴-3.7→阳+4.7→阴-2.5→阳-0.9→阴-2.0→阳+0.0→阳+1.5→阳+6.4→阴-2.7→阳+5.9→阳-2.1→阳+3.0→阳-0.5→阳+1.1→阴-2.6→阳+4.0→阳+0.5→阴-1.5→阴-2.1→阴-2.7→阳+1.4→阳-3.0→阳+2.5→阴-3.8→阳+1.7→阳+4.2→阴-2.7→阳-1.1→阳+0.3→阳+0.0→阳-0.8→阳-1.1→阳+2.8→阴-3.3→阳+2.3→阳+3.6→阴-1.9→阳+2.2→阳+1.6→阳+0.8→阳+2.6→阴-4.8→阳+2.9→阴-1.0→阴+1.0→阳+0.5→阴-4.4→阳+1.3→阳+0.0→阳+3.4→阴-1.5→阴-1.8→阴-1.9→阳+2.2→阳+2.1→阳+2.6→阳-1.5→阴-3.3→阳+0.0→阴-0.8→阳+4.0→阴-2.6,81,1,-30.6,-37.7,阴,实体+4→一字+10,阴+0.2,-6.9,--+,-0.7,-0.1,2295,0,0,4.17,0.0,10.0,24,True,2.64,-0.96,False,-0.96,1.0,False,1,封次日负,True,,2024-09,2024
000006.SZSE,深振业Ａ,2024-10-24,3,1,阴,False,3板反包,2024-10-22,2024-10-18,阴-4.5,1,0,-4.5,-4.5,阴,下影+0→下影+4→实体-1,阴-4.0,-10.2,+++,17.6,7.5,2513,0,0,8.02,2.5,7.4,76,True,9.98,9.98,True,15.34,2.0,False,2,连板,False,,2024-10,2024
000006.SZSE,深振业Ａ,2024-10-29,2,1,阳,True,2板反包阳,2024-10-25,2024-10-24,阳+4.9,0,0,4.9,4.9,阳,实体+2→一字+10,阴-4.5,-4.2,+++,28.8,12.8,2517,0,0,10.18,1.4,8.5,178,False,-7.86,-12.18,False,-2.55,0.0,False,0,炸板,True,,2024-10,2024
000006.SZSE,深振业Ａ,2024-10-31,2,3,阴,True,2板反包阴,2024-10-25,2024-10-24,阳+4.9→阳+7.2→阴-9.9,1,1,1.4,1.4,阴,实体+2→一字+10,阴-4.5,-12.2,+++,13.4,-0.6,2517,0,0,9.83,4.4,5.4,118,True,1.73,-9.97,False,-9.97,1.0,False,1,封次日负,True,,2024-10,2024
000006.SZSE,深振业Ａ,2025-10-17,2,3,阴,True,2板反包阴,2025-10-13,2025-10-10,阴+5.0→阴-10.0→阳-7.7,2,1,-12.8,-12.8,阴,下影-1→实体+2,阳+5.4,-20.7,+++,2.2,-8.7,2750,0,0,12.6,2.4,7.5,36,False,0.56,-4.6,False,-2.86,0.0,False,0,炸板,True,,2025-10,2025
000006.SZSE,深振业Ａ,2025-10-21,2,5,阴,False,2板反包,2025-10-13,2025-10-10,阴+5.0→阴-10.0→阳-7.7→阳+6.9→阴-1.8,3,2,-8.5,-12.8,阴,下影-1→实体+2,阳+5.4,-16.8,+++,2.3,-2.9,2750,0,0,13.22,-0.4,10.4,66,True,4.01,-0.68,False,-0.68,1.0,False,1,封次日负,True,,2025-10,2025
