月,触发,方案点命中,S级出手,炸板坏票,封次日负,好票,连板,坏票率%
2023-02,1,0,0,0,1,0,0,100
2023-04,5,0,0,0,0,5,1,0
2023-05,5,1,1,0,4,1,0,80
2023-06,13,2,2,2,4,7,3,46
2023-07,18,5,5,3,5,10,4,44
2023-08,11,0,0,0,5,6,2,45
2023-09,8,1,1,1,6,1,1,88
2023-10,11,2,2,4,4,3,2,73
2023-11,9,1,1,1,2,6,1,33
2023-12,17,3,3,3,3,11,1,35
2024-01,16,2,2,3,9,4,3,75
2024-02,10,2,2,3,1,6,1,40
2024-03,16,1,1,3,4,9,2,44
2024-04,7,1,1,1,4,2,1,71
2024-05,11,2,2,4,0,7,1,36
2024-06,3,0,0,1,0,2,0,33
2024-07,12,5,5,3,3,6,5,50
2024-08,12,2,2,3,5,4,1,67
2024-09,11,0,0,1,3,7,2,36
2024-10,34,4,4,8,9,17,5,50
2024-11,49,9,9,12,16,21,7,57
2024-12,43,3,3,5,18,20,8,53
2025-01,28,8,8,5,12,11,2,61
2025-02,27,1,1,4,9,14,4,48
2025-03,18,2,2,4,4,10,7,44
2025-04,19,1,1,4,6,9,1,53
2025-05,15,2,2,2,4,9,4,40
2025-06,17,2,2,6,6,5,1,71
2025-07,15,2,2,3,4,8,4,47
2025-08,24,2,2,4,9,11,2,54
2025-09,20,2,2,5,6,9,1,55
2025-10,16,3,3,6,3,7,4,56
2025-11,25,4,4,7,7,11,1,56
2025-12,26,3,3,6,8,12,1,54
2026-01,29,4,4,6,10,13,1,55
2026-02,12,1,1,1,4,7,2,42
2026-03,23,1,1,6,8,9,3,61
2026-04,13,1,1,1,7,5,2,62
2026-05,17,1,1,6,4,7,2,59
2026-06,33,2,2,6,9,18,5,45
2026-07,33,3,3,8,16,9,4,73
2026-08,22,3,3,3,12,7,1,68
2026-09,17,1,1,7,7,3,1,82
