月,触发,方案点命中,S级出手,炸板坏票,封次日负,好票,连板,坏票率%
2023-04,1,0,0,0,0,1,0,0
2023-05,1,0,0,0,0,1,1,0
2023-07,1,0,0,0,1,0,0,100
2023-11,1,0,0,0,0,1,1,0
2024-01,1,0,0,0,1,0,0,100
2024-08,1,0,0,1,0,0,0,100
2024-10,1,0,0,1,0,0,0,100
2024-11,6,0,0,0,4,2,1,67
2024-12,7,0,0,4,2,1,0,86
2025-02,4,0,0,1,2,1,0,75
2025-03,2,0,0,1,1,0,0,100
2025-04,2,0,0,0,1,1,1,50
2025-05,2,0,0,0,1,1,0,50
2025-06,4,0,0,1,0,3,2,25
2025-07,4,0,0,1,1,2,0,50
2025-08,4,0,0,0,2,2,1,50
2025-10,2,0,0,0,2,0,0,100
2025-11,1,0,0,0,0,1,0,0
2025-12,7,0,0,2,1,4,1,43
2026-01,3,0,0,2,1,0,0,100
2026-02,1,0,0,0,0,1,1,0
2026-03,3,0,0,1,1,1,1,67
2026-04,1,0,0,0,0,1,0,0
2026-05,2,0,0,1,1,0,0,100
2026-06,4,0,0,1,0,3,0,25
2026-08,2,0,0,0,0,2,0,0
2026-09,3,0,0,1,1,0,0,67
