月,触发,方案点命中,S级出手,炸板坏票,封次日负,好票,连板,坏票率%
2023-04,1,0,0,0,1,0,0,100
2023-05,1,0,0,0,1,0,0,100
2023-07,1,0,0,0,0,1,0,0
2023-09,1,1,1,0,0,1,1,0
2023-10,2,0,0,1,1,0,0,100
2023-11,4,1,1,1,1,2,0,50
2023-12,2,0,0,0,1,1,0,50
2024-01,2,0,0,0,0,2,0,0
2024-02,2,0,0,0,2,0,0,100
2024-03,1,0,0,1,0,0,0,100
2024-07,1,0,0,0,1,0,0,100
2024-08,1,1,1,0,0,1,1,0
2024-10,7,5,5,2,0,5,4,29
2024-11,2,2,2,0,1,1,1,50
2024-12,2,1,1,0,0,2,2,0
2025-01,2,0,0,0,1,1,1,50
2025-02,5,2,2,0,4,1,0,80
2025-03,1,0,0,1,0,0,0,100
2025-04,3,1,1,1,0,2,1,33
2025-05,5,3,3,0,2,3,1,40
2025-06,1,0,0,0,0,1,0,0
2025-07,1,1,1,0,0,1,0,0
2025-08,3,0,0,1,2,0,0,100
2025-09,1,1,1,0,0,1,1,0
2025-10,1,1,1,0,0,1,1,0
2025-11,4,2,2,0,2,2,1,50
2026-01,4,0,0,1,1,2,2,50
2026-03,1,1,1,1,0,0,0,100
2026-04,1,0,0,1,0,0,0,100
2026-05,1,0,0,0,1,0,0,100
2026-06,4,2,2,3,0,1,0,75
2026-07,2,2,2,0,1,1,1,50
2026-08,2,2,2,0,1,1,1,50
2026-09,4,1,1,0,1,3,1,25
