月,触发,方案点命中,S级出手,炸板坏票,封次日负,好票,连板,坏票率%
2023-05,1,1,0,0,1,0,0,100
2023-06,2,0,0,1,0,1,0,50
2023-08,1,0,0,0,1,0,0,100
2023-09,2,1,0,0,1,1,1,50
2023-10,2,0,0,1,1,0,0,100
2023-11,3,2,0,0,1,2,1,33
2023-12,5,2,0,1,2,2,2,60
2024-01,2,1,0,0,1,1,1,50
2024-02,3,2,0,0,1,2,0,33
2024-03,5,3,0,0,2,3,0,40
2024-04,3,1,0,1,1,1,1,67
2024-05,1,0,0,0,0,1,0,0
2024-07,1,1,0,0,0,1,0,0
2024-09,1,1,0,0,0,1,1,0
2024-10,6,2,0,2,0,4,4,33
2024-11,10,7,0,1,4,5,4,50
2024-12,9,3,0,1,2,6,2,33
2025-01,4,3,0,0,2,2,1,50
2025-02,5,2,0,0,3,2,0,60
2025-03,5,1,0,0,2,3,2,40
2025-04,9,6,0,3,4,2,1,78
2025-05,4,2,0,1,1,2,1,50
2025-06,4,1,0,3,0,1,1,75
2025-07,4,3,0,0,2,2,1,50
2025-09,4,3,0,1,3,0,0,100
2025-10,1,0,0,0,1,0,0,100
2025-11,6,3,0,1,1,4,1,33
2025-12,4,4,0,0,1,3,0,25
2026-01,2,1,0,1,1,0,0,100
2026-02,1,1,0,0,1,0,0,100
2026-03,2,0,0,1,0,1,0,50
2026-04,3,0,0,2,0,1,1,67
2026-05,2,2,0,0,0,2,0,0
2026-06,1,0,0,1,0,0,0,100
2026-07,2,0,0,0,0,2,0,0
2026-08,2,1,0,0,1,1,0,50
2026-09,2,1,0,0,0,2,0,0
