组,月,笔数,坏票率,封住率,次日收,持有到断板
2板反包,2023-04,11,45%,55%,0.03,-0.67
2板反包,2023-05,24,42%,75%,1.5,1.18
2板反包,2023-06,32,41%,78%,1.44,1.29
2板反包,2023-07,21,33%,71%,0.14,1.53
2板反包,2023-08,42,67%,67%,-1.54,-1.79
2板反包,2023-09,25,64%,64%,-1.32,-0.9
2板反包,2023-10,42,50%,55%,-0.45,1.96
2板反包,2023-11,66,53%,62%,-0.23,2.12
2板反包,2023-12,49,65%,59%,-0.7,-1.1
2板反包,2024-01,51,67%,55%,-2.16,-1.92
2板反包,2024-02,119,25%,66%,2.37,2.09
2板反包,2024-03,105,54%,76%,0.22,3.13
2板反包,2024-04,115,64%,70%,-1.42,-1.38
2板反包,2024-05,64,59%,59%,-0.76,-0.47
2板反包,2024-06,45,58%,71%,-1.77,-0.42
2板反包,2024-07,71,58%,69%,-0.35,-0.42
2板反包,2024-08,72,68%,62%,-2.03,-1.83
2板反包,2024-09,121,33%,69%,2.62,1.91
2板反包,2024-10,209,73%,43%,-5.03,-1.33
2板反包,2024-11,204,50%,72%,0.73,2.95
2板反包,2024-12,189,58%,68%,-0.64,-0.43
2板反包,2025-01,100,57%,64%,-0.76,0.2
2板反包,2025-02,118,53%,63%,0.5,0.36
2板反包,2025-03,102,73%,68%,-2.22,-1.74
2板反包,2025-04,111,47%,77%,0.79,1.6
2板反包,2025-05,68,51%,71%,0.56,2.65
2板反包,2025-06,90,54%,72%,0.11,1.27
2板反包,2025-07,107,68%,62%,-1.79,-0.46
2板反包,2025-08,102,46%,71%,0.95,0.92
2板反包,2025-09,108,57%,74%,-0.42,0.46
2板反包,2025-10,98,52%,60%,-0.51,0.7
2板反包,2025-11,93,49%,75%,-0.06,1.57
2板反包,2025-12,124,56%,65%,-0.55,-0.01
2板反包,2026-01,106,46%,77%,1.18,1.62
2板反包,2026-02,75,56%,68%,-0.65,-0.03
2板反包,2026-03,94,59%,76%,-1.39,-0.96
2板反包,2026-04,96,51%,84%,-0.08,0.45
2板反包,2026-05,110,57%,74%,-0.68,0.08
2板反包,2026-06,151,50%,84%,0.32,1.05
2板反包,2026-07,172,69%,69%,-2.56,-1.33
2板反包,2026-08,114,58%,74%,-0.48,0.04
2板反包,2026-09,92,67%,70%,-1.12,-0.92
2板反包阳,2023-01,2,0%,50%,9.01,2.16
2板反包阳,2023-04,5,0%,100%,6.67,4.25
2板反包阳,2023-05,6,50%,67%,0.34,1.88
2板反包阳,2023-06,9,44%,67%,-0.3,-0.67
2板反包阳,2023-07,3,33%,100%,2.7,5.45
2板反包阳,2023-08,4,75%,50%,-2.25,-4.5
2板反包阳,2023-09,2,0%,100%,10.0,39.83
2板反包阳,2023-10,6,83%,50%,-3.29,11.72
2板反包阳,2023-11,8,75%,88%,-3.32,-1.37
2板反包阳,2023-12,9,67%,56%,-2.08,-0.63
2板反包阳,2024-01,5,80%,100%,-3.07,-1.14
2板反包阳,2024-02,22,45%,59%,0.76,1.02
2板反包阳,2024-03,7,57%,57%,0.78,2.01
2板反包阳,2024-04,7,57%,43%,-1.7,-2.9
2板反包阳,2024-05,9,89%,44%,-5.83,-2.79
2板反包阳,2024-06,1,100%,100%,-8.35,-8.35
2板反包阳,2024-07,10,30%,70%,4.51,2.35
2板反包阳,2024-08,6,83%,83%,-7.69,-6.81
2板反包阳,2024-09,15,40%,80%,0.34,-1.76
2板反包阳,2024-10,28,57%,68%,-1.79,5.48
2板反包阳,2024-11,24,75%,58%,-5.94,-3.75
2板反包阳,2024-12,22,64%,73%,-3.35,-0.55
2板反包阳,2025-01,8,50%,62%,0.27,0.45
2板反包阳,2025-02,10,70%,70%,-1.24,-2.28
2板反包阳,2025-03,8,50%,88%,2.36,3.62
2板反包阳,2025-04,6,67%,67%,-6.44,-3.27
2板反包阳,2025-05,13,77%,85%,-4.36,-4.05
2板反包阳,2025-06,12,50%,92%,-0.1,0.36
2板反包阳,2025-07,12,58%,50%,-1.1,-0.28
2板反包阳,2025-08,16,25%,75%,2.03,2.42
2板反包阳,2025-09,8,75%,100%,-3.45,-3.45
2板反包阳,2025-10,7,29%,57%,-0.32,-1.88
2板反包阳,2025-11,12,67%,58%,-1.78,1.05
2板反包阳,2025-12,10,60%,80%,-3.18,-2.97
2板反包阳,2026-01,21,48%,71%,-1.25,0.64
