月,日均涨停家数,当月最高连板,当月龙头
2023-01,0.4,2,中航产融
2023-02,0.1,1,广汇汽车、中航产融
2023-03,0.3,2,返利科技
2023-04,26.3,5,奥飞娱乐、曲江文旅
2023-05,31.6,11,璞源材料
2023-06,39.0,6,上海物贸、华脉科技、中马传动
2023-07,26.9,7,大连热电
2023-08,22.4,6,长青科技
2023-09,22.4,8,我乐家居
2023-10,37.5,14,圣龙股份
2023-11,34.3,11,高新发展
2023-12,33.4,9,东安动力
2024-01,36.2,11,深中华A
2024-02,98.0,13,克来机电
2024-03,52.3,13,艾艾精工
2024-04,51.4,9,莱绅通灵、华生科技
2024-05,31.0,7,蔚蓝生物
2024-06,22.2,7,东晶电子、协和电子
2024-07,32.1,8,腾达科技
2024-08,31.3,11,腾达科技
2024-09,75.2,12,双成药业
2024-10,95.3,14,双成药业
2024-11,89.6,14,松发股份
2024-12,73.8,12,一鸣食品
2025-01,53.2,10,美邦股份
2025-02,63.3,10,新炬网络
2025-03,50.2,9,信隆健康
2025-04,60.3,7,国芳集团
2025-05,48.5,9,成飞集成
2025-06,46.1,7,山东墨龙、易明医药、诺德股份
2025-07,49.6,9,西藏旅游
2025-08,54.1,7,园林股份
2025-09,50.5,15,天普股份
2025-10,49.6,8,大有能源、时空科技
2025-11,51.6,9,合富中国
2025-12,53.1,12,胜通能源
2026-01,68.8,18,锋龙股份
2026-02,53.4,7,豫能控股
2026-03,49.0,8,华电辽能
2026-04,57.1,7,圣阳股份、津药药业
2026-05,68.6,8,利仁科技
2026-06,81.2,6,兴业科技、大有能源
2026-07,64.4,9,爱丽家居
2026-08,67.3,8,传智教育
2026-09,55.3,6,闽东电力、华瓷股份、捷荣技术
