vt_symbol,trade_date,open_price,high_price,low_price,close_price,volume,turnover_rate,买入日,N
605179.SSE,2024-08-21,8.75,8.81,8.66,8.7,11243.0,0.28,2024-11-29,3
605179.SSE,2024-08-22,8.86,9.0,8.56,8.59,20325.0,0.51,2024-11-29,3
605179.SSE,2024-08-23,8.59,8.62,8.43,8.54,15849.0,0.4,2024-11-29,3
605179.SSE,2024-08-26,8.53,8.72,8.5,8.67,14341.0,0.36,2024-11-29,3
605179.SSE,2024-08-27,8.67,8.75,8.57,8.59,12465.0,0.31,2024-11-29,3
605179.SSE,2024-08-28,8.5,8.69,8.43,8.65,11062.0,0.28,2024-11-29,3
605179.SSE,2024-08-29,8.65,8.73,8.5,8.72,14567.0,0.36,2024-11-29,3
605179.SSE,2024-08-30,8.79,9.06,8.65,8.91,29597.0,0.74,2024-11-29,3
605179.SSE,2024-09-02,8.86,8.93,8.74,8.75,17131.0,0.43,2024-11-29,3
605179.SSE,2024-09-03,8.69,8.88,8.67,8.86,12931.0,0.32,2024-11-29,3
605179.SSE,2024-09-04,8.87,8.92,8.72,8.74,12244.0,0.31,2024-11-29,3
605179.SSE,2024-09-05,8.77,8.93,8.7,8.9,16504.0,0.41,2024-11-29,3
605179.SSE,2024-09-06,8.93,8.95,8.71,8.72,13337.0,0.33,2024-11-29,3
605179.SSE,2024-09-09,8.63,8.86,8.57,8.8,13563.0,0.34,2024-11-29,3
605179.SSE,2024-09-10,8.74,8.83,8.66,8.78,13698.0,0.34,2024-11-29,3
605179.SSE,2024-09-11,8.76,8.82,8.65,8.67,9678.0,0.24,2024-11-29,3
605179.SSE,2024-09-12,8.77,8.77,8.54,8.54,10472.0,0.26,2024-11-29,3
605179.SSE,2024-09-13,8.58,8.58,8.34,8.34,14455.0,0.36,2024-11-29,3
605179.SSE,2024-09-18,8.34,8.35,8.14,8.28,15279.0,0.38,2024-11-29,3
605179.SSE,2024-09-19,8.28,8.73,8.28,8.69,26237.0,0.65,2024-11-29,3
605179.SSE,2024-09-20,8.64,8.74,8.59,8.66,14962.0,0.37,2024-11-29,3
605179.SSE,2024-09-23,8.66,8.71,8.57,8.58,11358.0,0.28,2024-11-29,3
605179.SSE,2024-09-24,8.63,9.06,8.62,8.95,34140.0,0.85,2024-11-29,3
605179.SSE,2024-09-25,8.96,9.16,8.94,8.95,35337.0,0.88,2024-11-29,3
605179.SSE,2024-09-26,8.99,9.52,8.91,9.48,47327.0,1.18,2024-11-29,3
605179.SSE,2024-09-27,10.03,10.26,9.71,9.94,63722.0,1.59,2024-11-29,3
605179.SSE,2024-09-30,10.33,10.79,9.95,10.69,100642.0,2.51,2024-11-29,3
605179.SSE,2024-10-08,11.7,11.76,10.4,10.95,112830.0,2.81,2024-11-29,3
605179.SSE,2024-10-09,10.72,10.72,9.86,9.86,73426.0,1.83,2024-11-29,3
605179.SSE,2024-10-10,9.76,10.12,9.41,9.84,65332.0,1.63,2024-11-29,3
605179.SSE,2024-10-11,9.78,10.05,9.53,9.62,47576.0,1.19,2024-11-29,3
605179.SSE,2024-10-14,9.56,9.85,9.45,9.8,35591.0,0.89,2024-11-29,3
605179.SSE,2024-10-15,9.71,9.88,9.58,9.59,26747.0,0.67,2024-11-29,3
605179.SSE,2024-10-16,9.56,9.7,9.46,9.57,27284.0,0.68,2024-11-29,3
605179.SSE,2024-10-17,9.64,9.67,9.43,9.45,19016.0,0.47,2024-11-29,3
605179.SSE,2024-10-18,9.42,9.65,9.4,9.5,44561.0,1.11,2024-11-29,3
605179.SSE,2024-10-21,9.53,9.75,9.46,9.7,43152.0,1.08,2024-11-29,3
605179.SSE,2024-10-22,9.92,10.08,9.72,9.96,48241.0,1.2,2024-11-29,3
605179.SSE,2024-10-23,9.9,10.04,9.84,9.94,37999.0,0.95,2024-11-29,3
605179.SSE,2024-10-24,9.93,9.99,9.8,9.87,33652.0,0.84,2024-11-29,3
605179.SSE,2024-10-25,9.95,10.0,9.88,9.99,34496.0,0.86,2024-11-29,3
605179.SSE,2024-10-28,9.91,10.3,9.91,10.28,46004.0,1.15,2024-11-29,3
