代码,名称,买入日,四组,方案点,阴阳,地基涨跌%,地基档,距MA5%,距MA10%,距MA20%,距MA30%,站上均线数,MA10位置,MA10斜率%,MA20斜率%,反包结构,断板天数,前板高度,反包收复%,断板回撤%,前板日,链,买入开盘%,次日收%,持有到断板%,月,年
000002.SZSE,万 科Ａ,2024-09-30,二接三阳,—,阳,2.67,小阳0~3,4.4,9.5,11.5,10.8,4,上,4.07,1.86,60日内无板,,,,,,实体-1→实体+6,9.95,6.79,6.79,2024-09,2024
000002.SZSE,万 科Ａ,2024-10-08,三接四阳,—,阳,2.67,小阳0~3,4.4,9.5,11.5,10.8,4,上,4.07,1.86,60日内无板,,,,,,实体-1→实体+6→下影+10,9.98,-12.63,-12.63,2024-10,2024
000006.SZSE,深振业Ａ,2024-10-22,二接三阴,—,阴,-4.01,大阴-5~-3,0.4,4.5,16.8,24.3,4,上,13.18,8.57,断8~15天,9.0,1.0,23.0,-6.0,09-27,下影+0→下影+4,-0.86,-4.46,-4.46,2024-10,2024
000006.SZSE,深振业Ａ,2025-10-14,二接三阳,—,阳,5.44,巨阳≥5,10.1,19.7,30.2,36.0,4,上,13.69,8.42,断1天,1.0,1.0,16.0,0.3,09-30,下影-1→实体+2,9.9,-14.06,-14.06,2025-10,2025
000008.SZSE,神州高铁,2024-03-12,三接四阳,—,阳,0.0,小阳0~3,-0.7,-0.7,1.3,-0.6,1,下,1.66,-1.27,60日内无板,,,,,,实体+0→下影+1→一字+10,6.71,-13.83,-13.83,2024-03,2024
000008.SZSE,神州高铁,2026-04-01,二接三阳,—,阳,1.12,小阳0~3,1.0,-2.2,-4.8,-6.8,1,下,-4.4,-2.93,断16~60天,52.0,1.0,-5.7,-19.4,01-06,下影-1→下影+9,10.09,-13.33,-13.33,2026-04,2026
000011.SZSE,深物业A,2026-07-27,二接三阳,—,阳,0.59,小阳0~3,1.2,4.4,4.3,0.2,4,上,2.12,-1.94,60日内无板,,,,,,实体+0→下影+5,1.57,-16.94,-16.94,2026-07,2026
000017.SZSE,深中华A,2026-08-25,三接四阴,—,阴,-2.65,小阴-3~0,-1.9,-3.6,-2.5,-0.6,0,下,-0.46,2.66,断16~60天,19.0,1.0,13.7,-0.9,07-23,实体+1→下影+10→一字+10,9.97,10.0,30.35,2026-08,2026
000020.SZSE,深华发Ａ,2023-07-10,二接三阴,B1,阴,-5.31,巨阴≤-5,1.9,3.9,5.9,7.1,4,上,2.42,1.49,断1天,1.0,1.0,4.2,-6.3,07-04,实体-2→下影+7,7.12,-9.74,-9.74,2023-07,2023
000020.SZSE,深华发Ａ,2024-01-17,二接三阳,—,阳,0.0,小阳0~3,0.5,-1.2,-0.4,-0.4,1,下,0.61,-0.3,60日内无板,,,,,,下影-2→下影+1,3.51,-9.99,-9.99,2024-01,2024
000020.SZSE,深华发Ａ,2024-01-26,二接三阴,—,阴,2.49,小阳0~3,2.4,9.8,16.6,19.2,4,上,10.13,5.5,断1天,1.0,1.0,12.8,-3.9,01-22,实体-9→下影+5,5.12,-9.99,-9.99,2024-01,2024
000020.SZSE,深华发Ａ,2025-06-19,二接三阳,—,阳,1.21,小阳0~3,-0.5,0.2,1.3,2.5,3,上,1.34,1.36,60日内无板,,,,,,下影+0→下影+1,5.01,-18.17,-18.17,2025-06,2025
