组,月,触发,炸板,封次日负,好票,连板,坏票率%
三接四阳,2023-04,3,1,1,1,1,67
三接四阳,2023-05,6,2,1,4,2,33
三接四阳,2023-06,8,1,1,6,3,25
三接四阳,2023-07,7,1,4,2,1,71
三接四阳,2023-08,5,1,1,3,3,40
三接四阳,2023-09,7,1,2,4,2,43
三接四阳,2023-10,9,3,3,3,3,67
三接四阳,2023-11,18,4,8,6,5,67
三接四阳,2023-12,16,7,6,3,3,81
三接四阳,2024-01,16,6,6,5,3,69
三接四阳,2024-02,8,0,4,4,2,50
三接四阳,2024-03,17,7,4,7,6,59
三接四阳,2024-04,6,2,2,3,2,50
三接四阳,2024-05,6,4,2,1,0,83
三接四阳,2024-06,2,0,1,1,1,50
三接四阳,2024-07,8,3,1,4,4,50
三接四阳,2024-08,9,1,4,4,4,56
三接四阳,2024-09,12,5,2,7,3,42
三接四阳,2024-10,43,16,11,18,6,58
三接四阳,2024-11,28,9,7,12,10,57
三接四阳,2024-12,35,11,8,16,14,54
三接四阳,2025-01,17,7,4,6,6,65
三接四阳,2025-02,15,5,3,8,5,47
三接四阳,2025-03,21,6,11,5,3,76
三接四阳,2025-04,21,5,4,12,7,43
三接四阳,2025-05,18,6,3,10,6,44
三接四阳,2025-06,15,4,1,12,5,20
三接四阳,2025-07,19,6,9,5,4,74
三接四阳,2025-08,14,8,2,6,2,57
三接四阳,2025-09,14,2,6,6,5,57
三接四阳,2025-10,8,3,0,5,4,38
三接四阳,2025-11,18,2,6,11,9,39
三接四阳,2025-12,16,3,4,10,6,38
三接四阳,2026-01,28,10,7,15,3,46
三接四阳,2026-02,8,1,5,3,1,62
三接四阳,2026-03,14,6,2,8,0,43
三接四阳,2026-04,7,3,1,3,1,57
三接四阳,2026-05,12,4,3,6,2,50
三接四阳,2026-06,9,3,4,3,0,67
三接四阳,2026-07,6,0,0,6,4,0
三接四阳,2026-08,16,4,5,8,4,50
三接四阳,2026-09,4,2,1,1,1,75
