组,月,触发,炸板,封次日负,好票,连板,坏票率%
三接四阴,2023-04,2,1,0,2,1,0
三接四阴,2023-05,5,2,1,2,1,60
三接四阴,2023-06,10,5,1,4,2,60
三接四阴,2023-07,4,1,1,2,0,50
三接四阴,2023-08,4,1,0,3,2,25
三接四阴,2023-09,8,3,1,4,4,50
三接四阴,2023-10,9,4,2,3,3,67
三接四阴,2023-11,12,2,2,8,7,33
三接四阴,2023-12,8,1,4,4,2,50
三接四阴,2024-01,12,3,6,3,3,75
三接四阴,2024-02,13,5,2,8,4,38
三接四阴,2024-03,15,7,3,5,5,67
三接四阴,2024-04,8,5,3,0,0,100
三接四阴,2024-05,4,1,2,1,1,75
三接四阴,2024-06,4,0,2,2,1,50
三接四阴,2024-07,5,1,4,0,0,100
三接四阴,2024-08,5,1,2,2,2,60
三接四阴,2024-09,9,3,2,6,4,33
三接四阴,2024-10,30,19,4,8,5,73
三接四阴,2024-11,30,9,5,17,12,43
三接四阴,2024-12,21,7,3,13,7,38
三接四阴,2025-01,15,4,4,8,6,47
三接四阴,2025-02,9,3,3,3,2,67
三接四阴,2025-03,10,2,6,2,1,80
三接四阴,2025-04,8,3,2,4,2,50
三接四阴,2025-05,13,5,3,5,4,62
三接四阴,2025-06,11,4,3,5,1,55
三接四阴,2025-07,14,4,4,7,2,50
三接四阴,2025-08,14,3,4,7,3,50
三接四阴,2025-09,9,4,2,3,2,67
三接四阴,2025-10,6,3,1,2,0,67
三接四阴,2025-11,11,6,3,3,1,73
三接四阴,2025-12,17,5,5,7,3,59
三接四阴,2026-01,11,2,1,8,5,27
三接四阴,2026-02,6,1,3,2,0,67
三接四阴,2026-03,8,3,2,3,2,62
三接四阴,2026-04,10,4,0,6,4,40
三接四阴,2026-05,11,5,3,4,3,64
三接四阴,2026-06,12,3,3,6,2,50
三接四阴,2026-07,7,2,2,3,2,57
三接四阴,2026-08,14,3,3,8,4,43
三接四阴,2026-09,1,1,0,1,0,0
