组,月,触发,炸板,封次日负,好票,连板,坏票率%
二接三阳,2023-03,1,1,0,0,0,100
二接三阳,2023-04,10,2,4,4,2,60
二接三阳,2023-05,18,5,3,11,5,39
二接三阳,2023-06,17,6,6,6,5,65
二接三阳,2023-07,12,3,3,8,5,33
二接三阳,2023-08,17,9,5,4,3,76
二接三阳,2023-09,18,7,3,8,7,56
二接三阳,2023-10,17,7,5,5,3,71
二接三阳,2023-11,27,9,9,10,8,63
二接三阳,2023-12,29,7,13,9,8,69
二接三阳,2024-01,24,5,11,8,6,67
二接三阳,2024-02,25,16,1,11,4,56
二接三阳,2024-03,44,25,10,10,7,77
二接三阳,2024-04,22,15,2,8,3,64
二接三阳,2024-05,21,9,6,7,2,67
二接三阳,2024-06,10,3,2,5,4,50
二接三阳,2024-07,19,9,4,8,3,58
二接三阳,2024-08,17,7,6,5,4,71
二接三阳,2024-09,45,15,9,22,10,51
二接三阳,2024-10,118,49,44,33,14,72
二接三阳,2024-11,76,39,15,25,17,67
二接三阳,2024-12,71,31,23,22,15,69
二接三阳,2025-01,34,11,10,14,10,59
二接三阳,2025-02,38,16,7,17,11,55
二接三阳,2025-03,33,14,9,14,9,58
二接三阳,2025-04,39,13,11,18,12,54
二接三阳,2025-05,35,12,7,18,9,49
二接三阳,2025-06,34,12,7,16,10,53
二接三阳,2025-07,47,17,10,21,15,55
二接三阳,2025-08,35,12,8,18,6,49
二接三阳,2025-09,31,11,6,14,8,55
二接三阳,2025-10,26,10,11,6,5,77
二接三阳,2025-11,37,15,4,20,12,46
二接三阳,2025-12,43,13,11,22,12,49
二接三阳,2026-01,48,20,8,29,12,40
二接三阳,2026-02,19,7,6,7,4,63
二接三阳,2026-03,24,8,7,10,5,58
二接三阳,2026-04,21,10,6,7,4,67
二接三阳,2026-05,27,7,5,16,8,41
二接三阳,2026-06,29,11,6,16,7,45
二接三阳,2026-07,22,7,8,7,6,68
二接三阳,2026-08,36,14,9,16,10,56
二接三阳,2026-09,6,4,1,1,1,83
