组,月,触发,炸板,封次日负,好票,连板,坏票率%
二接三阴,2023-04,6,3,0,3,1,50
二接三阴,2023-05,11,3,3,6,2,45
二接三阴,2023-06,17,5,2,10,5,41
二接三阴,2023-07,18,9,4,5,2,72
二接三阴,2023-08,16,11,1,4,4,75
二接三阴,2023-09,14,4,3,7,5,50
二接三阴,2023-10,17,7,4,7,5,59
二接三阴,2023-11,21,7,6,8,8,62
二接三阴,2023-12,22,9,5,10,6,55
二接三阴,2024-01,34,15,10,12,9,65
二接三阴,2024-02,34,11,9,17,9,50
二接三阴,2024-03,25,10,8,7,5,72
二接三阴,2024-04,14,7,4,3,3,79
二接三阴,2024-05,14,5,6,3,3,79
二接三阴,2024-06,14,5,5,4,4,71
二接三阴,2024-07,15,8,3,6,4,60
二接三阴,2024-08,18,6,6,6,5,67
二接三阴,2024-09,32,9,2,25,7,22
二接三阴,2024-10,39,16,12,14,9,64
二接三阴,2024-11,55,30,7,24,16,56
二接三阴,2024-12,67,31,18,23,16,66
二接三阴,2025-01,29,10,8,12,9,59
二接三阴,2025-02,22,9,5,10,7,55
二接三阴,2025-03,19,7,2,10,8,47
二接三阴,2025-04,19,8,4,7,5,63
二接三阴,2025-05,26,9,7,13,4,50
二接三阴,2025-06,25,8,3,16,8,36
二接三阴,2025-07,34,12,10,13,6,62
二接三阴,2025-08,31,7,5,21,13,32
二接三阴,2025-09,24,7,7,12,6,50
二接三阴,2025-10,12,4,5,5,1,58
二接三阴,2025-11,22,5,9,8,4,64
二接三阴,2025-12,33,7,15,11,10,67
二接三阴,2026-01,31,10,9,13,8,58
二接三阴,2026-02,9,2,3,4,3,56
二接三阴,2026-03,19,7,6,8,2,58
二接三阴,2026-04,25,10,7,11,5,56
二接三阴,2026-05,25,7,11,8,4,68
二接三阴,2026-06,32,11,7,17,3,47
二接三阴,2026-07,27,12,10,7,4,74
二接三阴,2026-08,32,9,7,19,6,41
二接三阴,2026-09,3,2,1,0,0,100
