四组,月,笔数,坏票率,封住率,次日收益,持有到断板
三接四阳,2023-04,3,67%,67%,-2.19,-3.81
三接四阳,2023-05,6,33%,67%,2.64,2.02
三接四阳,2023-06,8,25%,88%,3.62,7.36
三接四阳,2023-07,7,71%,86%,-2.17,-0.37
三接四阳,2023-08,5,40%,80%,1.15,-4.47
三接四阳,2023-09,7,43%,86%,-0.51,4.13
三接四阳,2023-10,9,67%,67%,-2.77,1.39
三接四阳,2023-11,18,67%,78%,-5.46,-4.99
三接四阳,2023-12,16,81%,56%,-9.11,-7.17
三接四阳,2024-01,16,69%,62%,-5.73,-5.99
三接四阳,2024-02,8,50%,100%,-1.33,0.08
三接四阳,2024-03,17,59%,59%,-3.88,-1.02
三接四阳,2024-04,6,50%,67%,-2.53,2.2
三接四阳,2024-05,6,83%,33%,-4.91,-5.24
三接四阳,2024-06,2,50%,100%,-0.01,4.89
三接四阳,2024-07,8,50%,62%,0.08,8.38
三接四阳,2024-08,9,56%,89%,-1.59,3.08
三接四阳,2024-09,12,42%,58%,-2.32,-2.68
三接四阳,2024-10,43,58%,63%,-4.07,-2.93
三接四阳,2024-11,28,57%,68%,-1.44,4.73
三接四阳,2024-12,35,54%,69%,-3.68,-3.32
三接四阳,2025-01,17,65%,59%,-4.45,-6.18
三接四阳,2025-02,15,47%,67%,0.23,1.84
三接四阳,2025-03,21,76%,71%,-5.8,-5.45
三接四阳,2025-04,21,43%,76%,1.32,1.49
三接四阳,2025-05,18,44%,67%,-0.1,4.26
三接四阳,2025-06,15,20%,73%,3.07,4.09
三接四阳,2025-07,19,74%,68%,-5.23,-3.2
三接四阳,2025-08,14,57%,43%,-2.26,-2.86
三接四阳,2025-09,14,57%,86%,-0.61,-1.57
三接四阳,2025-10,8,38%,62%,1.66,12.57
三接四阳,2025-11,18,39%,89%,1.77,3.17
三接四阳,2025-12,16,38%,81%,0.53,1.24
三接四阳,2026-01,28,46%,64%,-1.03,-0.89
三接四阳,2026-02,8,62%,88%,-1.87,-3.02
三接四阳,2026-03,14,43%,57%,-3.61,-3.61
三接四阳,2026-04,7,57%,57%,-4.7,-2.17
三接四阳,2026-05,12,50%,67%,-0.37,-0.96
三接四阳,2026-06,9,67%,67%,-3.79,-4.19
三接四阳,2026-07,6,0%,100%,8.38,12.61
三接四阳,2026-08,16,50%,75%,0.42,2.66
三接四阳,2026-09,4,75%,50%,-9.76,-12.5
三接四阴,2023-04,2,0%,50%,5.04,-0.48
三接四阴,2023-05,5,60%,60%,-3.15,-4.0
三接四阴,2023-06,10,60%,50%,-2.19,-1.21
三接四阴,2023-07,4,50%,75%,-2.64,-2.93
三接四阴,2023-08,4,25%,75%,4.16,11.21
三接四阴,2023-09,8,50%,62%,-2.37,-2.08
三接四阴,2023-10,9,67%,56%,-4.36,11.31
三接四阴,2023-11,12,33%,83%,1.95,3.96
三接四阴,2023-12,8,50%,88%,-1.05,2.26
三接四阴,2024-01,12,75%,75%,-6.54,-9.29
三接四阴,2024-02,13,38%,62%,1.41,4.59
三接四阴,2024-03,15,67%,53%,-5.68,0.56
三接四阴,2024-04,8,100%,38%,-15.42,-15.42
三接四阴,2024-05,4,75%,75%,-4.94,-6.77
三接四阴,2024-06,4,50%,100%,-1.03,-3.78
三接四阴,2024-07,5,100%,80%,-9.84,-9.84
三接四阴,2024-08,5,60%,80%,-1.14,-2.58
三接四阴,2024-09,9,33%,67%,3.09,8.11
三接四阴,2024-10,30,73%,37%,-4.95,-2.98
三接四阴,2024-11,30,43%,70%,1.14,0.58
三接四阴,2024-12,21,38%,67%,-1.15,-2.08
三接四阴,2025-01,15,47%,73%,-0.88,1.26
三接四阴,2025-02,9,67%,67%,-4.59,-2.23
三接四阴,2025-03,10,80%,80%,-4.52,-0.38
三接四阴,2025-04,8,50%,62%,-0.5,-1.79
三接四阴,2025-05,13,62%,62%,-4.88,-6.45
三接四阴,2025-06,11,55%,64%,-2.68,-2.53
三接四阴,2025-07,14,50%,71%,-2.06,-2.1
三接四阴,2025-08,14,50%,79%,-0.43,0.67
三接四阴,2025-09,9,67%,56%,-4.55,-3.09
三接四阴,2025-10,6,67%,50%,-8.0,-8.0
三接四阴,2025-11,11,73%,45%,-8.46,-7.39
三接四阴,2025-12,17,59%,71%,-3.26,-2.36
三接四阴,2026-01,11,27%,82%,3.74,4.52
三接四阴,2026-02,6,67%,83%,-2.91,-2.17
三接四阴,2026-03,8,62%,62%,-1.16,3.9
三接四阴,2026-04,10,40%,60%,-0.52,4.2
三接四阴,2026-05,11,64%,55%,-1.02,-0.39
三接四阴,2026-06,12,50%,75%,-0.32,0.6
三接四阴,2026-07,7,57%,71%,0.61,1.96
三接四阴,2026-08,14,43%,79%,0.31,1.18
三接四阴,2026-09,1,0%,0%,2.12,2.12
二接三阳,2023-03,1,100%,0%,-13.93,-13.93
二接三阳,2023-04,10,60%,80%,-0.63,-0.62
二接三阳,2023-05,18,39%,72%,0.99,3.95
二接三阳,2023-06,17,65%,65%,-2.89,0.84
二接三阳,2023-07,12,33%,75%,2.35,3.9
二接三阳,2023-08,17,76%,47%,-5.59,-5.46
二接三阳,2023-09,18,56%,61%,-4.26,-1.46
二接三阳,2023-10,17,71%,59%,-5.83,-6.04
二接三阳,2023-11,27,63%,67%,-3.11,-3.5
二接三阳,2023-12,29,69%,76%,-3.23,-2.9
二接三阳,2024-01,24,67%,79%,-3.87,-3.16
二接三阳,2024-02,25,56%,36%,-4.3,-4.08
二接三阳,2024-03,44,77%,43%,-7.58,-6.75
二接三阳,2024-04,22,64%,32%,-5.45,-6.93
二接三阳,2024-05,21,67%,57%,-4.85,-5.12
二接三阳,2024-06,10,50%,70%,-1.48,0.67
二接三阳,2024-07,19,58%,53%,-2.77,2.48
二接三阳,2024-08,17,71%,59%,-4.85,-3.04
二接三阳,2024-09,45,51%,67%,-1.79,-2.12
二接三阳,2024-10,118,72%,58%,-4.78,-4.77
二接三阳,2024-11,76,67%,49%,-4.64,-0.13
二接三阳,2024-12,71,69%,56%,-4.03,-3.55
二接三阳,2025-01,34,59%,68%,-2.95,-2.2
二接三阳,2025-02,38,55%,58%,-0.27,0.17
二接三阳,2025-03,33,58%,58%,-2.79,-2.34
二接三阳,2025-04,39,54%,67%,-0.98,0.3
二接三阳,2025-05,35,49%,66%,-1.79,0.52
二接三阳,2025-06,34,53%,65%,-1.29,2.92
二接三阳,2025-07,47,55%,64%,-1.33,-0.52
二接三阳,2025-08,35,49%,66%,-1.48,-0.47
二接三阳,2025-09,31,55%,65%,-2.9,-2.82
二接三阳,2025-10,26,77%,62%,-4.83,-0.07
二接三阳,2025-11,37,46%,59%,-0.22,2.06
二接三阳,2025-12,43,49%,70%,-0.17,0.31
二接三阳,2026-01,48,40%,58%,1.4,0.86
二接三阳,2026-02,19,63%,63%,-1.82,-1.66
二接三阳,2026-03,24,58%,67%,-0.19,1.55
二接三阳,2026-04,21,67%,52%,-2.36,-2.39
二接三阳,2026-05,27,41%,74%,0.92,1.57
二接三阳,2026-06,29,45%,62%,0.96,1.12
二接三阳,2026-07,22,68%,68%,-4.16,-0.09
二接三阳,2026-08,36,56%,61%,-0.99,1.13
二接三阳,2026-09,6,83%,33%,-4.42,-1.86
二接三阴,2023-04,6,50%,50%,-1.87,-2.06
二接三阴,2023-05,11,45%,73%,0.45,-0.46
二接三阴,2023-06,17,41%,71%,0.65,2.12
二接三阴,2023-07,18,72%,50%,-4.78,-4.3
二接三阴,2023-08,16,75%,31%,-4.12,-0.2
二接三阴,2023-09,14,50%,71%,0.59,2.93
二接三阴,2023-10,17,59%,59%,-4.26,-5.35
二接三阴,2023-11,21,62%,67%,-3.61,3.21
二接三阴,2023-12,22,55%,59%,-2.2,-0.85
二接三阴,2024-01,34,65%,56%,-5.25,-7.4
二接三阴,2024-02,34,50%,68%,0.66,1.54
二接三阴,2024-03,25,72%,60%,-2.83,2.58
