代码,名称,买入日,组,N,阴阳,首板日,地基涨跌%,距60日新高%,距60日低点%,均线,地基前20日涨幅%,距前波末板,前波60日最高板,前波120日最高板,b1日,b1板型,b1开盘%,b1下影%,b1换手%,b2日,b2板型,b2开盘%,b2下影%,b2换手%,链,买价,买入开盘%,买入换手%,买入量比,买入日涨停家数,昨日涨停家数,封住,次日开%,次日收%,次日连板,持有到断板%,持有天数,未完,最终高度,结果,坏票,月,年,b3日,b3板型,b3开盘%,b3下影%,b3换手%,四组,胜,换手梯度
000062.SZSE,深圳华强,2024-08-20,三接四,3,阳,2024-08-15,1.28,-14.3,7.0,-+-,0.6,,0,0,08-15,下影,0.9,1.0,2.6,08-16,下影,1.6,0.8,3.4,下影+1→下影+2→一字+10,12.75,10.01,4.6,1.85,17,29,True,9.8,10.04,True,83.92,7.0,False,10,连板,False,2024-08,2024,08-19,一字,10.0,0.0,0.6,三接四阳,True,0.7999999999999998
000510.SZSE,新金路,2025-04-16,三接四,3,阳,2025-04-11,6.98,-12.2,17.8,--+,-8.2,,0,0,04-11,下影,9.9,4.2,6.0,04-14,一字,10.0,0.0,2.5,下影+10→一字+10→下影+10,5.6,6.09,33.7,2.58,40,44,False,-16.07,-5.71,True,-11.96,2.0,False,5,炸板,True,2025-04,2025,04-15,下影,9.9,2.4,17.6,三接四阳,False,-3.5
000566.SZSE,海南海药,2024-09-11,三接四,3,阳,2024-09-06,2.34,-13.6,8.1,--+,-2.9,,0,0,09-06,下影,10.1,1.0,4.3,09-09,一字,10.1,0.0,0.8,下影+10→一字+10→一字+10,4.49,10.05,17.3,3.56,19,31,True,10.02,10.02,True,8.91,3.0,False,6,连板,False,2024-09,2024,09-10,一字,10.0,0.0,1.4,三接四阳,True,-3.5
000828.SZSE,东莞控股,2023-11-09,三接四,3,阳,2023-11-06,0.45,-14.2,5.5,++-,0.1,,0,0,11-06,下影,8.6,1.4,1.5,11-07,一字,10.0,0.0,0.7,下影+9→一字+10→一字+10,13.2,6.5,12.0,3.87,25,41,True,-10.0,4.24,False,4.24,1.0,False,4,封次日正,False,2023-11,2023,11-08,一字,10.0,0.0,1.0,三接四阳,True,-0.8
000889.SZSE,中嘉博创,2025-06-09,三接四,3,阳,2025-06-04,0.0,-12.6,25.6,--+,1.9,,0,0,06-04,一字,10.0,0.0,0.2,06-05,一字,10.1,0.0,0.1,一字+10→一字+10→一字+10,3.96,4.17,12.8,3.95,54,44,True,0.0,3.54,False,3.54,1.0,False,4,封次日正,False,2025-06,2025,06-06,一字,10.1,0.0,1.4,三接四阳,True,-0.1
001209.SZSE,洪兴股份,2025-11-10,三接四,3,阳,2025-11-05,1.02,-10.9,16.4,++-,-4.9,222.0,0,0,11-05,下影,-0.6,0.4,8.4,11-06,下影,-1.0,0.3,15.2,下影-1→下影-1→实体+0,29.0,4.82,14.9,1.38,56,45,True,5.72,-9.97,False,-9.97,1.0,False,4,封次日负,True,2025-11,2025,11-07,实体,0.1,0.0,13.2,三接四阳,False,6.799999999999999
002093.SZSE,国脉科技,2025-03-11,三接四,3,阳,2025-03-06,1.35,-9.6,18.8,--+,4.7,,0,0,03-06,实体,2.2,0.0,2.1,03-07,一字,10.1,0.0,1.4,实体+2→一字+10→一字+10,12.06,1.73,23.6,4.03,45,65,False,-5.64,0.0,False,0.0,1.0,False,3,炸板,False,2025-03,2025,03-10,一字,10.0,0.0,0.9,三接四阳,False,-0.7000000000000002
002125.SZSE,湘潭电化,2025-06-24,三接四,3,阳,2025-06-19,-0.2,-10.3,19.1,++-,1.1,,0,0,06-19,实体,4.4,0.0,3.4,06-20,一字,10.0,0.0,2.3,实体+4→一字+10→下影+10,14.87,9.91,13.7,1.91,53,60,True,10.02,10.02,True,6.93,2.0,False,5,连板,False,2025-06,2025,06-23,下影,9.8,3.9,14.9,三接四阳,True,-1.1
002190.SZSE,成飞集成,2025-05-12,三接四,3,阳,2025-05-07,0.72,-10.2,17.1,++-,0.1,,0,0,05-07,下影,5.1,1.7,6.2,05-08,下影,10.0,3.8,9.9,下影+5→下影+10→一字+10,24.51,9.02,9.2,1.56,38,27,True,10.0,10.0,True,73.4,6.0,False,9,连板,False,2025-05,2025,05-09,一字,10.0,0.0,2.8,三接四阳,True,3.7
002192.SZSE,融捷股份,2026-03-27,三接四,3,阳,2026-03-24,0.36,-14.8,11.2,--+,1.4,355.0,0,0,03-24,下影,7.8,1.4,11.4,03-25,下影,7.5,0.7,14.7,下影+8→下影+8→下影+4,78.0,3.41,16.3,1.27,72,36,True,6.86,5.1,False,5.1,1.0,False,4,封次日正,False,2026-03,2026,03-26,下影,4.0,2.2,15.7,三接四阳,True,3.299999999999999
