代码,名称,买入日,组,N,阴阳,首板日,地基涨跌%,距60日新高%,距60日低点%,均线,地基前20日涨幅%,距前波末板,前波60日最高板,前波120日最高板,b1日,b1板型,b1开盘%,b1下影%,b1换手%,b2日,b2板型,b2开盘%,b2下影%,b2换手%,链,买价,买入开盘%,买入换手%,买入量比,买入日涨停家数,昨日涨停家数,封住,次日开%,次日收%,次日连板,持有到断板%,持有天数,未完,最终高度,结果,坏票,月,年,b3日,b3板型,b3开盘%,b3下影%,b3换手%,四组,胜,链组合,均线归并,b1一字,b1开口,b2一字,b2开口,b3一字,b3开口,链一字数,链开口数,竞价梯度,二板梯度,换手梯度
000533.SZSE,顺钠股份,2026-03-09,三接四,3,阴,2026-03-04,-1.84,-6.9,46.0,+++,16.9,14.0,3,3,03-04,实体,-0.5,0.2,8.4,03-05,一字,10.0,0.0,1.2,实体-1→一字+10→一字+10,16.37,5.91,7.8,1.2,34,65,True,10.02,7.88,False,7.88,1.0,False,4,封次日正,False,2026-03,2026,03-06,一字,10.0,0.0,1.4,三接四阴,True,实体→一字,全多头,0,0,1,0,1,0,2,0,-4.09,10.5,-7.2
000628.SZSE,高新发展,2024-02-21,三接四,3,阴,2024-02-08,-2.2,-50.4,10.9,---,-20.5,69.0,0,11,02-08,下影,1.5,1.2,16.5,02-19,一字,10.0,0.0,1.9,下影+1→一字+10→一字+10,52.05,1.44,41.8,2.59,93,80,False,1.83,5.63,True,21.61,3.0,False,6,炸板,False,2024-02,2024,02-20,一字,10.0,0.0,0.7,三接四阴,True,下影→一字,其他,0,1,1,0,1,0,2,1,-8.56,8.5,-14.6
002369.SZSE,卓翼科技,2025-02-24,三接四,3,阴,2025-02-19,-5.01,-23.2,31.2,+++,30.4,38.0,2,3,02-19,实体,0.8,0.0,12.8,02-20,一字,10.1,0.0,1.9,实体+1→一字+10→下影+10,11.39,5.12,17.8,1.39,66,82,True,-2.99,10.01,True,9.48,2.0,False,5,连板,False,2025-02,2025,02-21,下影,10.0,3.6,16.0,三接四阴,True,实体→一字,全多头,0,0,1,0,0,1,1,1,-4.9799999999999995,9.299999999999999,-10.9
002403.SZSE,爱仕达,2024-11-07,三接四,3,阴,2024-11-04,-3.79,-9.5,29.6,+++,7.2,45.0,3,3,11-04,实体,0.0,0.0,1.6,11-05,一字,10.0,0.0,1.0,实体+0→一字+10→一字+10,11.54,10.01,22.9,3.65,157,104,False,-7.54,-11.35,False,-11.35,1.0,False,3,炸板,True,2024-11,2024,11-06,一字,10.0,0.0,1.5,三接四阴,False,实体→一字,全多头,0,0,1,0,1,0,2,0,0.009999999999999787,10.0,-0.6000000000000001
002490.SZSE,山东墨龙,2025-06-18,三接四,3,阴,2025-06-13,-1.0,-28.8,28.7,+--,-10.0,25.0,3,3,06-13,下影,5.8,2.5,12.3,06-16,一字,10.1,0.0,1.3,下影+6→一字+10→下影+4,5.8,4.36,21.2,1.62,29,37,True,0.0,10.0,True,19.83,4.0,False,7,连板,False,2025-06,2025,06-17,下影,4.2,2.9,28.9,三接四阴,True,下影→一字,纠缠,0,1,1,0,0,1,1,2,-5.739999999999999,4.3,-11.0
002636.SZSE,金安国纪,2025-07-08,三接四,3,阴,2025-07-03,-4.19,-4.7,45.5,+++,9.5,107.0,0,5,07-03,实体,-0.3,0.0,4.8,07-04,一字,10.0,0.0,0.9,实体-0→一字+10→下影-1,13.72,3.13,8.8,1.53,57,52,True,9.99,9.99,True,10.42,2.0,False,5,连板,False,2025-07,2025,07-07,下影,-1.0,2.1,11.5,三接四阴,True,实体→一字,全多头,0,0,1,0,0,1,1,1,-6.87,10.3,-3.9
600345.SSE,长江通信,2024-06-19,三接四,3,阴,2024-06-14,-0.53,-31.0,3.1,---,-6.5,80.0,0,3,06-14,下影,1.3,1.9,2.9,06-17,一字,10.0,0.0,2.0,下影+1→一字+10→下影+8,24.59,9.98,15.4,2.46,20,26,True,-8.01,-10.0,False,-10.0,1.0,False,4,封次日负,True,2024-06,2024,06-18,下影,8.0,2.2,10.4,三接四阴,False,下影→一字,其他,0,1,1,0,0,1,1,2,-0.019999999999999574,8.7,-0.8999999999999999
600619.SSE,海立股份,2024-11-07,三接四,3,阴,2024-11-04,0.96,-8.3,136.9,+++,44.7,18.0,4,4,11-04,一字,10.0,0.0,2.9,11-05,一字,10.0,0.0,0.6,一字+10→一字+10→下影+10,16.93,0.0,32.6,2.4,157,104,True,-4.9,9.98,True,16.89,2.0,False,5,连板,False,2024-11,2024,11-06,下影,10.0,2.7,11.2,三接四阴,True,一字→一字,全多头,1,0,1,0,0,1,2,1,-10.0,0.0,-2.3
600622.SSE,光大嘉宝,2024-10-16,三接四,3,阴,2024-10-11,-5.47,-17.7,53.2,+++,43.2,4.0,3,3,10-11,下影,-1.7,1.2,10.9,10-14,一字,10.2,0.0,1.2,下影-2→一字+10→一字+10,3.54,0.93,10.5,1.71,67,33,True,9.89,9.89,True,8.76,3.0,False,6,连板,False,2024-10,2024,10-15,一字,9.9,0.0,1.7,三接四阴,True,下影→一字,全多头,0,1,1,0,1,0,2,1,-9.27,11.899999999999999,-9.700000000000001
600653.SSE,申华控股,2024-10-29,三接四,3,阴,2024-10-24,-1.27,-11.4,32.5,+++,25.0,94.0,0,4,10-24,下影,-0.6,0.6,6.0,10-25,一字,9.9,0.0,1.6,下影-1→一字+10→一字+10,2.28,10.14,17.5,3.05,93,179,True,0.0,10.09,True,8.77,3.0,False,6,连板,False,2024-10,2024,10-28,一字,10.1,0.0,0.8,三接四阴,True,下影→一字,全多头,0,1,1,0,1,0,2,1,0.2400000000000002,10.5,-4.4
603178.SSE,圣龙股份,2023-10-11,三接四,3,阴,2023-09-28,-8.28,-23.4,3.9,+++,-4.4,62.0,0,3,09-28,下影,-0.7,0.7,6.7,10-09,一字,10.0,0.0,1.3,下影-1→一字+10→一字+10,16.06,10.0,13.3,2.12,31,33,True,0.0,10.02,True,141.22,11.0,False,14,连板,False,2023-10,2023,10-10,一字,10.0,0.0,1.2,三接四阴,True,下影→一字,全多头,0,1,1,0,1,0,2,1,0.0,10.7,-5.4
603318.SSE,水发燃气,2026-04-27,三接四,3,阴,2026-04-22,0.94,-22.3,25.0,+--,8.4,34.0,4,4,04-22,实体,1.2,0.1,21.0,04-23,一字,10.0,0.0,2.9,实体+1→一字+10→一字+10,12.53,7.46,20.5,1.61,54,50,True,3.75,9.98,True,16.12,2.0,False,5,连板,False,2026-04,2026,04-24,一字,10.0,0.0,3.5,三接四阴,True,实体→一字,纠缠,0,0,1,0,1,0,2,0,-2.54,8.8,-18.1
603533.SSE,掌阅科技,2024-03-25,三接四,3,阴,2024-03-20,1.71,-7.5,102.2,+++,42.4,5.0,3,3,03-20,下影,6.1,1.8,7.6,03-21,一字,10.0,0.0,1.1,下影+6→一字+10→下影+7,35.74,10.0,23.8,2.28,36,44,False,-16.06,-22.36,False,-22.36,1.0,False,3,炸板,True,2024-03,2024,03-22,下影,6.6,1.7,6.2,三接四阴,False,下影→一字,全多头,0,1,1,0,0,1,1,2,0.0,3.9000000000000004,-6.5
603618.SSE,杭电股份,2026-02-04,三接四,3,阴,2026-01-30,-5.73,-15.0,8.4,-++,0.2,85.0,0,6,01-30,下影,-0.4,3.4,7.2,02-02,一字,10.0,0.0,1.7,下影-0→一字+10→下影+10,12.02,9.88,12.0,1.84,57,61,True,-2.0,3.66,False,3.66,1.0,False,4,封次日正,False,2026-02,2026,02-03,下影,10.0,1.0,6.5,三接四阴,True,下影→一字,纠缠,0,1,1,0,0,1,1,2,-0.11999999999999922,10.4,-5.5
603709.SSE,中源家居,2025-09-09,三接四,3,阴,2025-09-04,-9.91,-17.3,15.1,--+,-4.1,99.0,0,5,09-04,下影,-0.9,2.1,6.6,09-05,一字,10.0,0.0,6.2,下影-1→一字+10→一字+10,20.36,9.99,22.1,2.34,45,56,False,-22.05,-24.56,False,-24.56,1.0,False,3,炸板,True,2025-09,2025,09-08,一字,10.0,0.0,1.7,三接四阴,False,下影→一字,其他,0,1,1,0,1,0,2,1,-0.009999999999999787,10.9,-0.39999999999999947
603767.SSE,中马传动,2023-09-01,三接四,3,阴,2023-08-29,-1.64,-19.9,94.6,++-,12.8,28.0,6,6,08-29,下影,-0.1,0.9,7.2,08-30,一字,10.0,0.0,1.7,下影-0→一字+10→下影+4,20.21,0.0,21.2,2.14,17,23,True,-0.59,10.0,True,9.01,2.0,False,5,连板,False,2023-09,2023,08-31,下影,4.3,2.7,10.6,三接四阴,True,下影→一字,其他,0,1,1,0,0,1,1,2,-10.0,10.1,-5.5
603950.SSE,长源东谷,2026-04-13,三接四,3,阴,2026-04-08,-7.25,-35.4,33.1,--+,-7.6,16.0,3,3,04-08,一字,10.0,0.0,0.8,04-09,一字,10.0,0.0,0.2,一字+10→一字+10→一字+10,54.31,5.33,8.7,3.01,52,53,True,3.0,0.17,False,0.17,1.0,False,4,封次日正,False,2026-04,2026,04-10,一字,10.0,0.0,2.0,三接四阴,True,一字→一字,其他,1,0,1,0,1,0,3,0,-4.67,0.0,-0.6000000000000001
