代码,名称,买入日,组,N,阴阳,首板日,地基涨跌%,距60日新高%,距60日低点%,均线,地基前20日涨幅%,距前波末板,前波60日最高板,前波120日最高板,b1日,b1板型,b1开盘%,b1下影%,b1换手%,b2日,b2板型,b2开盘%,b2下影%,b2换手%,链,买价,买入开盘%,买入换手%,买入量比,买入日涨停家数,昨日涨停家数,封住,次日开%,次日收%,次日连板,持有到断板%,持有天数,未完,最终高度,结果,坏票,月,年,b3日,b3板型,b3开盘%,b3下影%,b3换手%,四组,胜,换手梯度
000533.SZSE,顺钠股份,2026-03-09,三接四,3,阴,2026-03-04,-1.84,-6.9,46.0,+++,16.9,14.0,3,3,03-04,实体,-0.5,0.2,8.4,03-05,一字,10.0,0.0,1.2,实体-1→一字+10→一字+10,16.37,5.91,7.8,1.2,34,65,True,10.02,7.88,False,7.88,1.0,False,4,封次日正,False,2026-03,2026,03-06,一字,10.0,0.0,1.4,三接四阴,True,-7.2
000620.SZSE,盈新发展,2025-11-06,三接四,3,阴,2025-11-03,-10.14,-27.9,58.0,+++,53.1,4.0,7,7,11-03,下影,-1.2,1.6,10.2,11-04,下影,8.1,1.5,3.6,下影-1→下影+8→下影+5,3.63,9.39,20.8,1.69,56,54,False,-5.51,-12.95,False,-12.95,1.0,False,3,炸板,True,2025-11,2025,11-05,下影,5.0,4.0,12.2,三接四阴,False,-6.6
000628.SZSE,高新发展,2024-02-21,三接四,3,阴,2024-02-08,-2.2,-50.4,10.9,---,-20.5,69.0,0,11,02-08,下影,1.5,1.2,16.5,02-19,一字,10.0,0.0,1.9,下影+1→一字+10→一字+10,52.05,1.44,41.8,2.59,93,80,False,1.83,5.63,True,21.61,3.0,False,6,炸板,False,2024-02,2024,02-20,一字,10.0,0.0,0.7,三接四阴,True,-14.6
000856.SZSE,冀东装备,2025-02-20,三接四,3,阴,2025-02-17,-10.0,-17.1,87.0,+++,69.4,9.0,6,6,02-17,下影,-4.5,1.5,28.2,02-18,下影,6.3,0.9,10.8,下影-5→下影+6→下影+2,16.86,-2.87,32.3,1.1,76,90,True,-2.14,-6.58,False,-6.58,1.0,False,4,封次日负,True,2025-02,2025,02-19,下影,2.3,1.9,45.8,三接四阴,False,-17.4
000981.SZSE,山子高科,2024-12-09,三接四,3,阴,2024-12-04,-1.04,-13.2,91.0,+-+,27.3,18.0,4,5,12-04,实体,-2.6,0.0,17.7,12-05,下影,4.3,2.9,10.0,实体-3→下影+4→一字+10,2.79,9.84,33.5,2.06,83,94,True,1.08,10.04,True,7.53,2.0,False,5,连板,False,2024-12,2024,12-06,一字,10.0,0.0,0.9,三接四阴,True,-7.699999999999999
002081.SZSE,金 螳 螂,2026-05-06,三接四,3,阴,2026-04-28,-9.41,-18.9,40.2,+++,33.0,3.0,5,5,04-28,下影,0.9,1.6,17.8,04-29,实体,-1.4,0.0,11.9,下影+1→实体-1→下影-4,6.49,6.44,10.2,0.67,88,69,True,7.24,10.02,True,4.78,2.0,False,5,连板,False,2026-05,2026,04-30,下影,-3.5,1.9,21.8,三接四阴,True,-5.9
002178.SZSE,延华智能,2024-11-07,三接四,3,阴,2024-11-04,-9.95,-18.1,107.9,+++,60.0,2.0,4,4,11-04,实体,-10.0,0.0,19.6,11-05,下影,10.0,4.1,6.5,实体-10→下影+10→一字+10,9.68,10.0,38.6,2.06,157,104,True,-1.96,1.55,False,1.55,1.0,False,4,封次日正,False,2024-11,2024,11-06,一字,10.0,0.0,1.0,三接四阴,True,-13.100000000000001
002190.SZSE,成飞集成,2025-08-25,三接四,3,阴,2025-08-20,0.11,-12.6,16.6,-++,2.6,66.0,0,9,08-20,下影,0.0,1.4,18.4,08-21,下影,4.5,2.1,13.0,下影+0→下影+5→下影+6,53.67,4.8,18.6,1.1,64,55,True,1.23,4.32,False,4.32,1.0,False,4,封次日正,False,2025-08,2025,08-22,下影,6.0,8.2,27.1,三接四阴,True,-5.399999999999999
002369.SZSE,卓翼科技,2025-02-24,三接四,3,阴,2025-02-19,-5.01,-23.2,31.2,+++,30.4,38.0,2,3,02-19,实体,0.8,0.0,12.8,02-20,一字,10.1,0.0,1.9,实体+1→一字+10→下影+10,11.39,5.12,17.8,1.39,66,82,True,-2.99,10.01,True,9.48,2.0,False,5,连板,False,2025-02,2025,02-21,下影,10.0,3.6,16.0,三接四阴,True,-10.9
002455.SZSE,百川股份,2026-02-11,三接四,3,阴,2026-02-06,-6.03,-8.6,55.6,+++,41.3,5.0,3,3,02-06,下影,-1.8,2.2,25.2,02-09,下影,10.0,2.2,5.3,下影-2→下影+10→一字+10,14.83,7.64,19.4,1.22,46,48,True,-5.53,-4.92,False,-4.92,1.0,False,4,封次日负,True,2026-02,2026,02-10,一字,10.0,0.0,1.8,三接四阴,False,-19.9
