代码,名称,买入日,组,N,阴阳,首板日,地基涨跌%,距60日新高%,距60日低点%,均线,地基前20日涨幅%,距前波末板,前波60日最高板,前波120日最高板,b1日,b1板型,b1开盘%,b1下影%,b1换手%,b2日,b2板型,b2开盘%,b2下影%,b2换手%,链,买价,买入开盘%,买入换手%,买入量比,买入日涨停家数,昨日涨停家数,封住,次日开%,次日收%,次日连板,持有到断板%,持有天数,未完,最终高度,结果,坏票,月,年,b3日,b3板型,b3开盘%,b3下影%,b3换手%,四组,胜,换手梯度
000428.SZSE,华天酒店,2026-07-30,三接四,3,阴,2026-07-27,-1.94,-23.0,2.0,---,-2.3,,0,0,07-27,下影,6.9,3.0,3.5,07-28,实体,2.4,0.0,3.1,下影+7→实体+2→下影+10,4.44,9.9,10.7,2.39,46,73,False,-14.86,-5.18,True,-10.14,2.0,False,5,炸板,True,2026-07,2026,07-29,下影,10.1,6.0,4.3,三接四阴,False,-0.3999999999999999
000599.SZSE,青岛双星,2025-10-29,三接四,3,阴,2025-10-24,-1.03,-6.5,17.1,+++,6.3,240.0,0,0,10-24,下影,0.3,1.4,6.3,10-27,实体,5.1,0.2,9.2,下影+0→实体+5→下影+9,8.43,4.18,25.4,2.45,49,48,False,-19.1,-14.71,False,-14.71,1.0,False,3,炸板,True,2025-10,2025,10-28,下影,9.2,4.2,6.6,三接四阴,False,2.8999999999999995
001255.SZSE,博菲电气,2026-01-15,三接四,3,阴,2026-01-12,0.06,-16.8,14.7,+-+,5.6,15.0,3,3,01-12,下影,0.0,0.9,7.5,01-13,实体,8.4,0.1,6.4,下影+0→实体+8→下影+5,50.19,0.15,7.2,0.91,51,79,True,4.86,10.0,True,-1.0,2.0,False,5,连板,False,2026-01,2026,01-14,下影,4.7,1.0,13.0,三接四阴,True,-1.0999999999999996
001298.SZSE,好上好,2024-02-21,三接四,3,阴,2024-02-08,-7.69,-58.7,2.0,---,-43.4,80.0,0,5,02-08,下影,0.1,3.4,9.8,02-19,实体,2.1,0.0,10.9,下影+0→实体+2→下影-0,21.97,0.0,17.9,1.49,93,80,False,-9.01,-4.55,False,-4.55,1.0,False,3,炸板,True,2024-02,2024,02-20,下影,-0.2,3.7,11.0,三接四阴,False,1.0999999999999996
001318.SZSE,阳光乳业,2025-03-19,三接四,3,阴,2025-03-14,-0.87,-23.7,12.5,--+,1.6,,0,0,03-14,下影,3.3,1.1,25.2,03-17,实体,4.6,0.0,28.5,下影+3→实体+5→下影+3,16.65,9.97,23.8,1.15,40,56,True,8.11,-0.84,False,-0.84,1.0,False,4,封次日负,True,2025-03,2025,03-18,下影,3.0,1.5,22.2,三接四阴,False,3.3000000000000007
002081.SZSE,金 螳 螂,2026-05-06,三接四,3,阴,2026-04-28,-9.41,-18.9,40.2,+++,33.0,3.0,5,5,04-28,下影,0.9,1.6,17.8,04-29,实体,-1.4,0.0,11.9,下影+1→实体-1→下影-4,6.49,6.44,10.2,0.67,88,69,True,7.24,10.02,True,4.78,2.0,False,5,连板,False,2026-05,2026,04-30,下影,-3.5,1.9,21.8,三接四阴,True,-5.9
002163.SZSE,海南发展,2025-12-24,三接四,3,阴,2025-12-19,-5.64,-30.1,39.7,-+-,-8.5,255.0,0,0,12-19,下影,-0.5,3.7,16.8,12-22,实体,9.1,0.0,5.6,下影-1→实体+9→一字+10,19.35,7.9,15.8,1.47,65,48,True,4.13,6.87,False,6.87,1.0,False,4,封次日正,False,2025-12,2025,12-23,一字,10.0,0.0,1.7,三接四阴,True,-11.200000000000001
002498.SZSE,汉缆股份,2026-02-25,三接四,3,阴,2026-02-12,-2.27,-14.4,59.3,+++,40.5,17.0,3,3,02-12,下影,1.4,2.9,8.3,02-13,实体,2.1,0.0,8.2,下影+1→实体+2→下影+5,8.2,5.1,7.9,1.16,61,82,True,-0.61,2.2,False,2.2,1.0,False,4,封次日正,False,2026-02,2026,02-24,下影,4.9,0.4,7.2,三接四阴,True,-0.10000000000000142
002513.SZSE,蓝丰生化,2024-11-05,三接四,3,阴,2024-10-31,-3.29,-14.1,48.7,+++,21.8,3.0,2,2,10-31,下影,-0.4,1.1,18.4,11-01,实体,2.3,0.0,18.8,下影-0→实体+2→下影-1,6.89,8.31,4.1,0.3,139,122,True,9.87,10.01,True,15.09,3.0,False,6,连板,False,2024-11,2024,11-04,下影,-0.5,3.0,15.3,三接四阴,True,0.40000000000000213
002593.SZSE,日上集团,2024-12-09,三接四,3,阴,2024-12-04,-5.48,-14.0,85.7,+++,44.7,2.0,4,4,12-04,下影,10.1,12.4,40.9,12-05,实体,3.5,0.0,7.8,下影+10→实体+4→下影+10,6.82,2.1,27.0,1.21,83,94,True,9.97,9.97,True,19.79,4.0,False,7,连板,False,2024-12,2024,12-06,下影,9.9,6.4,17.0,三接四阴,True,-33.1
002878.SZSE,元隆雅图,2025-06-16,三接四,3,阴,2025-06-11,-2.45,-11.1,69.7,+++,26.8,7.0,2,2,06-11,下影,4.5,2.9,29.6,06-12,实体,4.4,0.0,19.1,下影+4→实体+4→下影+4,27.42,0.28,31.1,1.01,41,39,True,-0.98,-8.32,False,-8.32,1.0,False,4,封次日负,True,2025-06,2025,06-13,下影,4.5,8.3,42.6,三接四阴,False,-10.5
002900.SZSE,哈三联,2024-04-18,三接四,3,阴,2024-04-15,-2.86,-26.0,46.0,--+,-0.3,,0,0,04-15,下影,0.0,5.7,6.5,04-16,实体,6.6,0.0,4.4,下影+0→实体+7→下影+6,14.4,10.01,22.2,2.7,52,200,False,-23.19,-23.19,False,-23.19,1.0,False,3,炸板,True,2024-04,2024,04-17,下影,6.4,1.3,5.6,三接四阴,False,-2.0999999999999996
002952.SZSE,亚世光电,2024-02-26,三接四,3,阴,2024-02-21,-1.4,-43.2,48.7,---,-30.6,30.0,9,9,02-21,下影,-1.7,0.6,14.9,02-22,实体,1.7,0.0,9.8,下影-2→实体+2→下影+3,37.02,4.01,14.8,1.07,72,79,True,-2.19,9.99,True,-1.0,2.0,False,5,连板,False,2024-02,2024,02-23,下影,3.0,1.2,13.4,三接四阴,True,-5.1
003018.SZSE,金富科技,2026-04-22,三接四,3,阴,2026-04-17,0.17,-6.6,112.2,+++,30.7,42.0,3,7,04-17,下影,-0.4,3.3,6.6,04-20,实体,0.2,0.0,7.5,下影-0→实体+0→下影+2,52.2,4.53,8.4,1.25,49,44,True,5.36,4.92,False,4.92,1.0,False,4,封次日正,False,2026-04,2026,04-21,下影,2.0,1.0,5.5,三接四阴,True,0.9000000000000004
600088.SSE,中视传媒,2023-05-11,三接四,3,阴,2023-05-08,0.38,-4.9,23.6,,15.1,,0,0,05-08,下影,-0.6,0.9,8.4,05-09,实体,1.9,0.0,4.3,下影-1→实体+2→下影+3,19.2,10.03,19.5,1.97,35,26,False,-19.22,-2.45,True,4.27,2.0,False,5,炸板,True,2023-05,2023,05-10,下影,3.3,1.5,6.6,三接四阴,False,-4.1000000000000005
600272.SSE,开开实业,2024-01-26,三接四,3,阴,2024-01-23,-5.57,-28.8,0.8,---,-11.7,106.0,0,5,01-23,下影,-0.6,2.1,4.4,01-24,实体,8.8,0.1,3.9,下影-1→实体+9→一字+10,14.39,10.02,16.9,2.55,49,90,True,3.47,-10.01,False,-10.01,1.0,False,4,封次日负,True,2024-01,2024,01-25,一字,10.0,0.0,4.0,三接四阴,False,-0.5000000000000004
600363.SSE,联创光电,2024-11-01,三接四,3,阴,2024-10-29,4.09,-5.1,59.7,+++,59.2,,0,0,10-29,下影,2.0,0.4,8.6,10-30,实体,0.2,0.0,4.9,下影+2→实体+0→一字+10,51.4,9.99,18.2,2.27,74,141,False,-0.68,-0.68,True,8.17,4.0,False,7,炸板,True,2024-11,2024,10-31,一字,10.0,0.0,1.9,三接四阴,False,-3.6999999999999993
600397.SSE,江钨装备,2026-08-07,三接四,3,阴,2026-08-04,0.56,-60.1,4.6,---,-45.1,30.0,5,5,08-04,下影,1.0,0.8,8.0,08-05,实体,0.4,0.1,14.8,下影+1→实体+0→实体+7,18.58,7.28,21.8,2.04,59,69,False,-2.74,-3.71,False,-3.71,1.0,False,3,炸板,True,2026-08,2026,08-06,实体,7.5,0.0,2.4,三接四阴,False,6.800000000000001
600475.SSE,华光环能,2025-08-08,三接四,3,阴,2025-08-05,0.21,-26.0,51.0,--+,4.6,18.0,6,6,08-05,下影,0.5,1.7,3.6,08-06,实体,0.5,0.0,4.3,下影+0→实体+1→下影+3,21.19,6.44,1.2,0.5,48,47,True,2.41,7.98,False,7.98,1.0,False,4,封次日正,False,2025-08,2025,08-07,下影,2.8,0.7,1.7,三接四阴,True,0.6999999999999997
600683.SSE,京投发展,2023-06-09,三接四,3,阴,2023-06-06,4.39,-4.0,25.2,+++,13.0,,0,0,06-06,下影,0.0,1.8,13.6,06-07,实体,0.3,0.2,8.7,下影+0→实体+0→下影+4,8.01,10.03,18.6,1.72,57,26,False,-10.11,-10.24,False,-10.24,1.0,False,3,炸板,True,2023-06,2023,06-08,下影,4.1,2.0,3.9,三接四阴,False,-4.9
601212.SSE,白银有色,2026-01-23,三接四,3,阴,2026-01-20,-2.75,-8.1,55.3,+++,35.6,65.0,0,3,01-20,下影,1.0,4.5,7.7,01-21,实体,2.1,0.0,6.7,下影+1→实体+2→下影-4,10.37,9.97,4.1,0.66,79,63,True,5.79,10.03,True,31.82,5.0,False,8,连板,False,2026-01,2026,01-22,下影,-3.7,0.6,8.3,三接四阴,True,-1.0
