代码,名称,买入日,组,N,阴阳,首板日,地基涨跌%,距60日新高%,距60日低点%,均线,地基前20日涨幅%,距前波末板,前波60日最高板,前波120日最高板,b1日,b1板型,b1开盘%,b1下影%,b1换手%,b2日,b2板型,b2开盘%,b2下影%,b2换手%,链,买价,买入开盘%,买入换手%,买入量比,买入日涨停家数,昨日涨停家数,封住,次日开%,次日收%,次日连板,持有到断板%,持有天数,未完,最终高度,结果,坏票,月,年,b3日,b3板型,b3开盘%,b3下影%,b3换手%,四组,胜,链组合,均线归并,b1一字,b1开口,b2一字,b2开口,b3一字,b3开口,链一字数,链开口数,竞价梯度,二板梯度,换手梯度
001267.SZSE,汇绿生态,2025-10-22,二接三,2,阳,2025-10-20,0.82,-23.5,32.8,--+,-11.5,51.0,2,2,10-20,下影,9.2,0.5,4.2,10-21,下影,2.0,3.8,11.0,下影+9→下影+2,19.67,4.08,23.3,2.54,51,63,False,-8.03,-9.35,False,-9.35,1.0,False,2,炸板,True,2025-10,2025,,,,,,二接三阳,False,下影→下影,其他,0,1,0,1,0,0,0,2,2.08,-7.199999999999999,6.8
001316.SZSE,润贝航科,2025-05-07,二接三,2,阳,2025-04-30,0.08,-14.0,35.0,+++,12.9,6.0,2,2,04-30,实体,3.9,0.2,13.4,05-06,实体,3.1,0.0,26.1,实体+4→实体+3,47.26,5.42,13.6,0.78,50,79,True,3.11,10.01,True,8.38,2.0,False,4,连板,False,2025-05,2025,,,,,,二接三阳,True,实体→实体,全多头,0,0,0,0,0,0,0,0,2.32,-0.7999999999999998,12.700000000000001
002248.SZSE,华东数控,2024-10-25,二接三,2,阳,2024-10-23,2.98,-10.9,29.2,-++,25.6,78.0,0,2,10-23,实体,0.8,0.0,15.0,10-24,下影,0.6,0.6,25.1,实体+1→下影+1,9.67,5.01,31.1,1.83,121,67,True,0.1,10.03,True,12.62,2.0,False,4,连板,False,2024-10,2024,,,,,,二接三阳,True,实体→下影,纠缠,0,0,0,1,0,0,0,1,4.41,-0.20000000000000007,10.100000000000001
002316.SZSE,亚联发展,2024-02-28,二接三,2,阳,2024-02-26,4.53,-46.8,53.1,+--,-26.1,86.0,0,2,02-26,实体,-0.3,0.3,16.2,02-27,下影,0.0,3.2,17.6,实体-0→下影+0,4.92,2.91,29.1,1.66,23,69,True,-3.46,3.66,False,3.66,1.0,False,3,封次日正,False,2024-02,2024,,,,,,二接三阳,True,实体→下影,纠缠,0,0,0,1,0,0,0,1,2.91,0.3,1.4000000000000021
002474.SZSE,榕基软件,2024-03-14,二接三,2,阳,2024-03-12,2.32,-26.4,45.2,-+-,14.2,16.0,2,2,03-12,实体,0.0,0.0,2.8,03-13,实体,4.5,0.0,3.8,实体+0→实体+4,7.05,7.33,27.3,3.61,32,51,False,-14.18,-12.62,False,-12.62,1.0,False,2,炸板,True,2024-03,2024,,,,,,二接三阳,False,实体→实体,其他,0,0,0,0,0,0,0,0,2.83,4.5,1.0
002529.SZSE,海源复材,2024-10-24,二接三,2,阳,2024-10-22,1.3,-20.5,39.9,-++,-2.5,21.0,2,2,10-22,下影,-0.2,0.8,8.3,10-23,下影,2.3,1.5,21.4,下影-0→下影+2,8.31,5.43,30.5,2.23,67,76,True,-3.73,9.99,True,18.77,3.0,False,5,连板,False,2024-10,2024,,,,,,二接三阳,True,下影→下影,纠缠,0,1,0,1,0,0,0,2,3.13,2.5,13.099999999999998
002769.SZSE,普路通,2024-03-29,二接三,2,阳,2024-03-27,1.46,-29.0,57.9,+++,-0.9,25.0,2,2,03-27,一字,10.0,0.0,1.2,03-28,下影,4.8,2.2,4.6,一字+10→下影+5,8.35,8.04,3.3,1.41,56,59,True,10.06,10.06,True,8.98,3.0,False,5,连板,False,2024-03,2024,,,,,,二接三阳,True,一字→下影,全多头,1,0,0,1,0,0,1,1,3.2399999999999993,-5.2,3.3999999999999995
002796.SZSE,世嘉科技,2024-04-02,二接三,2,阳,2024-03-29,3.83,-17.3,75.7,-++,9.0,29.0,2,2,03-29,实体,2.2,0.0,13.4,04-01,实体,1.1,0.0,8.9,实体+2→实体+1,12.63,5.75,4.5,0.65,47,67,True,9.98,9.98,True,8.87,3.0,False,5,连板,False,2024-04,2024,,,,,,二接三阳,True,实体→实体,纠缠,0,0,0,0,0,0,0,0,4.65,-1.1,-4.5
002989.SZSE,中天精装,2026-06-18,二接三,2,阳,2026-06-16,4.86,-21.3,21.0,---,-19.0,29.0,2,2,06-16,下影,-0.1,1.2,4.2,06-17,下影,2.6,1.6,12.1,下影-0→下影+3,37.37,5.09,11.4,1.66,75,67,True,-0.05,3.48,False,3.48,1.0,False,3,封次日正,False,2026-06,2026,,,,,,二接三阳,True,下影→下影,其他,0,1,0,1,0,0,0,2,2.4899999999999998,2.7,7.8999999999999995
600113.SSE,浙江东日,2025-06-24,二接三,2,阳,2025-06-20,7.86,-1.9,50.0,+++,32.9,2.0,2,2,06-20,下影,-3.6,0.7,8.8,06-23,下影,-2.0,0.9,8.4,下影-4→下影-2,25.04,0.0,6.6,0.84,53,60,True,3.83,1.04,False,1.04,1.0,False,3,封次日正,False,2025-06,2025,,,,,,二接三阳,True,下影→下影,全多头,0,1,0,1,0,0,0,2,2.0,1.6,-0.40000000000000036
