代码,名称,买入日,组,N,阴阳,首板日,地基涨跌%,距60日新高%,距60日低点%,均线,地基前20日涨幅%,距前波末板,前波60日最高板,前波120日最高板,b1日,b1板型,b1开盘%,b1下影%,b1换手%,b2日,b2板型,b2开盘%,b2下影%,b2换手%,链,买价,买入开盘%,买入换手%,买入量比,买入日涨停家数,昨日涨停家数,封住,次日开%,次日收%,次日连板,持有到断板%,持有天数,未完,最终高度,结果,坏票,月,年,b3日,b3板型,b3开盘%,b3下影%,b3换手%,四组,胜,换手梯度
000066.SZSE,中国长城,2024-11-08,二接三,2,阳,2024-11-06,6.06,-6.5,123.4,+++,49.1,3.0,4,4,11-06,下影,-4.1,2.9,26.8,11-07,下影,-1.0,3.7,26.8,下影-4→下影-1,22.36,3.3,16.3,0.71,95,157,True,-1.61,3.94,False,3.94,1.0,False,3,封次日正,False,2024-11,2024,,,,,,二接三阳,True,0.0
000595.SZSE,新能股份,2024-09-24,二接三,2,阳,2024-09-20,1.28,-5.9,77.6,+++,49.3,37.0,2,2,09-20,下影,-0.9,1.6,11.6,09-23,下影,-3.8,1.8,10.3,下影-1→下影-4,7.37,5.22,17.7,1.59,76,45,True,4.48,10.04,True,16.55,2.0,False,4,连板,False,2024-09,2024,,,,,,二接三阳,True,-1.299999999999999
000718.SZSE,苏宁环球,2025-09-11,二接三,2,阳,2025-09-09,0.44,-4.6,9.7,--+,1.3,,0,0,09-09,下影,0.9,0.4,6.0,09-10,实体,-1.2,0.0,6.9,下影+1→实体-1,3.01,5.11,13.1,2.2,74,44,True,7.31,9.97,True,16.94,2.0,False,4,连板,False,2025-09,2025,,,,,,二接三阳,True,0.9000000000000004
000880.SZSE,潍柴重机,2024-11-18,二接三,2,阳,2024-11-14,-0.18,-5.4,32.2,+++,8.9,68.0,0,5,11-14,实体,0.3,0.0,15.1,11-15,下影,-1.0,2.9,28.1,实体+0→下影-1,14.61,0.0,43.5,2.13,74,53,True,-9.99,-9.99,False,-9.99,1.0,False,3,封次日负,True,2024-11,2024,,,,,,二接三阳,False,13.000000000000002
001216.SZSE,华瓷股份,2025-11-18,二接三,2,阳,2025-11-14,1.11,-6.4,8.3,+--,-1.3,71.0,0,3,11-14,下影,-0.3,0.3,3.8,11-17,下影,-1.0,0.4,9.9,下影-0→下影-1,20.61,0.27,11.8,2.07,37,69,True,5.24,10.0,True,-1.02,2.0,False,4,连板,False,2025-11,2025,,,,,,二接三阳,True,6.1000000000000005
001231.SZSE,农心科技,2025-10-27,二接三,2,阳,2025-10-23,1.23,-5.2,14.2,++-,1.1,211.0,0,0,10-23,下影,-0.3,1.4,5.7,10-24,下影,-1.9,4.3,23.0,下影-0→下影-2,28.51,-1.0,34.5,2.55,45,47,True,4.49,-10.0,False,-10.0,1.0,False,3,封次日负,True,2025-10,2025,,,,,,二接三阳,False,17.3
001236.SZSE,弘业期货,2024-09-19,二接三,2,阳,2024-09-13,-4.45,-8.3,31.0,+++,14.0,,0,0,09-13,下影,-0.7,0.4,7.7,09-18,下影,-0.4,6.1,19.9,下影-1→下影-0,10.86,-4.76,25.9,1.56,46,21,False,-6.26,5.34,True,-5.16,2.0,False,4,炸板,False,2024-09,2024,,,,,,二接三阳,True,12.2
001319.SZSE,铭科精技,2024-11-06,二接三,2,阳,2024-11-04,3.65,-2.2,60.4,+++,17.3,246.0,0,0,11-04,下影,1.0,1.1,43.0,11-05,下影,-1.5,2.4,41.5,下影+1→下影-2,30.65,7.68,48.0,1.42,104,139,False,-8.48,-12.89,False,-12.89,1.0,False,2,炸板,True,2024-11,2024,,,,,,二接三阳,False,-1.5
002165.SZSE,红 宝 丽,2025-04-17,二接三,2,阳,2025-04-15,5.99,-3.6,110.9,+++,71.4,102.0,0,3,04-15,实体,-4.2,0.0,45.2,04-16,下影,-2.3,0.7,44.8,实体-4→下影-2,10.84,5.08,21.3,0.53,78,40,True,3.14,9.96,True,11.53,2.0,False,4,连板,False,2025-04,2025,,,,,,二接三阳,True,-0.4000000000000057
002181.SZSE,粤 传 媒,2025-09-11,二接三,2,阳,2025-09-09,0.38,-7.7,23.7,+++,10.6,63.0,0,4,09-09,下影,-0.8,1.1,11.7,09-10,下影,-1.3,2.8,11.0,下影-1→下影-1,10.54,2.09,18.9,1.48,74,44,False,-9.96,-12.52,False,-12.52,1.0,False,2,炸板,True,2025-09,2025,,,,,,二接三阳,False,-0.6999999999999993
