代码,名称,买入日,组,N,阴阳,首板日,地基涨跌%,距60日新高%,距60日低点%,均线,地基前20日涨幅%,距前波末板,前波60日最高板,前波120日最高板,b1日,b1板型,b1开盘%,b1下影%,b1换手%,b2日,b2板型,b2开盘%,b2下影%,b2换手%,链,买价,买入开盘%,买入换手%,买入量比,买入日涨停家数,昨日涨停家数,封住,次日开%,次日收%,次日连板,持有到断板%,持有天数,未完,最终高度,结果,坏票,月,年,b3日,b3板型,b3开盘%,b3下影%,b3换手%,四组,胜,链组合,均线归并,b1一字,b1开口,b2一字,b2开口,b3一字,b3开口,链一字数,链开口数,竞价梯度,二板梯度,换手梯度
000062.SZSE,深圳华强,2024-09-03,二接三,2,阴,2024-08-30,3.81,-5.6,188.1,+++,159.7,2.0,10,10,08-30,下影,3.4,1.6,9.4,09-02,下影,8.5,3.2,11.1,下影+3→下影+9,31.22,-1.34,9.5,0.83,33,24,True,5.64,9.99,True,19.8,4.0,False,6,连板,False,2024-09,2024,,,,,,二接三阴,True,下影→下影,全多头,0,1,0,1,0,0,0,2,-9.84,5.1,1.6999999999999993
000573.SZSE,粤宏远Ａ,2025-02-26,二接三,2,阴,2025-02-24,-1.94,-31.1,48.5,---,-8.4,25.0,6,6,02-24,实体,0.2,0.0,20.0,02-25,下影,-1.8,0.7,21.2,实体+0→下影-2,5.37,0.61,31.5,1.78,81,46,True,0.0,-10.06,False,-10.06,1.0,False,3,封次日负,True,2025-02,2025,,,,,,二接三阴,False,实体→下影,其他,0,0,0,1,0,0,0,1,2.41,-2.0,1.1999999999999993
000595.SZSE,新能股份,2025-03-21,二接三,2,阴,2025-03-19,-2.08,-36.4,24.8,+-+,-13.2,105.0,0,4,03-19,下影,-0.8,0.5,6.3,03-20,实体,3.3,0.0,6.4,下影-1→实体+3,8.15,7.29,14.5,2.27,39,55,False,-11.41,-14.23,False,-14.23,1.0,False,2,炸板,True,2025-03,2025,,,,,,二接三阴,False,下影→实体,其他,0,1,0,0,0,0,0,1,3.99,4.1,0.10000000000000053
001231.SZSE,农心科技,2026-01-06,二接三,2,阴,2025-12-31,-0.22,-24.1,16.6,+--,-3.1,47.0,3,3,12-31,下影,0.4,2.0,18.6,01-05,实体,0.2,0.2,19.9,下影+0→实体+0,30.17,5.36,23.7,1.67,96,74,True,-10.01,-10.01,False,-10.01,1.0,False,3,封次日负,True,2026-01,2026,,,,,,二接三阴,False,下影→实体,纠缠,0,1,0,0,0,0,0,1,5.16,-0.2,1.2999999999999972
001298.SZSE,好上好,2024-02-20,二接三,2,阴,2024-02-08,-7.69,-58.7,2.0,---,-43.4,80.0,0,5,02-08,下影,0.1,3.4,9.8,02-19,实体,2.1,0.0,10.9,下影+0→实体+2,19.97,-0.22,11.0,1.08,80,186,True,0.0,2.65,False,2.65,1.0,False,3,封次日正,False,2024-02,2024,,,,,,二接三阴,True,下影→实体,其他,0,1,0,0,0,0,0,1,-2.3200000000000003,2.0,1.0999999999999996
002167.SZSE,东方锆业,2026-07-02,二接三,2,阴,2026-06-30,-6.96,-13.0,72.9,+++,49.7,4.0,4,4,06-30,下影,-2.7,5.4,20.1,07-01,实体,1.1,0.0,21.8,下影-3→实体+1,26.71,-3.17,26.2,1.2,83,130,False,-2.28,-6.25,False,-6.25,1.0,False,2,炸板,True,2026-07,2026,,,,,,二接三阴,False,下影→实体,全多头,0,1,0,0,0,0,0,1,-4.27,3.8000000000000003,1.6999999999999993
002549.SZSE,凯美特气,2025-07-02,二接三,2,阴,2025-06-30,-0.43,-23.5,14.7,+--,-13.2,23.0,5,5,06-30,实体,5.9,0.1,5.7,07-01,下影,10.0,0.9,6.3,实体+6→下影+10,12.46,2.03,27.1,2.66,51,49,True,2.01,6.42,False,6.42,1.0,False,3,封次日正,False,2025-07,2025,,,,,,二接三阴,True,实体→下影,纠缠,0,0,0,1,0,0,0,1,-7.970000000000001,4.1,0.5999999999999996
002552.SZSE,宝鼎科技,2026-08-06,二接三,2,阴,2026-08-04,-7.25,-58.8,16.9,---,-44.7,34.0,4,4,08-04,下影,4.1,5.1,3.9,08-05,下影,5.0,4.1,5.1,下影+4→下影+5,43.27,3.74,4.8,1.04,69,93,True,8.62,10.01,True,26.21,3.0,False,5,连板,False,2026-08,2026,,,,,,二接三阴,True,下影→下影,其他,0,1,0,1,0,0,0,2,-1.2599999999999998,0.9000000000000004,1.1999999999999997
002583.SZSE,海能达,2024-10-09,二接三,2,阴,2024-09-30,-4.42,-13.1,72.2,+++,60.7,2.0,6,6,09-30,实体,0.0,0.0,26.2,10-08,下影,10.0,8.1,26.4,实体+0→下影+10,8.07,1.77,19.0,0.7,29,352,True,6.57,-6.07,False,-6.07,1.0,False,3,封次日负,True,2024-10,2024,,,,,,二接三阴,False,实体→下影,全多头,0,0,0,1,0,0,0,1,-8.23,10.0,0.1999999999999993
003018.SZSE,金富科技,2026-04-21,二接三,2,阴,2026-04-17,0.17,-6.6,112.2,+++,30.7,42.0,3,7,04-17,下影,-0.4,3.3,6.6,04-20,实体,0.2,0.0,7.5,下影-0→实体+0,47.45,1.99,5.5,0.83,44,72,True,4.53,10.01,True,15.43,2.0,False,4,连板,False,2026-04,2026,,,,,,二接三阴,True,下影→实体,全多头,0,1,0,0,0,0,0,1,1.79,0.6000000000000001,0.9000000000000004
003018.SZSE,金富科技,2026-05-18,二接三,2,阴,2026-05-14,-1.19,-16.1,190.0,-++,51.5,13.0,4,7,05-14,一字,10.0,0.0,1.7,05-15,下影,10.0,1.0,3.5,一字+10→下影+10,65.05,0.32,8.7,1.54,72,46,True,6.07,2.23,False,2.23,1.0,False,3,封次日正,False,2026-05,2026,,,,,,二接三阴,True,一字→下影,纠缠,1,0,0,1,0,0,1,1,-9.68,0.0,1.8
600078.SSE,澄星股份,2026-02-26,二接三,2,阴,2026-02-24,-0.62,-23.5,18.3,--+,10.6,68.0,0,4,02-24,实体,4.0,0.0,2.3,02-25,一字,10.0,0.0,3.2,实体+4→一字+10,14.81,10.03,6.7,1.8,52,61,True,-3.24,-4.39,False,-4.39,1.0,False,3,封次日负,True,2026-02,2026,,,,,,二接三阴,False,实体→一字,其他,0,0,1,0,0,0,1,0,0.02999999999999936,6.0,0.9000000000000004
600475.SSE,华光环能,2025-08-07,二接三,2,阴,2025-08-05,0.21,-26.0,51.0,--+,4.6,18.0,6,6,08-05,下影,0.5,1.7,3.6,08-06,实体,0.5,0.0,4.3,下影+0→实体+1,19.26,2.8,1.7,0.68,47,46,True,6.44,10.02,True,18.8,2.0,False,4,连板,False,2025-08,2025,,,,,,二接三阴,True,下影→实体,其他,0,1,0,0,0,0,0,1,2.3,0.0,0.6999999999999997
600503.SSE,华丽家族,2024-12-12,二接三,2,阴,2024-12-10,-8.91,-15.7,88.7,+++,23.3,2.0,3,3,12-10,下影,10.1,4.4,11.5,12-11,下影,5.2,3.4,12.7,下影+10→下影+5,4.22,4.17,29.8,1.89,119,119,False,-18.25,-19.91,False,-19.91,1.0,False,2,炸板,True,2024-12,2024,,,,,,二接三阴,False,下影→下影,全多头,0,1,0,1,0,0,0,2,-1.0300000000000002,-4.8999999999999995,1.1999999999999993
600550.SSE,保变电气,2024-09-13,二接三,2,阴,2024-09-11,-3.32,-12.1,51.7,+++,31.1,5.0,3,3,09-11,下影,-5.9,4.1,13.8,09-12,下影,-0.7,0.4,14.6,下影-6→下影-1,8.51,-0.78,11.0,0.98,31,26,True,2.82,7.99,False,7.99,1.0,False,3,封次日正,False,2024-09,2024,,,,,,二接三阴,True,下影→下影,全多头,0,1,0,1,0,0,0,2,-0.08000000000000007,5.2,0.7999999999999989
600676.SSE,久事动娱,2024-07-29,二接三,2,阴,2024-07-25,-9.89,-24.1,27.2,+++,19.9,5.0,3,3,07-25,实体,-2.7,0.0,6.5,07-26,下影,2.7,2.7,6.8,实体-3→下影+3,4.49,7.84,4.2,0.68,47,44,True,8.91,10.02,True,4.01,2.0,False,4,连板,False,2024-07,2024,,,,,,二接三阴,True,实体→下影,全多头,0,0,0,1,0,0,0,1,5.14,5.4,0.2999999999999998
