代码,名称,买入日,组,N,阴阳,首板日,地基涨跌%,距60日新高%,距60日低点%,均线,地基前20日涨幅%,距前波末板,前波60日最高板,前波120日最高板,b1日,b1板型,b1开盘%,b1下影%,b1换手%,b2日,b2板型,b2开盘%,b2下影%,b2换手%,链,买价,买入开盘%,买入换手%,买入量比,买入日涨停家数,昨日涨停家数,封住,次日开%,次日收%,次日连板,持有到断板%,持有天数,未完,最终高度,结果,坏票,月,年,b3日,b3板型,b3开盘%,b3下影%,b3换手%,四组,胜,换手梯度
000020.SZSE,深华发Ａ,2023-07-10,二接三,2,阴,2023-07-06,-5.31,-7.0,31.3,+++,7.3,,0,0,07-06,实体,-1.5,0.3,5.5,07-07,下影,6.8,3.3,6.1,实体-2→下影+7,15.92,7.12,4.8,0.73,31,18,True,4.27,-9.74,False,-9.74,1.0,False,3,封次日负,True,2023-07,2023,,,,,,二接三阴,False,0.5999999999999996
000062.SZSE,深圳华强,2024-09-03,二接三,2,阴,2024-08-30,3.81,-5.6,188.1,+++,159.7,2.0,10,10,08-30,下影,3.4,1.6,9.4,09-02,下影,8.5,3.2,11.1,下影+3→下影+9,31.22,-1.34,9.5,0.83,33,24,True,5.64,9.99,True,19.8,4.0,False,6,连板,False,2024-09,2024,,,,,,二接三阴,True,1.6999999999999993
000514.SZSE,渝 开 发,2024-05-23,二接三,2,阴,2024-05-21,-5.75,-7.1,32.3,+++,22.4,180.0,0,0,05-21,下影,0.5,0.5,3.5,05-22,下影,6.0,1.0,4.2,下影+1→下影+6,5.03,-7.44,17.6,2.15,16,28,True,-2.98,-9.94,False,-9.94,1.0,False,3,封次日负,True,2024-05,2024,,,,,,二接三阴,False,0.7000000000000002
000568.SZSE,泸州老窖,2024-09-30,二接三,2,阴,2024-09-26,1.67,-23.9,13.7,+--,-5.1,,0,0,09-26,下影,1.2,0.7,2.3,09-27,下影,6.7,1.6,2.6,下影+1→下影+7,149.7,10.0,2.2,1.03,626,107,True,10.0,6.21,False,6.21,1.0,False,3,封次日正,False,2024-09,2024,,,,,,二接三阴,True,0.30000000000000027
000571.SZSE,新大洲A,2024-03-18,二接三,2,阴,2024-03-14,-0.85,-29.0,37.1,-+-,11.0,,0,0,03-14,下影,0.4,0.4,2.2,03-15,下影,7.8,4.3,3.6,下影+0→下影+8,3.1,1.06,6.6,2.24,70,56,True,6.45,10.0,True,9.03,3.0,False,5,连板,False,2024-03,2024,,,,,,二接三阴,True,1.4
000596.SZSE,古井贡酒,2024-09-30,二接三,2,阴,2024-09-26,0.22,-29.5,9.1,+--,-9.7,,0,0,09-26,实体,-0.3,0.2,1.3,09-27,下影,6.1,1.1,1.3,实体-0→下影+6,203.02,9.95,1.0,0.85,626,107,True,10.0,9.98,False,9.98,1.0,False,3,封次日正,False,2024-09,2024,,,,,,二接三阴,True,0.0
000668.SZSE,荣丰控股,2026-07-27,二接三,2,阴,2026-07-23,-2.86,-38.7,2.7,---,-32.6,305.0,0,0,07-23,下影,0.0,3.1,2.8,07-24,下影,6.6,7.5,4.6,下影+0→下影+7,19.44,0.0,6.6,1.49,101,36,False,-2.52,-5.09,False,-5.09,1.0,False,2,炸板,True,2026-07,2026,,,,,,二接三阴,False,1.7999999999999998
001222.SZSE,源飞宠物,2024-12-04,二接三,2,阴,2024-12-02,-0.9,-6.7,46.0,+++,14.0,,0,0,12-02,下影,0.7,1.0,7.4,12-03,实体,6.0,0.0,7.7,下影+1→实体+6,19.09,5.01,35.4,2.69,69,92,True,-3.51,-10.01,False,-10.01,1.0,False,3,封次日负,True,2024-12,2024,,,,,,二接三阴,False,0.2999999999999998
002378.SZSE,章源钨业,2026-02-27,二接三,2,阴,2026-02-25,-0.23,-5.9,155.0,+++,58.5,3.0,2,2,02-25,下影,3.4,1.9,6.6,02-26,下影,6.0,1.3,8.4,下影+3→下影+6,40.6,4.42,3.3,0.46,69,52,True,10.0,8.23,False,8.23,1.0,False,3,封次日正,False,2026-02,2026,,,,,,二接三阴,True,1.8000000000000007
002779.SZSE,中坚科技,2024-02-20,二接三,2,阴,2024-02-08,-4.6,-31.1,9.8,--+,-21.4,,0,0,02-08,下影,0.0,0.7,2.1,02-19,下影,6.4,4.2,2.9,下影+0→下影+6,28.42,-2.09,2.9,1.22,80,186,True,8.69,9.99,True,9.99,2.0,False,4,连板,False,2024-02,2024,,,,,,二接三阴,True,0.7999999999999998
002981.SZSE,朝阳科技,2023-11-01,二接三,2,阴,2023-10-30,-0.65,-8.3,12.8,--+,0.2,,0,0,10-30,实体,-0.5,0.2,2.7,10-31,下影,6.9,2.3,3.8,实体-0→下影+7,34.68,7.52,3.3,1.26,31,29,True,10.01,10.01,True,21.97,3.0,False,5,连板,False,2023-11,2023,,,,,,二接三阴,True,1.0999999999999996
600148.SSE,长春一东,2024-11-20,二接三,2,阴,2024-11-18,-4.43,-9.2,72.4,+++,22.9,43.0,2,2,11-18,实体,-0.1,0.0,4.2,11-19,下影,9.2,8.4,5.0,实体-0→下影+9,26.44,2.0,19.2,2.8,119,79,False,-8.62,-6.73,False,-6.73,1.0,False,2,炸板,True,2024-11,2024,,,,,,二接三阴,False,0.7999999999999998
600199.SSE,金种子酒,2024-09-30,二接三,2,阴,2024-09-26,-1.08,-16.4,12.0,++-,3.1,,0,0,09-26,实体,-0.7,0.0,6.6,09-27,下影,6.0,1.9,7.0,实体-1→下影+6,14.62,9.71,9.1,1.57,626,107,True,9.99,4.51,False,4.51,1.0,False,3,封次日正,False,2024-09,2024,,,,,,二接三阴,True,0.40000000000000036
600262.SSE,北方股份,2024-04-19,二接三,2,阴,2024-04-17,-5.64,-27.5,20.3,--+,-9.4,,0,0,04-17,实体,2.0,0.0,2.5,04-18,下影,8.6,3.2,2.7,实体+2→下影+9,18.94,5.17,9.9,2.41,41,52,False,-19.22,-10.93,False,-10.93,1.0,False,2,炸板,True,2024-04,2024,,,,,,二接三阴,False,0.20000000000000018
600281.SSE,华阳新材,2024-03-08,二接三,2,阴,2024-03-06,-4.04,-42.9,29.0,---,-31.7,68.0,0,2,03-06,下影,1.4,0.7,2.7,03-07,下影,6.7,5.4,4.6,下影+1→下影+7,3.8,8.7,2.7,1.0,52,44,True,6.58,3.42,False,3.42,1.0,False,3,封次日正,False,2024-03,2024,,,,,,二接三阴,True,1.8999999999999995
600589.SSE,大位科技,2024-09-23,二接三,2,阴,2024-09-19,-2.76,-37.9,1.9,---,-15.6,,0,0,09-19,实体,0.5,0.0,1.0,09-20,下影,6.5,3.0,2.9,实体+0→下影+6,2.81,-1.57,4.8,2.36,45,40,True,2.85,9.96,True,7.83,2.0,False,4,连板,False,2024-09,2024,,,,,,二接三阴,True,1.9
600635.SSE,大众公用,2024-07-29,二接三,2,阴,2024-07-25,-1.35,-7.0,11.4,+++,7.7,,0,0,07-25,实体,-0.7,0.0,4.1,07-26,下影,7.1,3.7,5.2,实体-1→下影+7,3.89,9.6,2.3,0.79,47,44,True,10.03,10.03,True,0.0,2.0,False,4,连板,False,2024-07,2024,,,,,,二接三阴,True,1.1000000000000005
600809.SSE,山西汾酒,2024-09-30,二接三,2,阴,2024-09-26,-0.36,-22.2,11.9,+--,-6.4,,0,0,09-26,下影,0.1,0.4,1.2,09-27,下影,6.1,1.1,1.2,下影+0→下影+6,218.89,8.55,1.5,1.24,626,107,True,10.0,5.44,False,5.44,1.0,False,3,封次日正,False,2024-09,2024,,,,,,二接三阴,True,0.0
601579.SSE,会稽山,2025-05-28,二接三,2,阴,2025-05-26,-5.28,-5.8,95.3,+++,48.0,224.0,0,0,05-26,下影,0.6,0.5,3.0,05-27,下影,8.0,1.9,3.2,下影+1→下影+8,25.81,10.02,12.0,1.7,49,51,True,-2.71,2.48,False,2.48,1.0,False,3,封次日正,False,2025-05,2025,,,,,,二接三阴,True,0.20000000000000018
601991.SSE,大唐发电,2026-05-08,二接三,2,阴,2026-05-06,-3.03,-16.6,14.9,++-,5.6,,0,0,05-06,下影,10.1,1.7,2.7,05-07,下影,8.7,2.2,2.7,下影+10→下影+9,5.54,9.92,9.8,2.49,89,91,True,8.3,9.93,True,29.96,4.0,False,6,连板,False,2026-05,2026,,,,,,二接三阴,True,0.0
603108.SSE,润达医疗,2023-06-20,二接三,2,阴,2023-06-16,-1.27,-16.7,24.7,+++,16.2,,0,0,06-16,实体,-0.1,0.1,6.7,06-19,下影,8.0,2.5,8.7,实体-0→下影+8,18.6,7.27,5.4,0.79,34,34,True,1.56,1.67,False,1.67,1.0,False,3,封次日正,False,2023-06,2023,,,,,,二接三阴,True,1.9999999999999991
603326.SSE,我乐家居,2023-08-30,二接三,2,阴,2023-08-28,-1.83,-12.1,4.1,---,-10.1,,0,0,08-28,下影,9.8,1.6,0.7,08-29,实体,7.6,0.1,0.7,下影+10→实体+8,10.02,7.03,1.5,2.12,25,51,True,7.39,9.98,True,44.91,6.0,False,8,连板,False,2023-08,2023,,,,,,二接三阴,True,0.0
603335.SSE,迪生力,2023-06-12,二接三,2,阴,2023-06-08,-1.67,-13.0,7.7,-++,1.0,,0,0,06-08,实体,-1.3,0.2,2.1,06-09,下影,7.7,4.8,3.6,实体-1→下影+8,7.06,8.41,8.2,2.43,53,57,True,10.06,10.06,True,11.76,2.0,False,4,连板,False,2023-06,2023,,,,,,二接三阴,True,1.5
603758.SSE,秦安股份,2024-11-06,二接三,2,阴,2024-11-04,-2.33,-14.7,18.6,+++,1.1,,0,0,11-04,下影,0.5,0.4,3.0,11-05,下影,6.3,2.4,3.7,下影+1→下影+6,10.02,9.99,6.9,2.16,104,139,False,-4.19,0.9,False,0.9,1.0,False,2,炸板,False,2024-11,2024,,,,,,二接三阴,True,0.7000000000000002
603917.SSE,合力科技,2024-02-23,二接三,2,阴,2024-02-21,1.21,-43.0,23.1,---,-30.0,,0,0,02-21,实体,-1.3,0.0,1.3,02-22,下影,9.0,5.1,1.9,实体-1→下影+9,15.53,9.99,10.5,2.83,79,56,False,-5.6,-8.56,False,-8.56,1.0,False,2,炸板,True,2024-02,2024,,,,,,二接三阴,False,0.5999999999999999
605033.SSE,美邦股份,2025-01-06,二接三,2,阴,2025-01-02,-0.91,-17.3,4.1,---,-12.8,,0,0,01-02,实体,-0.4,0.2,2.5,01-03,实体,9.4,0.0,2.6,实体-0→实体+9,16.01,10.03,13.6,3.22,52,41,True,3.94,9.99,True,75.39,8.0,False,10,连板,False,2025-01,2025,,,,,,二接三阴,True,0.10000000000000009
605058.SSE,澳弘电子,2025-01-21,二接三,2,阴,2025-01-17,-1.02,-11.5,10.2,+--,-5.3,,0,0,01-17,实体,-0.9,0.2,2.6,01-20,下影,8.5,1.5,3.8,实体-1→下影+8,25.92,-1.4,13.9,2.82,38,62,False,-11.27,-5.67,False,-5.67,1.0,False,2,炸板,True,2025-01,2025,,,,,,二接三阴,False,1.1999999999999997
605198.SSE,安德利,2026-06-16,二接三,2,阴,2026-06-12,-4.04,-10.0,66.4,+++,-0.2,409.0,0,0,06-12,实体,1.9,0.0,1.4,06-15,下影,7.8,6.5,2.5,实体+2→下影+8,78.41,10.0,4.7,1.97,105,127,True,0.01,9.81,False,9.81,1.0,False,3,封次日正,False,2026-06,2026,,,,,,二接三阴,True,1.1
605208.SSE,永茂泰,2025-02-26,二接三,2,阴,2025-02-24,-0.82,-14.3,22.4,++-,14.7,29.0,2,2,02-24,下影,4.4,2.0,6.5,02-25,下影,7.7,2.4,6.8,下影+4→下影+8,11.21,10.01,22.9,2.53,81,46,False,-2.77,3.66,True,-0.45,2.0,False,4,炸板,False,2025-02,2025,,,,,,二接三阴,True,0.2999999999999998
