代码,买入日,方案点,四组,年,封住,缩量强趋势,E0,E1,E2,E3,E4,E5,E6
000002.SZSE,2024-09-30,—,二接三阳,2024,True,False,6.790123456790131,9.979423868312743,6.790123456790131,6.790123456790131,6.790123456790131,-3.9094650205761416,-3.9094650205761416
000002.SZSE,2024-10-08,—,三接四阳,2024,False,False,-12.628624883068284,-8.419083255378867,-12.628624883068284,-2.8999064546304854,-8.419083255378867,-12.628624883068284,-14.686623012160904
000006.SZSE,2024-10-22,—,二接三阴,2024,True,True,-4.456094364351248,1.83486238532109,-4.456094364351248,-4.456094364351248,-4.456094364351248,21.231979030144178,5.111402359108785
000006.SZSE,2025-10-14,—,二接三阳,2025,False,False,-14.058171745152348,-9.626038781163427,-14.058171745152348,-4.501385041551254,-9.626038781163427,-14.058171745152348,-20.70637119113574
000008.SZSE,2024-03-12,—,三接四阳,2024,False,False,-13.826366559485525,-11.2540192926045,-13.826366559485525,-6.7524115755627,-11.2540192926045,-13.826366559485525,-6.7524115755627
000008.SZSE,2026-04-01,—,二接三阳,2026,False,False,-13.33333333333333,-9.999999999999998,-13.33333333333333,-9.166666666666668,-9.999999999999998,-13.33333333333333,-21.944444444444443
000011.SZSE,2026-07-27,—,二接三阳,2026,False,False,-16.941694169416945,-8.910891089108919,-16.941694169416945,-10.34103410341034,-8.910891089108919,-16.941694169416945,-13.97139713971397
000017.SZSE,2026-08-25,—,三接四阴,2026,True,False,30.34883720930235,2.7906976744185963,10.000000000000009,30.34883720930235,30.34883720930235,36.627906976744185,36.627906976744185
000020.SZSE,2023-07-10,B1,二接三阴,2023,True,True,-9.736180904522618,4.271356783919611,-9.736180904522618,-9.736180904522618,-9.736180904522618,-13.442211055276388,-13.442211055276388
000020.SZSE,2024-01-17,—,二接三阳,2024,True,False,-9.987966305655839,-4.3321299638989235,-9.987966305655839,-9.987966305655839,-4.3321299638989235,-16.486161251504218,-16.486161251504218
000020.SZSE,2024-01-26,—,二接三阴,2024,True,False,-9.985597695631299,-9.985597695631299,-9.985597695631299,-9.985597695631299,-9.985597695631299,-18.963034085453668,-18.963034085453668
000020.SZSE,2025-06-19,—,二接三阳,2025,False,False,-18.16546762589928,-16.007194244604317,-18.16546762589928,-12.589928057553957,-16.007194244604317,-18.16546762589928,-16.78657074340527
000025.SZSE,2024-10-29,—,二接三阴,2024,False,False,-12.207434603028911,-11.014226709499763,-12.207434603028911,-9.040844424047723,-11.014226709499763,-12.207434603028911,-7.939421753097752
000025.SZSE,2025-04-18,—,二接三阴,2025,True,False,-5.191127890514402,-4.011326097215672,-5.191127890514402,-5.191127890514402,-4.011326097215672,-8.966493629070326,-8.966493629070326
000026.SZSE,2025-07-01,—,三接四阳,2025,False,False,8.045977011494276,-6.436781609195386,4.367816091954024,-5.114942528735611,-6.436781609195386,8.045977011494276,0.45977011494253706
000029.SZSE,2024-09-30,—,二接三阳,2024,False,False,-10.011574074074082,1.27314814814814,-10.011574074074082,-4.108796296296302,-10.011574074074082,-10.011574074074082,-18.981481481481488
000032.SZSE,2024-10-08,—,二接三阳,2024,True,False,-0.682773109243695,-1.7857142857142905,-0.682773109243695,-0.682773109243695,-1.7857142857142905,3.623949579831942,3.623949579831942
000032.SZSE,2026-06-15,—,二接三阳,2026,True,False,11.580970687169634,3.171552138394995,9.995194617972135,11.580970687169634,11.580970687169634,18.212397885631916,18.212397885631916
000032.SZSE,2026-06-16,—,三接四阳,2026,True,False,1.4416775884665611,1.3979903888160727,1.4416775884665611,1.4416775884665611,1.4416775884665611,7.470511140235914,7.470511140235914
000037.SZSE,2023-06-27,—,二接三阴,2023,True,False,14.261019878997416,0.17286084701815252,10.025929127052713,14.261019878997416,14.261019878997416,6.050129645635249,6.050129645635249
000037.SZSE,2023-06-28,—,三接四阴,2023,True,False,3.849175176747832,4.556166535742334,3.849175176747832,3.849175176747832,3.849175176747832,-3.6135113904163463,-3.6135113904163463
000037.SZSE,2024-01-31,—,二接三阴,2024,False,False,-25.827280064568203,-23.486682808716708,-25.827280064568203,-17.59483454398708,-23.486682808716708,-25.827280064568203,-33.25262308313156
000042.SZSE,2024-03-13,—,二接三阳,2024,False,False,-13.653136531365318,-12.54612546125461,-13.653136531365318,-6.088560885608862,-12.54612546125461,-13.653136531365318,-9.77859778597786
000045.SZSE,2024-10-29,—,二接三阳,2024,True,False,2.578125000000009,3.3593749999999867,2.578125000000009,2.578125000000009,2.578125000000009,7.656249999999987,7.656249999999987
000045.SZSE,2024-10-30,B3,三接四阳,2024,False,False,-2.1306818181818232,-8.877840909090907,-2.1306818181818232,-6.747159090909083,-8.877840909090907,-2.1306818181818232,-11.931818181818176
000048.SZSE,2026-06-11,—,二接三阳,2026,True,False,-3.5696073431922493,-1.1218765935747,-3.5696073431922493,-3.5696073431922493,-1.1218765935747,-11.422743498215194,-11.422743498215194
000058.SZSE,2024-10-29,—,二接三阳,2024,True,False,12.016293279022406,-3.258655804480659,9.97963340122201,12.016293279022406,-3.258655804480659,0.8146639511201537,0.8146639511201537
000058.SZSE,2024-10-30,—,三接四阳,2024,True,False,1.8518518518518379,0.0,1.8518518518518379,1.8518518518518379,1.8518518518518379,-8.333333333333337,-8.333333333333337
000061.SZSE,2025-08-29,—,二接三阳,2025,False,False,-9.924487594390508,-9.385113268608404,-9.924487594390508,-5.393743257820926,-9.385113268608404,-9.924487594390508,-14.886731391585762
000062.SZSE,2024-08-20,A1,三接四阳,2024,True,False,83.92156862745097,9.80392156862746,10.039215686274506,83.92156862745097,83.92156862745097,193.33333333333331,102.35294117647058
000062.SZSE,2024-09-03,B1,二接三阴,2024,True,False,19.795003203074945,5.637411915438806,9.993593850096104,19.795003203074945,19.795003203074945,7.815502882767444,7.815502882767444
000062.SZSE,2024-09-04,—,三接四阴,2024,True,False,8.910891089108897,3.698311007571342,9.98835177635411,8.910891089108897,8.910891089108897,-1.9801980198020042,-1.9801980198020042
000066.SZSE,2024-10-31,—,二接三阳,2024,True,False,-0.1890359168241873,4.6628859483301754,10.018903591682427,-0.1890359168241873,-0.1890359168241873,5.860113421550106,5.860113421550106
000066.SZSE,2024-11-01,—,三接四阳,2024,True,False,-9.278350515463918,0.05727376861395239,-9.278350515463918,-9.278350515463918,-9.278350515463918,-3.7800687285223344,-3.7800687285223344
000066.SZSE,2024-11-08,—,二接三阳,2024,True,True,3.9355992844364973,-1.610017889087656,3.9355992844364973,3.9355992844364973,-1.610017889087656,-3.801431127012511,-3.801431127012511
000066.SZSE,2026-05-07,—,二接三阳,2026,True,False,-3.7114261884904076,-0.8340283569641338,-3.7114261884904076,-3.7114261884904076,-0.8340283569641338,-2.4186822351960013,-2.4186822351960013
000068.SZSE,2024-01-26,—,二接三阳,2024,True,False,-1.0889292196007205,0.0,9.981851179673317,-1.0889292196007205,-1.0889292196007205,-10.88929219600725,-10.88929219600725
000068.SZSE,2024-01-29,—,三接四阳,2024,True,False,-10.06600660066006,-0.9900990099009799,-10.06600660066006,-10.06600660066006,-0.9900990099009799,-18.97689768976897,-18.97689768976897
000069.SZSE,2024-10-08,—,三接四阳,2024,True,False,-9.968847352024913,-6.542056074766355,-9.968847352024913,-9.968847352024913,-6.542056074766355,-15.264797507788153,-15.264797507788153
000070.SZSE,2024-01-24,—,二接三阳,2024,True,False,8.977035490605424,10.020876826722326,10.020876826722326,8.977035490605424,8.977035490605424,-1.8789144050104345,-1.8789144050104345
000070.SZSE,2025-11-25,—,二接三阳,2025,True,False,14.150197628458482,7.905138339920947,10.039525691699591,14.150197628458482,14.150197628458482,10.750988142292496,10.750988142292496
000070.SZSE,2025-11-26,—,三接四阳,2025,True,False,3.735632183908044,-2.442528735632188,3.735632183908044,3.735632183908044,-2.442528735632188,0.6465517241379226,0.6465517241379226
000070.SZSE,2026-02-12,—,二接三阳,2026,True,False,-9.999999999999998,-2.564102564102566,-9.999999999999998,-9.999999999999998,-2.564102564102566,-6.666666666666665,-6.666666666666665
000099.SZSE,2024-04-01,—,三接四阴,2024,True,False,-2.42914979757084,0.0,-2.42914979757084,-2.42914979757084,-2.42914979757084,-9.311740890688258,-9.311740890688258
000099.SZSE,2024-04-19,—,二接三阳,2024,True,False,-7.816711590296499,5.570530098831972,-7.816711590296499,-7.816711590296499,-7.816711590296499,-7.816711590296499,-7.816711590296499
000099.SZSE,2024-07-31,—,二接三阳,2024,False,False,0.35300050428643814,-6.30358043368634,0.35300050428643814,-2.6222894604135183,-6.30358043368634,0.35300050428643814,-1.1598587997982746
000100.SZSE,2024-11-01,—,二接三阴,2024,False,False,-12.178387650085764,-14.065180102915953,-12.178387650085764,-10.977701543739272,-14.065180102915953,-12.178387650085764,-9.262435677530023
000151.SZSE,2024-01-29,—,三接四阳,2024,True,False,-9.99291282778172,-7.0163004961020565,-9.99291282778172,-9.99291282778172,-7.0163004961020565,-6.094968107725018,-6.094968107725018
000158.SZSE,2024-10-10,—,三接四阴,2024,False,False,0.7403189066059301,-12.357630979498847,0.7403189066059301,-2.6195899772209374,-12.357630979498847,0.7403189066059301,10.820045558086576
000402.SZSE,2026-05-06,—,二接三阴,2026,True,False,-4.011461318051579,-1.7191977077363862,-4.011461318051579,-4.011461318051579,-1.7191977077363862,-6.303724928366772,-6.303724928366772
000409.SZSE,2023-12-13,—,二接三阳,2023,True,False,4.128440366972463,0.09174311926605228,4.128440366972463,4.128440366972463,4.128440366972463,-5.688073394495419,-5.688073394495419
000409.SZSE,2023-12-14,—,三接四阳,2023,False,False,-14.261884904086742,-8.340283569641372,-14.261884904086742,-5.337781484570481,-8.340283569641372,-14.261884904086742,-22.852376980817347
000409.SZSE,2025-03-05,—,二接三阴,2025,True,False,8.957528957528949,10.038610038610042,10.038610038610042,8.957528957528949,8.957528957528949,17.065637065637063,17.065637065637063
000417.SZSE,2026-05-20,—,二接三阴,2026,True,False,-2.3084994753410193,9.968520461699914,-2.3084994753410193,-2.3084994753410193,-2.3084994753410193,8.604407135362013,7.450157397691504
000417.SZSE,2026-05-21,—,三接四阴,2026,False,False,-1.2404580152671874,-6.488549618320604,-2.2900763358778664,-11.164122137404576,-6.488549618320604,-1.2404580152671874,-11.068702290076338
000420.SZSE,2025-05-16,—,二接三阴,2025,False,False,-6.249999999999989,-7.459677419354838,1.6129032258064502,-7.661290322580639,-7.459677419354838,-6.249999999999989,-10.080645161290324
000421.SZSE,2023-12-12,—,二接三阴,2023,True,False,9.268929503916446,1.8276762402088753,9.268929503916446,9.268929503916446,9.268929503916446,15.404699738903393,15.404699738903393
000421.SZSE,2023-12-13,—,三接四阴,2023,False,False,4.8635824436536135,-5.100830367734277,4.8635824436536135,-0.7117437722420017,-5.100830367734277,4.8635824436536135,15.302491103202854
000421.SZSE,2024-07-18,—,二接三阴,2024,False,False,-14.536741214057514,-14.536741214057514,-14.536741214057514,-5.111821086261969,-14.536741214057514,-14.536741214057514,-18.849840255591054
000421.SZSE,2024-07-31,—,二接三阴,2024,False,False,-12.977099236641221,-15.419847328244273,-12.977099236641221,-14.809160305343505,-15.419847328244273,-12.977099236641221,-17.25190839694657
000421.SZSE,2025-01-15,—,三接四阴,2025,False,False,-17.517401392111353,-16.35730858468677,-17.517401392111353,-14.733178654292345,-16.35730858468677,-17.517401392111353,-24.477958236658925
000428.SZSE,2026-07-29,—,二接三阴,2026,True,False,-5.198019801980203,9.90099009900991,-5.198019801980203,-5.198019801980203,-5.198019801980203,-1.2376237623762387,4.207920792079212
000428.SZSE,2026-07-30,—,三接四阴,2026,False,False,-10.135135135135142,-14.86486486486488,-5.180180180180194,-13.738738738738743,-14.86486486486488,-10.135135135135142,-9.90990990990992
000503.SZSE,2024-10-09,—,二接三阳,2024,False,False,-11.327433628318595,-0.1769911504424848,-11.327433628318595,-2.300884955752225,-0.1769911504424848,-11.327433628318595,-14.159292035398241
000504.SZSE,2024-05-10,—,二接三阳,2024,False,False,-13.683223992502336,-13.683223992502336,-13.683223992502336,-4.123711340206182,-13.683223992502336,-13.683223992502336,-22.30552952202437
000505.SZSE,2026-08-19,—,二接三阴,2026,True,False,0.2677376171352108,-7.89825970548862,0.2677376171352108,0.2677376171352108,-7.89825970548862,-9.772423025435073,-9.772423025435073
000506.SZSE,2024-04-08,—,二接三阴,2024,True,False,-4.537205081669693,-0.1814882032667886,-4.537205081669693,-4.537205081669693,-0.1814882032667886,3.9927404718693493,3.9927404718693493
000506.SZSE,2026-01-21,—,二接三阴,2026,True,False,0.8794619762028111,-3.8282462493533287,0.8794619762028111,0.8794619762028111,-3.8282462493533287,0.7759958613554163,0.7759958613554163
