代码,买入日,首板日,pre1%,pre2%,pre3%,pre3_exbase%,pd1%,pd2%,pd3%,p3阴阳,p3max%,p3min%
000002.SZSE,2024-09-30,2024-09-26,2.67,5.48,6.1,5.17,0.58,2.74,2.67,阳阳阳,2.74,0.58
000002.SZSE,2024-10-08,2024-09-26,2.67,5.48,6.1,5.17,0.58,2.74,2.67,阳阳阳,2.74,0.58
000006.SZSE,2024-10-22,2024-10-18,-4.01,-1.71,4.94,7.55,6.76,2.4,-4.01,阳阳阴,6.76,-4.01
000006.SZSE,2025-10-14,2025-10-10,5.44,16.04,14.09,10.88,-1.68,10.05,5.44,阴阳阳,10.05,-1.68
000008.SZSE,2024-03-12,2024-03-07,0.0,-0.93,-1.39,-0.93,-0.46,-0.93,0.0,阴阴阳,0.0,-0.93
000008.SZSE,2026-04-01,2026-03-30,1.12,-1.46,0.75,3.89,2.24,-2.55,1.12,阳阴阳,2.24,-2.55
000011.SZSE,2026-07-27,2026-07-23,0.59,0.0,3.02,1.65,3.02,-0.59,0.59,阳阴阳,3.02,-0.59
000017.SZSE,2026-08-25,2026-08-20,-2.65,-2.49,-2.17,0.67,0.33,0.17,-2.65,阳阳阴,0.33,-2.65
000020.SZSE,2023-07-10,2023-07-06,-5.31,4.18,3.28,14.52,-0.86,10.03,-5.31,阴阳阴,10.03,-5.31
000020.SZSE,2024-01-17,2024-01-15,0.0,1.79,-0.24,1.22,-2.0,1.79,0.0,阴阳阳,1.79,-2.0
000020.SZSE,2024-01-26,2024-01-24,2.49,12.75,4.61,-8.12,-7.22,10.01,2.49,阴阳阳,10.01,-7.22
000020.SZSE,2025-06-19,2025-06-17,1.21,-0.71,-1.57,-2.52,-0.86,-1.9,1.21,阴阴阳,1.21,-1.9
000025.SZSE,2024-10-29,2024-10-25,-1.74,-0.79,-0.91,4.98,-0.12,0.97,-1.74,阴阳阴,0.97,-1.74
000025.SZSE,2025-04-18,2025-04-16,-1.61,-1.0,1.34,6.03,2.36,0.62,-1.61,阳阳阴,2.36,-1.61
000026.SZSE,2025-07-01,2025-06-26,3.04,3.21,5.6,0.61,2.31,0.17,3.04,阳阳阳,3.04,0.17
000029.SZSE,2024-09-30,2024-09-26,0.93,5.79,8.17,9.35,2.25,4.81,0.93,阳阳阳,4.81,0.93
000032.SZSE,2024-10-08,2024-09-27,4.0,4.45,6.55,2.23,2.01,0.44,4.0,阳阳阳,4.0,0.44
000032.SZSE,2026-06-15,2026-06-11,0.64,3.58,-1.64,-5.01,-5.03,2.91,0.64,阴阳阳,2.91,-5.03
000032.SZSE,2026-06-16,2026-06-11,0.64,3.58,-1.64,-5.01,-5.03,2.91,0.64,阴阳阳,2.91,-5.03
000037.SZSE,2023-06-27,2023-06-21,-2.36,-3.01,-7.26,-0.22,-4.38,-0.67,-2.36,阴阴阴,-0.67,-4.38
000037.SZSE,2023-06-28,2023-06-21,-2.36,-3.01,-7.26,-0.22,-4.38,-0.67,-2.36,阴阴阴,-0.67,-4.38
000037.SZSE,2024-01-31,2024-01-29,-6.05,-2.21,0.65,7.6,2.92,4.1,-6.05,阳阳阴,4.1,-6.05
000042.SZSE,2024-03-13,2024-03-11,0.49,0.25,0.99,-1.94,0.74,-0.25,0.49,阳阴阳,0.74,-0.25
000045.SZSE,2024-10-29,2024-10-25,2.01,0.0,1.58,1.73,1.58,-1.98,2.01,阳阴阳,2.01,-1.98
000045.SZSE,2024-10-30,2024-10-25,2.01,0.0,1.58,1.73,1.58,-1.98,2.01,阳阴阳,2.01,-1.98
000048.SZSE,2026-06-11,2026-06-09,4.54,1.17,2.43,1.0,1.25,-3.23,4.54,阳阴阳,4.54,-3.23
000058.SZSE,2024-10-29,2024-10-25,1.51,1.23,3.36,3.86,2.1,-0.27,1.51,阳阴阳,2.1,-0.27
000058.SZSE,2024-10-30,2024-10-25,1.51,1.23,3.36,3.86,2.1,-0.27,1.51,阳阴阳,2.1,-0.27
000061.SZSE,2025-08-29,2025-08-27,1.61,1.75,1.61,0.0,-0.15,0.15,1.61,阴阳阳,1.61,-0.15
000062.SZSE,2024-08-20,2024-08-15,1.28,1.87,0.58,0.0,-1.27,0.58,1.28,阴阳阳,1.28,-1.27
000062.SZSE,2024-09-03,2024-08-30,3.81,14.17,25.6,33.12,10.02,9.98,3.81,阳阳阳,10.02,3.81
